Electrode deviation report for ROI: lpfc
Metric: RMS deviation of each electrode trace from the condition's across-electrode mean trace.
Scoring window: epoch start to 0s
Larger values indicate greater deviation; this is a diagnostic ranking, not a statistical outlier test.

[Stimulus_s_in_25incongruentBlock] (174 electrodes, showing 25)
rank	electrode	rms_deviation
1	LFPS2	0.285399
2	LAI13	0.234731
3	LFPS1	0.226073
4	LAI14	0.178119
5	RLOF11	0.170694
6	RFAL8	0.16751
7	RAI11	0.167256
8	LFMM9-2	0.164233
9	LMMF9	0.161868
10	LFMI3-1	0.156331
11	LFMM8-0	0.151122
12	LAI4-0	0.150736
13	RINSA3	0.149742
14	LFO15	0.147253
15	LFAI14	0.145347
16	RFAL11	0.144297
17	LFAM6	0.143676
18	LIA16	0.143516
19	RFMM11	0.139526
20	RIA6-1	0.137601
21	LMMF10	0.137157
22	RAI12	0.136478
23	LIA17	0.135379
24	LINS4	0.134292
25	LFAI4-0	0.133745

[Stimulus_s_in_75incongruentBlock] (174 electrodes, showing 25)
rank	electrode	rms_deviation
1	LAI13	0.285249
2	LAI14	0.256745
3	LFO15	0.24573
4	LFMI3-1	0.188029
5	LAI8-0	0.178191
6	LAI4-0	0.172935
7	LFAP6	0.171779
8	LFPS2	0.168407
9	LFMI5	0.165767
10	LFPS1	0.161602
11	LFAM9-1	0.157488
12	RFO14	0.156304
13	RFO13	0.151724
14	RAI12	0.150374
15	LFAI4-0	0.149277
16	RFAI3	0.146425
17	LAI3	0.145189
18	LFAS7	0.141016
19	LFOP17	0.139722
20	LFAM12	0.135338
21	RAI11	0.134114
22	RIFMEG1	0.13248
23	LFMI4	0.132249
24	LFMM9-0	0.132183
25	RAI4	0.131349

[Stimulus_r_in_25incongruentBlock] (174 electrodes, showing 25)
rank	electrode	rms_deviation
1	LAI13	0.208062
2	LIA16	0.198791
3	LFOP14	0.195733
4	LAI14	0.169155
5	LFPS1	0.168836
6	RAI11	0.167401
7	LFAM11-0	0.167204
8	LIA13	0.165449
9	LFOP13	0.162464
10	LFMI5	0.160453
11	LFMI3-1	0.157519
12	LIA15	0.155534
13	LFPS2	0.154819
14	LAI4-0	0.146822
15	LFMI4	0.145376
16	LFAM12	0.144165
17	LFO15	0.142332
18	RPI14	0.141387
19	LIA14	0.14088
20	LMSF5	0.140183
21	LFMM9-1	0.137164
22	LFAM10-0	0.135718
23	LFAM8-0	0.135205
24	LFAM9-1	0.133703
25	RFO13	0.130829

[Stimulus_r_in_75incongruentBlock] (174 electrodes, showing 25)
rank	electrode	rms_deviation
1	RAI11	0.210431
2	LFPS2	0.206447
3	LAI14	0.19858
4	LFMEG1	0.194586
5	LFO15	0.192453
6	LFMI4	0.174987
7	LFMI5	0.173643
8	LOF13	0.16884
9	LAI13	0.168729
10	LFMI3-1	0.168451
11	RFAM7	0.166711
12	LFPS1	0.151586
13	RAI12	0.145891
14	LFA10	0.145083
15	LAI4-0	0.144832
16	LFMM9-0	0.144036
17	LAI11	0.143344
18	LAI8-0	0.14206
19	RFAM10	0.137812
20	LFOP17	0.136015
21	RAI15	0.133095
22	LFAI9-0	0.131465
23	LFAM10-3	0.129695
24	RFAM9	0.12918
25	LAI3	0.12905

