Electrode deviation report for ROI: occ
Metric: RMS deviation of each electrode trace from the condition's across-electrode mean trace.
Scoring window: epoch start to 0s
Larger values indicate greater deviation; this is a diagnostic ranking, not a statistical outlier test.

[Stimulus_c_in_25switchBlock] (59 electrodes, showing 25)
rank	electrode	rms_deviation
1	RHT5	0.382386
2	LOPM8	0.368566
3	LOPM9	0.266915
4	LOAI14-1	0.257834
5	LTPI3	0.2331
6	LTPI2-0	0.215802
7	LPAI1	0.197468
8	LOAI13-1	0.189633
9	LOPM10	0.187197
10	LTPI4	0.185879
11	LOAI15-1	0.176328
12	LPAM9	0.162382
13	LOAI12-1	0.14583
14	ROPI8	0.140669
15	ROPI6	0.139578
16	ROPM1	0.138791
17	LOMS13	0.138078
18	ROPI5	0.135254
19	LTPI1-2	0.134548
20	ROPM8	0.133701
21	LOMM5	0.133461
22	LTPI2-2	0.130002
23	LOPI10	0.126511
24	RTPI2	0.120988
25	LTOJ1	0.116497

[Stimulus_c_in_75switchBlock] (59 electrodes, showing 25)
rank	electrode	rms_deviation
1	RHT5	0.368509
2	LOPM8	0.345002
3	LOPM9	0.272032
4	LOAI14-1	0.263393
5	LPAI1	0.260831
6	LTPI2-0	0.251598
7	LOAI13-1	0.193796
8	LTPI3	0.192963
9	LTMI1	0.190308
10	LOAI15-1	0.189572
11	LOPM10	0.179694
12	LPAI12	0.163934
13	LPAM9	0.162096
14	LOMS13	0.161528
15	LTPI2-1	0.147394
16	LOMM5	0.146858
17	ROPI8	0.142505
18	LOAI12-0	0.132365
19	RTPO1	0.128624
20	LOAM15	0.126292
21	LOPI10	0.120611
22	RTPI2	0.119925
23	LPAI11	0.11693
24	ROPM9	0.11313
25	LOAI13-0	0.113118

[Stimulus_i_in_25switchBlock] (59 electrodes, showing 25)
rank	electrode	rms_deviation
1	RHT5	0.411618
2	LOPM8	0.35354
3	LTPI2-0	0.258706
4	LPAI1	0.245553
5	LTPI3	0.22875
6	LOPM9	0.221323
7	LOAI14-1	0.204923
8	LPAM9	0.195093
9	LOPM10	0.185935
10	LTPI4	0.172613
11	LOAI13-1	0.167086
12	LOAI15-1	0.141567
13	LOMS13	0.139199
14	LOPI10	0.130791
15	LTPI2-2	0.126373
16	RTPO1	0.124347
17	ROPM8	0.122657
18	LOAI12-1	0.12187
19	LPAI12	0.121414
20	ROPM9	0.118639
21	RTPI1	0.118502
22	LOAI12-0	0.115779
23	ROPI8	0.113702
24	ROPI6	0.113188
25	LTMI1	0.109214

[Stimulus_i_in_75switchBlock] (59 electrodes, showing 25)
rank	electrode	rms_deviation
1	RHT5	0.36662
2	LOPM8	0.334704
3	LOAI14-1	0.296103
4	LPAM9	0.222739
5	LOAI13-1	0.218073
6	LOAI15-1	0.205647
7	LOPM9	0.198877
8	LPAI1	0.197891
9	LOMM5	0.189384
10	RTPI1	0.181755
11	LTPI2-0	0.17722
12	LTPI3	0.176238
13	LOPM10	0.171845
14	LTPI1-1	0.170444
15	LTPI4	0.168254
16	LPPI9	0.161658
17	LOMS13	0.151781
18	ROPI8	0.146944
19	LOMM4	0.142355
20	LTPI1-2	0.138856
21	ROPM1	0.136957
22	LOAI13-0	0.131168
23	LTPI2-1	0.129082
24	LTPI2-2	0.127848
25	LOMM14	0.12586

