Electrode deviation report for ROI: occ
Metric: RMS deviation of each electrode trace from the condition's across-electrode mean trace.
Scoring window: epoch start to 0s
Larger values indicate greater deviation; this is a diagnostic ranking, not a statistical outlier test.

[Stimulus_s25] (59 electrodes, showing 25)
rank	electrode	rms_deviation
1	LOPM8	0.363815
2	RHT5	0.352036
3	LTPI2-0	0.256191
4	LOPM9	0.24972
5	LPAI1	0.2492
6	LOAI14-1	0.228329
7	LTPI3	0.219849
8	LTMI1	0.219445
9	LOAI12-1	0.216741
10	ROPM1	0.216497
11	LOAI13-1	0.201968
12	LTPI4	0.198092
13	LOPM10	0.190513
14	LPAM9	0.175714
15	RTPI2	0.174362
16	ROPI5	0.173328
17	RTPI1	0.167488
18	LOPI10	0.165993
19	LPAI12	0.165449
20	LOMS13	0.163808
21	RTPO1	0.163718
22	LPPI8	0.162534
23	LOAI12-0	0.158988
24	ROPM8	0.158685
25	ROPI6	0.154579

[Stimulus_s75] (59 electrodes, showing 25)
rank	electrode	rms_deviation
1	RHT5	0.35931
2	LOPM8	0.336324
3	LOAI14-1	0.269628
4	LOPM9	0.246579
5	LTPI2-0	0.211695
6	LPAI1	0.210264
7	LOAI15-1	0.206161
8	LOAI13-1	0.198306
9	LTPI3	0.184317
10	LOPM10	0.182622
11	LPAM9	0.174732
12	LOMS13	0.144631
13	LOMM5	0.1442
14	ROPM1	0.141848
15	LTMI1	0.134142
16	ROPI8	0.130581
17	LTPI1-1	0.129941
18	LTPI4	0.128505
19	LPAI12	0.124633
20	LOAI13-0	0.108592
21	LOPI10	0.107384
22	LOMM4	0.104916
23	LPPI9	0.102732
24	RTPO1	0.102452
25	LPAI11	0.101868

[Stimulus_r25] (59 electrodes, showing 25)
rank	electrode	rms_deviation
1	RHT5	0.416216
2	LOPM8	0.358196
3	LOPM9	0.248677
4	LOAI14-1	0.22826
5	LTPI3	0.218009
6	LPAI1	0.215468
7	LTPI2-0	0.215396
8	LOPM10	0.184327
9	LOAI13-1	0.173258
10	LPAM9	0.1719
11	LTPI4	0.165361
12	LOAI15-1	0.153413
13	LTPI1-2	0.124859
14	LOMS13	0.121569
15	LTPI2-2	0.121382
16	LOPI10	0.120442
17	LOMM5	0.115031
18	LOAI12-1	0.111191
19	LOAI12-0	0.107762
20	ROPM8	0.105771
21	ROPM1	0.100397
22	LOPS12	0.0996051
23	LTOJ1	0.0990046
24	ROPI8	0.0976263
25	RTPO1	0.0975622

[Stimulus_r75] (59 electrodes, showing 25)
rank	electrode	rms_deviation
1	RHT5	0.400339
2	LOPM8	0.32681
3	LOAI14-1	0.300463
4	LPAI1	0.275834
5	LOMM5	0.256345
6	LTPI2-0	0.24326
7	LOAI13-1	0.215395
8	LOMS13	0.212514
9	LTMI1	0.209576
10	ROPM8	0.200165
11	LPPI9	0.197591
12	LTPI3	0.192046
13	RTPI1	0.190281
14	LOAI15-1	0.186365
15	LOPM9	0.181842
16	ROPM9	0.180182
17	LPAM4	0.175575
18	LPPI8	0.17501
19	ROPI8	0.1709
20	LOAI12-1	0.163596
21	ROPI5	0.162718
22	LTPI4	0.162323
23	ROPI6	0.158143
24	LPAM9	0.15533
25	LOMI12	0.15266

