Electrode deviation report for ROI: occ
Metric: RMS deviation of each electrode trace from the condition's across-electrode mean trace.
Scoring window: epoch start to 0s
Larger values indicate greater deviation; this is a diagnostic ranking, not a statistical outlier test.

[Stimulus_s75-Stimulus_r75] (59 electrodes, showing 25)
rank	electrode	rms_deviation
1	ROPM8	0.228902
2	ROPM1	0.218718
3	LPPI9	0.197219
4	LOMM5	0.197189
5	LTPI3	0.196177
6	ROPI5	0.195288
7	ROPM9	0.190782
8	LTMI1	0.186729
9	LOMS13	0.184756
10	ROPI6	0.182895
11	LOPM9	0.182601
12	LOAI15-0	0.181048
13	LTOJ13	0.180111
14	LOAI12-1	0.179605
15	LPAI1	0.179218
16	LPAM4	0.177718
17	LPPI8	0.171347
18	LTOJ1	0.17013
19	LOMI12	0.168355
20	RTPI1	0.168199
21	ROPI8	0.167896
22	LOPM10	0.165057
23	LOAI14-0	0.163929
24	LOPI10	0.161678
25	LTPI2-0	0.159602

[Stimulus_s25-Stimulus_r25] (59 electrodes, showing 25)
rank	electrode	rms_deviation
1	LTMI1	0.21954
2	LPPI8	0.2058
3	ROPM1	0.198793
4	LOAI12-1	0.191553
5	RTPI2	0.185153
6	LPPI9	0.176224
7	RHT5	0.175963
8	LPAI11	0.174787
9	RTPI1	0.174278
10	LOAI12-0	0.170882
11	ROPI5	0.169688
12	LPAI12	0.16961
13	RTPO1	0.16952
14	ROPM8	0.169002
15	LOAI15-0	0.168879
16	ROPM9	0.164458
17	LOAI13-1	0.160005
18	LOPI10	0.159319
19	LTPI2-0	0.158791
20	LOPM10	0.1578
21	LOMI11	0.157362
22	ROPI6	0.155701
23	LPPI7	0.155232
24	ROPI8	0.154036
25	LOAI15-1	0.153737

