Electrode deviation report for ROI: occ
Metric: RMS deviation of each electrode trace from the condition's across-electrode mean trace.
Scoring window: epoch start to 0s
Larger values indicate greater deviation; this is a diagnostic ranking, not a statistical outlier test.

[Stimulus_s_in_25incongruentBlock] (59 electrodes, showing 25)
rank	electrode	rms_deviation
1	RHT5	0.365754
2	LOPM8	0.349946
3	LOPM9	0.260044
4	LPAI1	0.256447
5	LOAI14-1	0.233961
6	LTPI2-0	0.228839
7	LPAM9	0.223845
8	LTPI3	0.206567
9	LTMI1	0.19977
10	LOAI13-1	0.184888
11	LOPM10	0.168352
12	LOAI15-1	0.162255
13	LPAI12	0.155624
14	ROPI8	0.15393
15	LOMS13	0.15298
16	RTPO1	0.15198
17	ROPM1	0.151705
18	LPAM4	0.144301
19	LOAI15-0	0.138929
20	LOAM15	0.136789
21	LOAI14-0	0.136494
22	LOAI12-0	0.132061
23	LOAI13-0	0.131044
24	ROPM9	0.127675
25	LOMM14	0.122944

[Stimulus_s_in_75incongruentBlock] (59 electrodes, showing 25)
rank	electrode	rms_deviation
1	RHT5	0.3502
2	LOPM8	0.336388
3	LOAI14-1	0.286315
4	LOPM9	0.25085
5	LPAM9	0.239833
6	LTPI2-0	0.21485
7	LOAI13-1	0.214684
8	LOPM10	0.214641
9	LOAI15-1	0.202476
10	LPAI1	0.193367
11	LTPI4	0.176309
12	LTPI3	0.170031
13	LTPI1-1	0.154983
14	LOMM5	0.153256
15	LOMS13	0.152097
16	RTPI1	0.150419
17	LTPI1-2	0.138841
18	LOMM4	0.137573
19	LPPI9	0.135845
20	LOAI13-0	0.132326
21	LOPI10	0.131507
22	ROPI8	0.128386
23	LOAM15	0.125638
24	LOPI9	0.125593
25	LPAI12	0.124852

[Stimulus_r_in_25incongruentBlock] (59 electrodes, showing 25)
rank	electrode	rms_deviation
1	RHT5	0.410021
2	LOPM8	0.340227
3	LOAI14-1	0.241665
4	LOPM9	0.220859
5	LPAI1	0.208435
6	LTPI3	0.195068
7	LTPI2-0	0.192556
8	LOAI13-1	0.166798
9	LTPI4	0.165937
10	ROPM8	0.147762
11	LOPM10	0.146728
12	LOAI12-1	0.146539
13	LOMM5	0.142597
14	LOAI15-1	0.137777
15	LTOJ1	0.137053
16	LTPI2-2	0.13681
17	LOMS13	0.134012
18	LPAM9	0.133745
19	LPAI11	0.122493
20	LOAI12-0	0.116567
21	LOPI10	0.114206
22	LOMM4	0.113968
23	LTOJ13	0.113805
24	LTPI1-2	0.113724
25	LPPI8	0.111813

[Stimulus_r_in_75incongruentBlock] (59 electrodes, showing 25)
rank	electrode	rms_deviation
1	RHT5	0.414589
2	LOPM8	0.37165
3	LTPI2-0	0.25476
4	LOAI14-1	0.254127
5	LPAI1	0.252004
6	LOPM9	0.248268
7	LTPI3	0.22475
8	LPAM9	0.213431
9	LOPM10	0.204984
10	LOAI13-1	0.187301
11	LOAI15-1	0.179906
12	LTPI4	0.164645
13	LOMS13	0.152976
14	LOMM5	0.138936
15	ROPM8	0.135252
16	LOAI12-0	0.131245
17	RTPO1	0.127971
18	RTPI1	0.125436
19	ROPM1	0.123334
20	LOPI10	0.115238
21	LTLI3	0.111962
22	ROPM9	0.110889
23	LOPS12	0.109478
24	LPPI8	0.105212
25	LTPI1-2	0.103821

