Electrode deviation report for ROI: lpfc
Metric: RMS deviation of each electrode trace from the condition's across-electrode mean trace.
Scoring window: epoch start to 0s
Larger values indicate greater deviation; this is a diagnostic ranking, not a statistical outlier test.

[Stimulus_c_in_25switchBlock] (32 electrodes, showing 25)
rank	electrode	rms_deviation
1	LFPS1	0.199014
2	LAI13	0.198781
3	LAI14	0.187213
4	LFOP14	0.180592
5	LIA13	0.164585
6	LFMI3-1	0.158709
7	RPI14	0.154052
8	RINS12	0.135934
9	LFAM10-0	0.13527
10	LAI12	0.127791
11	RINS13	0.118869
12	LFAM11-0	0.112248
13	LFAM10-1	0.108714
14	LAI10-1	0.106279
15	LINS12	0.105605
16	LOF14	0.100311
17	LFMI3-0	0.0999728
18	LAI5	0.0978346
19	RMMF10	0.0961627
20	LFAM11-1	0.0946653
21	LAI7	0.0915288
22	RINS11	0.0905999
23	RAMF12	0.089051
24	RAI6	0.0887774
25	RPI15	0.088455

[Stimulus_c_in_75switchBlock] (32 electrodes, showing 25)
rank	electrode	rms_deviation
1	LFPS1	0.245137
2	LAI13	0.23257
3	LAI14	0.174346
4	LAI5	0.15108
5	LOF13	0.129527
6	LFMI3-1	0.127625
7	LFAM9	0.124753
8	RINS12	0.124098
9	LFAM8	0.113087
10	LAI10-0	0.112592
11	RINS13	0.110428
12	LFAM11-0	0.106826
13	LFAM11-1	0.103729
14	LFAM12	0.102143
15	RAMF12	0.10212
16	LASF10	0.0980679
17	LFAM10-1	0.09766
18	LAI7	0.095763
19	RPI14	0.0956658
20	RPI15	0.0941783
21	LFAM10-0	0.0878904
22	RAI6	0.0858913
23	LFMI3-0	0.0858607
24	LAI10-1	0.0856439
25	LINS12	0.0821156

[Stimulus_i_in_25switchBlock] (32 electrodes, showing 25)
rank	electrode	rms_deviation
1	LFPS1	0.186612
2	LFMI3-1	0.171767
3	LAI10-1	0.15607
4	LAI13	0.139434
5	RPI14	0.13483
6	LAI14	0.126335
7	LMMF12	0.124653
8	LAI12	0.123439
9	RINS11	0.122232
10	LOF13	0.118667
11	RAMF12	0.111784
12	LFAM8	0.110865
13	LIA13	0.109598
14	LOF14	0.109172
15	LFOP14	0.107902
16	LASF10	0.104218
17	LAI7	0.101458
18	LFMI3-0	0.101326
19	LFAM10-1	0.0951921
20	RAI6	0.0917273
21	LFAM12	0.0905715
22	RPI15	0.0891684
23	LAI5	0.0891225
24	LAI10-0	0.0880936
25	LFAM10-0	0.0867316

[Stimulus_i_in_75switchBlock] (32 electrodes, showing 25)
rank	electrode	rms_deviation
1	LAI13	0.283032
2	LAI14	0.233131
3	LINS12	0.166951
4	LFMI3-1	0.164631
5	LFPS1	0.160664
6	LOF13	0.147936
7	RPI15	0.143923
8	LFMI3-0	0.140224
9	LAI5	0.125393
10	LFAM12	0.123819
11	LOF14	0.122477
12	LAI10-1	0.121635
13	LAI7	0.117921
14	RPI14	0.115999
15	RAMF12	0.114904
16	LFAM11-1	0.10819
17	LFAM8	0.10784
18	LFAM10-0	0.106964
19	LASF10	0.102288
20	RAI6	0.100049
21	LFAM10-1	0.096504
22	LAI10-0	0.0940112
23	RINS11	0.0937414
24	RMMF10	0.0898667
25	LIA13	0.0891988

