Electrode deviation report for ROI: lpfc
Metric: RMS deviation of each electrode trace from the condition's across-electrode mean trace.
Scoring window: epoch start to 0s
Larger values indicate greater deviation; this is a diagnostic ranking, not a statistical outlier test.

[Stimulus_c25] (32 electrodes, showing 25)
rank	electrode	rms_deviation
1	LAI13	0.195653
2	LFPS1	0.165941
3	LIA13	0.157923
4	LAI14	0.151936
5	LFOP14	0.139059
6	LFMI3-1	0.13425
7	LFAM11-1	0.0936076
8	LFMI3-0	0.093211
9	LAI5	0.0928725
10	RPI14	0.0926949
11	LFAM10-0	0.0920645
12	LFAM8	0.0920398
13	LFAM9	0.0896511
14	RINS12	0.0849486
15	LMMF12	0.0847013
16	LFAM12	0.0845482
17	LFAM10-1	0.0822822
18	LAI12	0.0822425
19	LFAM11-0	0.0821998
20	RINS13	0.0821087
21	LAI7	0.0808001
22	RPI15	0.077183
23	RAMF12	0.0753135
24	LAI10-0	0.0743081
25	RINS11	0.0718521

[Stimulus_c75] (32 electrodes, showing 25)
rank	electrode	rms_deviation
1	LAI14	0.335532
2	LAI13	0.259891
3	LFMI3-1	0.196646
4	LFPS1	0.188115
5	RAMF12	0.177122
6	LIA13	0.176739
7	LFAM9	0.171018
8	LAI12	0.163749
9	LFAM11-1	0.154363
10	LFAM10-0	0.152722
11	LAI10-1	0.152715
12	LFAM8	0.152625
13	LFAM10-1	0.152295
14	RPI14	0.144907
15	LAI5	0.14111
16	RINS13	0.138648
17	LOF13	0.136873
18	RAI6	0.13511
19	LASF10	0.133196
20	LFAM11-0	0.132648
21	LMMF12	0.130036
22	LFAM12	0.126991
23	RINS12	0.126752
24	LAI7	0.125536
25	RMMF10	0.119867

[Stimulus_i25] (32 electrodes, showing 25)
rank	electrode	rms_deviation
1	LAI13	0.254102
2	LFMI3-1	0.218449
3	LFPS1	0.198518
4	LFAM12	0.18142
5	LAI12	0.177372
6	LOF13	0.174678
7	LAI14	0.174018
8	LAI10-0	0.173725
9	LFMI3-0	0.173074
10	LAI5	0.17233
11	LMMF12	0.169662
12	RPI15	0.167026
13	LFAM11-0	0.1558
14	RINS13	0.149392
15	LAI7	0.146969
16	RPI14	0.143451
17	LAI10-1	0.141651
18	LFOP14	0.14017
19	RINS11	0.139753
20	LOF14	0.138182
21	RMMF10	0.13628
22	LFAM10-1	0.135425
23	LINS12	0.128588
24	RAI6	0.123469
25	LFAM9	0.123367

[Stimulus_i75] (32 electrodes, showing 25)
rank	electrode	rms_deviation
1	LAI13	0.193951
2	LFPS1	0.15685
3	LAI14	0.155308
4	LFMI3-1	0.150822
5	LOF13	0.133315
6	RPI14	0.108244
7	LFMI3-0	0.107209
8	LAI12	0.106378
9	LFAM12	0.10341
10	LINS12	0.0990403
11	LAI7	0.0949162
12	RPI15	0.0948584
13	LOF14	0.0896644
14	RINS11	0.089009
15	LIA13	0.0872485
16	LFAM11-0	0.0854596
17	LFAM10-0	0.0833695
18	LFAM11-1	0.0819358
19	RMMF10	0.0802863
20	RINS13	0.0788652
21	LFAM10-1	0.077813
22	RAI6	0.0775688
23	LASF10	0.0773755
24	LFOP14	0.0766129
25	RAMF12	0.0753526

