Electrode deviation report for ROI: lpfc
Metric: RMS deviation of each electrode trace from the condition's across-electrode mean trace.
Scoring window: epoch start to 0s
Larger values indicate greater deviation; this is a diagnostic ranking, not a statistical outlier test.

[Stimulus_i75-Stimulus_c75] (32 electrodes, showing 25)
rank	electrode	rms_deviation
1	LAI14	0.268784
2	LFAM10-0	0.200265
3	LFAM9	0.189581
4	LAI10-1	0.184747
5	LFPS1	0.183387
6	RAMF12	0.178374
7	LAI13	0.17144
8	LAI7	0.164081
9	LFAM11-1	0.162525
10	LFMI3-0	0.157611
11	LFAM8	0.154323
12	RAI6	0.153505
13	LIA13	0.152679
14	LASF10	0.152233
15	RPI14	0.151369
16	LMMF12	0.149934
17	LINS12	0.14775
18	LAI5	0.143674
19	LFMI3-1	0.141509
20	LFAM12	0.141157
21	LFOP14	0.140831
22	LFAM11-0	0.140497
23	LFAM10-1	0.13842
24	RINS11	0.135459
25	RINS13	0.134873

[Stimulus_i25-Stimulus_c25] (32 electrodes, showing 25)
rank	electrode	rms_deviation
1	LAI5	0.225208
2	LFMI3-0	0.212661
3	LAI7	0.187558
4	LFAM12	0.18672
5	LFAM8	0.184425
6	LFMI3-1	0.183615
7	LIA13	0.179399
8	LFPS1	0.178062
9	LFAM10-1	0.170518
10	LAI10-0	0.166756
11	LAI12	0.165568
12	LMMF12	0.165474
13	RPI15	0.165298
14	LAI10-1	0.160848
15	LFAM11-0	0.155539
16	RINS13	0.153842
17	LOF13	0.153019
18	LAI13	0.152587
19	LASF10	0.149069
20	RAMF12	0.149054
21	LFAM9	0.148717
22	LOF14	0.145595
23	RINS11	0.138352
24	RAI6	0.137935
25	LINS12	0.136293

