Electrode deviation report for ROI: lpfc
Metric: RMS deviation of each electrode trace from the condition's across-electrode mean trace.
Scoring window: epoch start to 0s
Larger values indicate greater deviation; this is a diagnostic ranking, not a statistical outlier test.

[Stimulus_s25] (32 electrodes, showing 25)
rank	electrode	rms_deviation
1	LAI13	0.265948
2	LAI14	0.207459
3	LAI7	0.197649
4	LFAM10-0	0.195408
5	LINS12	0.18928
6	LIA13	0.16422
7	LFMI3-1	0.164061
8	LAI10-0	0.162355
9	LFPS1	0.161109
10	RMMF10	0.1589
11	RAMF12	0.155246
12	LAI12	0.155197
13	RPI15	0.152361
14	RPI14	0.151216
15	LFAM8	0.151181
16	LFOP14	0.147263
17	RINS12	0.144071
18	RAI6	0.143781
19	LFAM11-0	0.141681
20	LFAM10-1	0.140315
21	LFMI3-0	0.135359
22	LMMF12	0.134236
23	LAI5	0.127747
24	LFAM12	0.127459
25	LAI10-1	0.125397

[Stimulus_s75] (32 electrodes, showing 25)
rank	electrode	rms_deviation
1	LAI13	0.248427
2	LAI14	0.176874
3	LFPS1	0.176484
4	LFMI3-1	0.143568
5	LOF13	0.121287
6	RPI15	0.109032
7	LFAM12	0.105577
8	RAMF12	0.0998616
9	RPI14	0.0995629
10	LINS12	0.0961187
11	RINS12	0.0920234
12	LFAM11-0	0.0914262
13	LFAM8	0.0913177
14	LOF14	0.0894227
15	LAI5	0.0869377
16	LFAM9	0.0857471
17	LAI12	0.0849411
18	LFAM10-0	0.0848123
19	LFMI3-0	0.0842734
20	RAI6	0.0813043
21	LAI7	0.0810879
22	LASF10	0.0768456
23	LAI10-0	0.0758042
24	RINS13	0.075306
25	LAI10-1	0.0750294

[Stimulus_r25] (32 electrodes, showing 25)
rank	electrode	rms_deviation
1	LFMI3-1	0.172084
2	LAI14	0.157191
3	LFPS1	0.150462
4	RPI14	0.139131
5	LAI13	0.138528
6	LFOP14	0.116388
7	RINS11	0.104747
8	LAI12	0.104707
9	LMMF12	0.0939767
10	LOF14	0.0931862
11	LFMI3-0	0.092094
12	RINS12	0.0920178
13	RAMF12	0.0889721
14	RINS13	0.0870357
15	LOF13	0.0837143
16	LFAM12	0.0785368
17	RMMF10	0.0772815
18	LAI10-1	0.077161
19	RAI6	0.0758352
20	RPI15	0.0728328
21	LFAM10-1	0.0722286
22	LFAM11-0	0.0703969
23	LASF10	0.0701104
24	LAI10-0	0.0683637
25	LAI7	0.0675424

[Stimulus_r75] (32 electrodes, showing 25)
rank	electrode	rms_deviation
1	LAI13	0.29469
2	LAI14	0.232312
3	LOF13	0.220044
4	LFPS1	0.204269
5	LAI5	0.194792
6	RAMF12	0.194507
7	LFAM11-0	0.188509
8	RINS13	0.176795
9	LINS12	0.174472
10	RPI14	0.1661
11	LFMI3-1	0.164282
12	RPI15	0.161703
13	LAI10-0	0.154837
14	RINS11	0.152795
15	LAI12	0.148944
16	LIA13	0.148477
17	RINS12	0.145439
18	LOF14	0.145246
19	LFOP14	0.144402
20	RAI6	0.141515
21	LFAM11-1	0.140148
22	LFAM8	0.139119
23	LFAM10-1	0.138692
24	LASF10	0.138021
25	LMMF12	0.13384

