Electrode deviation report for ROI: lpfc
Metric: RMS deviation of each electrode trace from the condition's across-electrode mean trace.
Scoring window: epoch start to 0s
Larger values indicate greater deviation; this is a diagnostic ranking, not a statistical outlier test.

[Stimulus_s75-Stimulus_r75] (32 electrodes, showing 25)
rank	electrode	rms_deviation
1	LFAM11-0	0.231725
2	LAI14	0.219132
3	RAMF12	0.219025
4	LAI13	0.205798
5	LINS12	0.202229
6	LAI5	0.201165
7	LOF13	0.187742
8	RINS13	0.185901
9	LASF10	0.178495
10	LFOP14	0.178361
11	LAI12	0.178026
12	LFAM12	0.176071
13	LFAM8	0.17286
14	RAI6	0.171542
15	RPI14	0.169814
16	RPI15	0.169159
17	RINS12	0.162331
18	LFAM11-1	0.162139
19	LAI10-0	0.159553
20	LOF14	0.158775
21	LIA13	0.154148
22	LFAM9	0.153621
23	RINS11	0.151442
24	LFMI3-0	0.151009
25	LFAM10-1	0.149324

[Stimulus_s25-Stimulus_r25] (32 electrodes, showing 25)
rank	electrode	rms_deviation
1	LAI14	0.248624
2	LAI7	0.231177
3	LINS12	0.206644
4	LFAM10-0	0.204691
5	LFAM12	0.185018
6	LAI10-1	0.183372
7	LAI10-0	0.180635
8	LAI13	0.178485
9	RAMF12	0.173562
10	LFAM8	0.167752
11	LFOP14	0.16451
12	RAI6	0.163862
13	LIA13	0.162663
14	LFMI3-0	0.162613
15	LFMI3-1	0.162081
16	LFPS1	0.159167
17	LAI12	0.158933
18	RPI15	0.156247
19	RINS11	0.153328
20	RMMF10	0.151962
21	LFAM10-1	0.150631
22	LFAM11-1	0.149765
23	LFAM11-0	0.147569
24	LAI5	0.139824
25	LFAM9	0.133692

