Electrode deviation report for ROI: lpfc
Metric: RMS deviation of each electrode trace from the condition's across-electrode mean trace.
Scoring window: epoch start to 0s
Larger values indicate greater deviation; this is a diagnostic ranking, not a statistical outlier test.

[Stimulus_s_in_25incongruentBlock] (32 electrodes, showing 25)
rank	electrode	rms_deviation
1	LFPS1	0.220807
2	LAI13	0.216687
3	LAI14	0.161345
4	LFMI3-1	0.142304
5	LIA13	0.128094
6	LAI5	0.12565
7	LFAM8	0.125631
8	LFAM9	0.124677
9	RINS12	0.114992
10	RPI15	0.112797
11	RAI6	0.111914
12	LAI10-0	0.110449
13	LFAM12	0.108757
14	LFAM11-1	0.107217
15	LFOP14	0.10497
16	RPI14	0.103564
17	LAI7	0.103219
18	LFMI3-0	0.102091
19	LFAM10-1	0.100342
20	LFAM11-0	0.0999593
21	LASF10	0.0997987
22	LAI12	0.0971333
23	LINS12	0.095936
24	LFAM10-0	0.0887435
25	LOF13	0.0877927

[Stimulus_s_in_75incongruentBlock] (32 electrodes, showing 25)
rank	electrode	rms_deviation
1	LAI13	0.274739
2	LAI14	0.247339
3	LFMI3-1	0.178363
4	LFPS1	0.156298
5	LFAM12	0.141451
6	LOF13	0.130492
7	LAI12	0.127265
8	LFAM11-1	0.126644
9	RINS13	0.120347
10	LFAM11-0	0.118339
11	LAI10-1	0.113275
12	LOF14	0.112821
13	LFAM10-1	0.109592
14	RPI14	0.108744
15	LFMI3-0	0.108266
16	LAI7	0.107384
17	RAMF12	0.106064
18	LAI5	0.104691
19	LFAM8	0.103469
20	RAI6	0.1032
21	RPI15	0.101627
22	LAI10-0	0.100234
23	LFOP14	0.0987088
24	LMMF12	0.0978259
25	LINS12	0.0955097

[Stimulus_r_in_25incongruentBlock] (32 electrodes, showing 25)
rank	electrode	rms_deviation
1	LAI13	0.203853
2	LFOP14	0.190419
3	LFPS1	0.166634
4	LFAM11-0	0.165336
5	LAI14	0.161609
6	LIA13	0.160162
7	LFMI3-1	0.15374
8	LFAM12	0.139913
9	RPI14	0.135804
10	LAI12	0.131064
11	RMMF10	0.122261
12	LMMF12	0.115508
13	RINS13	0.114163
14	RINS11	0.11275
15	LOF13	0.110967
16	RINS12	0.108196
17	RAMF12	0.104516
18	LASF10	0.102637
19	RAI6	0.0975838
20	LOF14	0.0969784
21	LAI5	0.0967696
22	LFAM10-0	0.094339
23	LFMI3-0	0.092614
24	LFAM11-1	0.0898873
25	RPI15	0.0834873

[Stimulus_r_in_75incongruentBlock] (32 electrodes, showing 25)
rank	electrode	rms_deviation
1	LAI14	0.182424
2	LFMI3-1	0.180301
3	LFPS1	0.166202
4	LAI13	0.163916
5	LOF13	0.153954
6	LIA13	0.136528
7	LAI12	0.130183
8	RPI14	0.125444
9	RPI15	0.109337
10	LFAM10-1	0.108571
11	RINS11	0.107888
12	LFMI3-0	0.106574
13	LINS12	0.105262
14	RMMF10	0.104601
15	RAMF12	0.103522
16	LASF10	0.101859
17	LFAM10-0	0.100936
18	LOF14	0.100643
19	LAI10-1	0.099465
20	LFAM11-0	0.0982019
21	RAI6	0.0944414
22	LAI7	0.0922801
23	LFAM12	0.0920143
24	LMMF12	0.0917304
25	LFOP14	0.0912916

