Electrode deviation report for ROI: lpfc
Metric: RMS deviation of each electrode trace from the condition's across-electrode mean trace.
Scoring window: epoch start to 0s
Larger values indicate greater deviation; this is a diagnostic ranking, not a statistical outlier test.

[Stimulus_c_in_25switchBlock] (62 electrodes, showing 25)
rank	electrode	rms_deviation
1	LFPS1	0.200839
2	LAI13	0.200436
3	LAI14	0.189682
4	LIA15	0.178296
5	LFOP14	0.176327
6	LIA14	0.157038
7	LFMI3-1	0.155886
8	RPI14	0.153533
9	LIA13	0.152806
10	RINS12	0.145727
11	RINS13	0.12984
12	LAI12	0.128339
13	LFAM10-0	0.128101
14	LFAM10-1	0.118412
15	LFAI3	0.113107
16	LAI10-1	0.110192
17	LFAM11-0	0.108887
18	LINS12	0.107098
19	LFAI4	0.106711
20	LOF14	0.104844
21	LFPI10	0.104753
22	LAI5	0.103964
23	RFO13	0.103429
24	LFAM11-1	0.102785
25	LFMI3-0	0.102237

[Stimulus_c_in_75switchBlock] (62 electrodes, showing 25)
rank	electrode	rms_deviation
1	LFPS1	0.25492
2	LAI13	0.240964
3	LAI14	0.17589
4	LAI5	0.160531
5	RAI12	0.154992
6	LOF13	0.139563
7	RFMM11	0.133645
8	RINS12	0.129928
9	LFMI3-1	0.12774
10	LAI4-0	0.127051
11	LAI4-1	0.123854
12	LFAM9	0.122499
13	RFMM10	0.116256
14	LFAI3	0.115835
15	RINS13	0.11522
16	LAI8-1	0.115127
17	LAI8-0	0.108606
18	LASF10	0.107045
19	RINS6	0.104925
20	RFO13	0.104785
21	LIA15	0.104579
22	LFAM8	0.104051
23	LFAM11-0	0.103356
24	LAI10-0	0.102916
25	LFAI4	0.102067

[Stimulus_i_in_25switchBlock] (62 electrodes, showing 25)
rank	electrode	rms_deviation
1	LFPS1	0.189102
2	LFMI3-1	0.169181
3	RAI12	0.165866
4	LAI10-1	0.161905
5	RMMF14	0.1416
6	RPI14	0.138136
7	LAI13	0.137839
8	RFO13	0.134514
9	LAI14	0.130532
10	LFPI10	0.124559
11	LOF13	0.124505
12	RINS11	0.124168
13	LAI8-0	0.123504
14	LAI12	0.12232
15	RIFMEG1	0.121857
16	LFAI3	0.121017
17	LMMF12	0.118731
18	RAI6-1	0.117296
19	LOF14	0.116336
20	RAMF12	0.113623
21	LFAM8	0.113294
22	LIA15	0.112579
23	LFOP14	0.111312
24	LFAI4	0.109455
25	RFMM10	0.107836

[Stimulus_i_in_75switchBlock] (62 electrodes, showing 25)
rank	electrode	rms_deviation
1	LAI13	0.285949
2	LAI14	0.236853
3	LINS12	0.169747
4	LFMI3-1	0.167242
5	LFPS1	0.159207
6	LOF13	0.148851
7	RPI15	0.143964
8	LFAI3	0.13956
9	RAI6-1	0.139265
10	LFMI3-0	0.135495
11	LAI4-0	0.129242
12	LFPI10	0.128449
13	LFAI4	0.124338
14	LFAM12	0.124303
15	LAI5	0.124077
16	LPSF16	0.123155
17	LAI7	0.120806
18	LOF14	0.119231
19	LAI8-0	0.118949
20	RFO13	0.11841
21	LAI10-1	0.118149
22	RINS6	0.116076
23	RAMF12	0.114104
24	RPI14	0.113443
25	LFAM11-1	0.112099

