Electrode deviation report for ROI: lpfc
Metric: RMS deviation of each electrode trace from the condition's across-electrode mean trace.
Scoring window: epoch start to 0s
Larger values indicate greater deviation; this is a diagnostic ranking, not a statistical outlier test.

[Stimulus_c25] (62 electrodes, showing 25)
rank	electrode	rms_deviation
1	LAI13	0.198036
2	LFPS1	0.165842
3	LIA13	0.160569
4	LAI14	0.153422
5	LAI4-0	0.147959
6	LFOP14	0.143759
7	LFMI3-1	0.134012
8	LIA14	0.125886
9	LFAI4	0.108656
10	LIA15	0.101259
11	RPI14	0.0991692
12	LAI8-0	0.0970638
13	LAI5	0.0954974
14	LFMI3-0	0.0946765
15	LLeSS8	0.0939181
16	LFAM10-0	0.0932632
17	RFMM11	0.0930257
18	LAI8-1	0.0925653
19	LFAM11-1	0.0921495
20	LFAM9	0.0916148
21	LFAM8	0.0904098
22	RINS12	0.0868959
23	RFMM10	0.0852234
24	RAI12	0.084443
25	RINS13	0.0841839

[Stimulus_c75] (62 electrodes, showing 25)
rank	electrode	rms_deviation
1	LAI14	0.338408
2	LAI13	0.266326
3	RAI6-1	0.207059
4	LAI4-0	0.206259
5	LFMI3-1	0.197879
6	RAI12	0.186716
7	LFPS1	0.185353
8	LFAM9	0.180353
9	RAMF11	0.17443
10	LIA13	0.17318
11	RFMM10	0.169486
12	LAI12	0.165822
13	LFAM11-1	0.163777
14	LFAM10-1	0.163106
15	RAMF12	0.162758
16	LFAM8	0.159503
17	LFAI4	0.159421
18	LAI8-0	0.156055
19	RINS6	0.154248
20	LAI4-1	0.149107
21	LOF13	0.148345
22	LFMM12	0.147182
23	RMMF14	0.145258
24	RAI15	0.145233
25	LAI10-1	0.144381

[Stimulus_i25] (62 electrodes, showing 25)
rank	electrode	rms_deviation
1	RFO13	0.267766
2	LAI13	0.255903
3	LFMI3-1	0.225641
4	RMMF14	0.210925
5	RINS6	0.201214
6	LFPS1	0.195818
7	RAMF11	0.18868
8	LAI12	0.186914
9	LFAM12	0.182876
10	LAI14	0.177343
11	LAI10-0	0.175941
12	LOF13	0.175874
13	LFPI10	0.175513
14	LFAI3	0.173724
15	RPI15	0.171119
16	RAI15	0.170996
17	LFMI3-0	0.170087
18	LAI5	0.169252
19	LMMF12	0.167693
20	RIFMEG1	0.15842
21	LAI8-1	0.156653
22	LINS13	0.155733
23	RIFMEG2	0.155436
24	LFAM11-0	0.155113
25	RINS13	0.150822

[Stimulus_i75] (62 electrodes, showing 25)
rank	electrode	rms_deviation
1	LAI13	0.195834
2	LAI14	0.161895
3	LFPS1	0.1554
4	LFMI3-1	0.149915
5	LOF13	0.137885
6	RAI12	0.134519
7	LAI4-0	0.133986
8	LAI8-0	0.127688
9	LFPI10	0.111094
10	LFAI4	0.106945
11	RPI14	0.105009
12	LFMI3-0	0.102768
13	LAI12	0.100601
14	LFAM12	0.100502
15	LFAI3	0.100101
16	LINS12	0.0998671
17	RFO13	0.099402
18	RAI15	0.0970347
19	LAI7	0.0952448
20	RFMM11	0.0938233
21	RPI15	0.0927055
22	LOF14	0.0914469
23	LIA15	0.0913008
24	RFMM10	0.0899728
25	LFAM11-1	0.0897002

