Electrode deviation report for ROI: lpfc
Metric: RMS deviation of each electrode trace from the condition's across-electrode mean trace.
Scoring window: epoch start to 0s
Larger values indicate greater deviation; this is a diagnostic ranking, not a statistical outlier test.

[Stimulus_i75-Stimulus_c75] (62 electrodes, showing 25)
rank	electrode	rms_deviation
1	LAI14	0.268112
2	RAI6-1	0.210722
3	RFMM10	0.210256
4	LFPS1	0.196126
5	LFAM9	0.195944
6	LAI4-0	0.191632
7	LFAM10-0	0.190592
8	LFAI4	0.190313
9	RAMF11	0.18377
10	LAI10-1	0.183469
11	RFO13	0.182246
12	LAI13	0.180612
13	LFAM11-1	0.172035
14	LPSF16	0.169595
15	RAI12	0.164814
16	LAI7	0.163427
17	LFMI3-0	0.162692
18	RAMF12	0.162124
19	RINS6	0.160825
20	RAI6-0	0.160123
21	LFAM8	0.160113
22	LFMM12	0.158858
23	LAI8-1	0.153369
24	LINS12	0.153108
25	LIA13	0.151555

[Stimulus_i25-Stimulus_c25] (62 electrodes, showing 25)
rank	electrode	rms_deviation
1	RFO13	0.256948
2	RINS6	0.252398
3	LAI5	0.229457
4	RMMF14	0.220907
5	LFMI3-0	0.214757
6	LIA15	0.210065
7	RAMF11	0.208136
8	LFAI3	0.20378
9	LAI8-1	0.199178
10	LAI7	0.192794
11	LFMI3-1	0.190323
12	LFAM12	0.189165
13	LIA14	0.186846
14	LIA13	0.186033
15	LFAM8	0.182948
16	LFPI10	0.177449
17	LAI8-0	0.174791
18	LAI12	0.173835
19	LFPS1	0.172812
20	RFMM11	0.171878
21	LFAM10-1	0.171291
22	RFMM10	0.169429
23	LINS13	0.169418
24	LAI10-0	0.169157
25	LMMF12	0.168719

