Electrode deviation report for ROI: lpfc
Metric: RMS deviation of each electrode trace from the condition's across-electrode mean trace.
Scoring window: epoch start to 0s
Larger values indicate greater deviation; this is a diagnostic ranking, not a statistical outlier test.

[Stimulus_s25] (62 electrodes, showing 25)
rank	electrode	rms_deviation
1	LAI13	0.264533
2	LFAM10-0	0.200807
3	LFPI10	0.200373
4	LAI14	0.199249
5	LAI7	0.194794
6	LINS12	0.185745
7	LAI8-1	0.184708
8	RMMF14	0.175721
9	LAI8-0	0.168897
10	RAMF11	0.164694
11	LAI10-0	0.164646
12	LFMI3-1	0.163938
13	LAI12	0.162973
14	LIA13	0.160818
15	RPI14	0.160353
16	RAMF12	0.160322
17	LFAM8	0.157711
18	LFAI3	0.157541
19	RPI15	0.156664
20	RMMF10	0.156514
21	LFPS1	0.154932
22	LFAI4	0.152351
23	LFOP14	0.149748
24	LIA14	0.14936
25	RINS6	0.149132

[Stimulus_s75] (62 electrodes, showing 25)
rank	electrode	rms_deviation
1	LAI13	0.255119
2	LFPS1	0.183081
3	LAI14	0.182324
4	LFMI3-1	0.148596
5	RAI12	0.134719
6	LOF13	0.121939
7	LAI8-0	0.108033
8	LFAM12	0.10523
9	RPI15	0.102957
10	LINS12	0.100296
11	RAMF12	0.0963126
12	RIFMEG1	0.0949441
13	RPI14	0.0948765
14	RFMM11	0.0947782
15	RFO13	0.0928217
16	LAI4-0	0.0924628
17	LFAI3	0.091622
18	RINS12	0.091305
19	LFAM11-0	0.0902661
20	LLeSS10	0.0897061
21	RFMM10	0.089073
22	LAI5	0.087964
23	LFAM10-0	0.0866983
24	LOF14	0.0863826
25	LFAM8	0.0856378

[Stimulus_r25] (62 electrodes, showing 25)
rank	electrode	rms_deviation
1	LFMI3-1	0.168293
2	LAI14	0.16057
3	LFPS1	0.145699
4	RPI14	0.13992
5	LAI13	0.139018
6	LFOP14	0.116401
7	RINS11	0.109124
8	LAI12	0.107474
9	RFO13	0.102309
10	LIA15	0.101522
11	RINS12	0.0970973
12	LOF14	0.0962296
13	LFAI3	0.0939841
14	RINS13	0.0937846
15	RAI12	0.0933013
16	LMMF12	0.0907136
17	LFMI3-0	0.0898832
18	LOF13	0.0890924
19	RIFMEG1	0.0877843
20	RAMF11	0.086789
21	RAMF12	0.0858402
22	LFPI10	0.0857317
23	RMMF14	0.0823835
24	LLeSS8	0.0823453
25	LPSF16	0.0815984

[Stimulus_r75] (62 electrodes, showing 25)
rank	electrode	rms_deviation
1	LAI13	0.293942
2	LOF13	0.237051
3	LAI14	0.228287
4	LFAI3	0.203622
5	LFPS1	0.202757
6	LAI5	0.199369
7	RAI6-1	0.197609
8	LFAM11-0	0.196326
9	LAI4-0	0.188869
10	RAMF12	0.187321
11	RINS13	0.182775
12	LINS12	0.176038
13	LAI8-1	0.172801
14	LLeSS10	0.166644
15	LFAM10-1	0.163186
16	RPI15	0.162792
17	LFPI10	0.159266
18	LFAM8	0.158787
19	LOF14	0.157673
20	LFOP14	0.156617
21	LAI4-1	0.156224
22	LIA13	0.155319
23	LFAM11-1	0.154745
24	RAMF11	0.154591
25	RINS11	0.154129

