Electrode deviation report for ROI: lpfc
Metric: RMS deviation of each electrode trace from the condition's across-electrode mean trace.
Scoring window: epoch start to 0s
Larger values indicate greater deviation; this is a diagnostic ranking, not a statistical outlier test.

[Stimulus_s75-Stimulus_r75] (62 electrodes, showing 25)
rank	electrode	rms_deviation
1	LFAM11-0	0.243322
2	LLeSS10	0.233739
3	RAI6-1	0.222555
4	LAI4-0	0.21582
5	RAMF12	0.214646
6	LAI14	0.212442
7	LAI5	0.202249
8	LAI13	0.201501
9	LINS12	0.199037
10	LOF13	0.198003
11	RINS13	0.192864
12	RFMM10	0.190127
13	LFOP14	0.18844
14	LLeSS9	0.186565
15	LFAM8	0.186512
16	LFAI4	0.185151
17	LAI12	0.181739
18	RAMF11	0.178737
19	RAI6-0	0.177139
20	LFAM12	0.177134
21	LFAM11-1	0.175403
22	RFMM11	0.173836
23	LFAM9	0.173583
24	LFAM10-1	0.173407
25	LOF14	0.171629

[Stimulus_s25-Stimulus_r25] (62 electrodes, showing 25)
rank	electrode	rms_deviation
1	LAI14	0.241023
2	LAI7	0.223579
3	RAMF11	0.21889
4	LFAM10-0	0.214626
5	LINS12	0.201138
6	LFPI10	0.19114
7	LFAM12	0.188074
8	RMMF14	0.187238
9	LFAI4	0.186705
10	LAI8-1	0.182713
11	LAI10-1	0.182223
12	LAI8-0	0.180638
13	LAI10-0	0.17839
14	RAMF12	0.178367
15	LAI13	0.175675
16	LFAM8	0.174799
17	RFO13	0.170922
18	LAI12	0.165661
19	LIA13	0.165626
20	RINS11	0.163608
21	LFAM10-1	0.163552
22	LFOP14	0.163321
23	RAI6-0	0.162735
24	LFAM11-1	0.161251
25	LFMI3-0	0.160984

