Electrode deviation report for ROI: lpfc
Metric: RMS deviation of each electrode trace from the condition's across-electrode mean trace.
Scoring window: epoch start to 0s
Larger values indicate greater deviation; this is a diagnostic ranking, not a statistical outlier test.

[Stimulus_s_in_25incongruentBlock] (62 electrodes, showing 25)
rank	electrode	rms_deviation
1	LFPS1	0.230707
2	LAI13	0.222804
3	LAI14	0.162799
4	RFMM11	0.147792
5	LFMI3-1	0.146156
6	LAI4-0	0.136617
7	LAI5	0.135009
8	RAI12	0.132263
9	LIA13	0.131765
10	LFAI4	0.129365
11	LFAM9	0.118813
12	LFAM8	0.116016
13	RINS12	0.113957
14	RAI6-0	0.11349
15	LFPI10	0.112444
16	LFOP14	0.111771
17	RPI15	0.111051
18	RAI6-1	0.109841
19	RPI14	0.10937
20	LFAM12	0.107859
21	LFMI3-0	0.106376
22	RINS6	0.104971
23	LAI10-0	0.103745
24	RMMF14	0.10354
25	LINS12	0.103106

[Stimulus_s_in_75incongruentBlock] (62 electrodes, showing 25)
rank	electrode	rms_deviation
1	LAI13	0.276101
2	LAI14	0.250626
3	LFMI3-1	0.180532
4	LAI8-0	0.173026
5	LAI4-0	0.168458
6	LFPS1	0.157358
7	RFO13	0.157247
8	RAI12	0.144911
9	LFAM12	0.143708
10	LFAI4	0.142829
11	LOF13	0.128014
12	LFAM11-1	0.127131
13	LAI12	0.124369
14	RIFMEG1	0.124077
15	RAI6-1	0.122385
16	LFAM11-0	0.118898
17	LPSF16	0.118248
18	RINS13	0.11813
19	LFAM10-1	0.112452
20	LAI4-1	0.11195
21	LAI10-1	0.110985
22	LOF14	0.10923
23	RPI14	0.108491
24	LFMI3-0	0.108418
25	RAMF12	0.107181

[Stimulus_r_in_25incongruentBlock] (62 electrodes, showing 25)
rank	electrode	rms_deviation
1	LAI13	0.204915
2	LFOP14	0.1905
3	LFPS1	0.165222
4	LFAM11-0	0.164701
5	LAI14	0.163608
6	LIA13	0.157918
7	LFMI3-1	0.151538
8	LAI4-0	0.150844
9	LIA15	0.150746
10	LFAM12	0.137148
11	LIA14	0.136056
12	RPI14	0.135189
13	RFO13	0.132294
14	LAI12	0.12904
15	RAMF11	0.123531
16	RMMF10	0.12291
17	LAI8-0	0.122589
18	RINS13	0.118803
19	LFAI3	0.116603
20	RINS11	0.115169
21	LOF13	0.114252
22	RMMF14	0.11272
23	LMMF12	0.111769
24	RINS12	0.111535
25	LFMM12	0.109128

[Stimulus_r_in_75incongruentBlock] (62 electrodes, showing 25)
rank	electrode	rms_deviation
1	LAI14	0.19185
2	LFMI3-1	0.171755
3	LAI13	0.165864
4	LOF13	0.164884
5	LFPS1	0.157803
6	RAI12	0.14684
7	LAI8-0	0.144111
8	LAI4-0	0.140808
9	RAI15	0.133616
10	LIA13	0.128901
11	LIA15	0.126473
12	LAI12	0.125516
13	LFAM10-1	0.123188
14	RIFMEG2	0.119632
15	RPI14	0.119519
16	LFAI3	0.116155
17	RAI6-1	0.114898
18	RINS11	0.11313
19	LOF14	0.112811
20	LFPI10	0.112639
21	RAMF11	0.111527
22	LPSF16	0.111342
23	RINS6	0.110913
24	RMMF10	0.108174
25	RPI15	0.107865

