Electrode deviation report for ROI: lpfc
Metric: RMS deviation of each electrode trace from the condition's across-electrode mean trace.
Scoring window: epoch start to 0s
Larger values indicate greater deviation; this is a diagnostic ranking, not a statistical outlier test.

[Stimulus_c_in_25switchBlock] (30 electrodes, showing 25)
rank	electrode	rms_deviation
1	LIA15	0.170545
2	LIA14	0.148273
3	LFPI10	0.111001
4	LFAI4	0.110013
5	RAI12	0.105998
6	LFAI3	0.10457
7	RFO13	0.0994798
8	LLeSS8	0.0993673
9	LAI4-1	0.09734
10	LAI4-0	0.09581
11	RMMF14	0.0955552
12	RFMM10	0.0941182
13	LAI8-0	0.0940274
14	RAI6	0.0931837
15	LFMM12	0.0912281
16	LAI8-1	0.0883068
17	RINS6	0.0880666
18	RINS10	0.0863317
19	LPSF16	0.0854712
20	RIFMEG2	0.084309
21	RFMM11	0.0775021
22	LINS13	0.0749703
23	RAI15	0.0739246
24	LLeSS9	0.0715352
25	LLeSS10	0.0695268

[Stimulus_c_in_75switchBlock] (30 electrodes, showing 25)
rank	electrode	rms_deviation
1	RAI12	0.162308
2	LAI4-1	0.131636
3	RFMM11	0.12769
4	LAI8-1	0.121906
5	RFMM10	0.120351
6	LAI4-0	0.116601
7	LFAI3	0.109023
8	RINS6	0.105944
9	LAI8-0	0.105641
10	RIFMEG1	0.0970575
11	LFPI10	0.0968029
12	RFO13	0.0962886
13	LFAI4	0.0952939
14	RINS10	0.094739
15	LPSF16	0.0933914
16	LIA15	0.0919371
17	LFMM12	0.0885119
18	LIA14	0.0876874
19	RAI6	0.0860303
20	RAI15	0.0842954
21	LLeSS8	0.0813013
22	RIFMEG2	0.0809257
23	LLeSS10	0.0807978
24	LLeSS11	0.0792471
25	RMMF14	0.0788923

[Stimulus_i_in_25switchBlock] (30 electrodes, showing 25)
rank	electrode	rms_deviation
1	RAI12	0.163615
2	RMMF14	0.147484
3	RFO13	0.131818
4	LAI8-0	0.125101
5	LFAI3	0.120907
6	LFPI10	0.118359
7	LFAI4	0.116288
8	RIFMEG1	0.116
9	RAI6	0.115137
10	RAMF11	0.111709
11	LAI4-1	0.110217
12	RFMM10	0.104232
13	LAI4-0	0.1042
14	RINS6	0.102666
15	LIA15	0.1012
16	RAI15	0.0989436
17	LPSF16	0.0936904
18	RFMM11	0.0921243
19	LAI8-1	0.0900804
20	LINS13	0.0863651
21	LIA14	0.0817067
22	RINS10	0.0805511
23	LLeSS8	0.0784762
24	LLeSS10	0.0726866
25	RIFMEG2	0.0721928

[Stimulus_i_in_75switchBlock] (30 electrodes, showing 25)
rank	electrode	rms_deviation
1	RAI6	0.141954
2	LFAI3	0.138384
3	LAI4-0	0.129601
4	LFAI4	0.128272
5	LFPI10	0.125203
6	LPSF16	0.124117
7	LAI8-0	0.116805
8	RINS6	0.116457
9	RFO13	0.115454
10	RAI12	0.112154
11	LAI8-1	0.108969
12	RIFMEG1	0.108627
13	LAI4-1	0.107846
14	LLeSS8	0.100144
15	RFMM10	0.0999031
16	RAMF11	0.0995559
17	LFMM12	0.0948498
18	RAI15	0.0932552
19	LLeSS9	0.0881893
20	RFMM11	0.0865912
21	LLeSS10	0.0825305
22	LIA14	0.0815308
23	LINS13	0.080656
24	RMMF14	0.0797343
25	LIA15	0.0753673

