Electrode deviation report for ROI: lpfc
Metric: RMS deviation of each electrode trace from the condition's across-electrode mean trace.
Scoring window: epoch start to 0s
Larger values indicate greater deviation; this is a diagnostic ranking, not a statistical outlier test.

[Stimulus_c25] (30 electrodes, showing 25)
rank	electrode	rms_deviation
1	LAI4-0	0.144691
2	LIA14	0.129128
3	LFAI4	0.105159
4	LIA15	0.102809
5	LAI8-0	0.0983623
6	LLeSS8	0.0914848
7	LAI8-1	0.0909412
8	RFMM11	0.0889271
9	RFMM10	0.0885149
10	RAI12	0.0872975
11	LAI4-1	0.0852975
12	RAI15	0.081513
13	LFAI3	0.0813988
14	RINS6	0.0808961
15	LFPI10	0.0757574
16	RFO13	0.0755543
17	RAI6	0.0743238
18	RAMF11	0.0702917
19	RIFMEG1	0.0681743
20	LPSF16	0.0671177
21	LLeSS9	0.0667409
22	LFMM12	0.0657648
23	LLeSS10	0.0626022
24	RINS10	0.0622768
25	RMMF14	0.0604456

[Stimulus_c75] (30 electrodes, showing 25)
rank	electrode	rms_deviation
1	LAI4-0	0.201202
2	RAI6	0.201047
3	RAI12	0.18865
4	RFMM10	0.164365
5	RAMF11	0.15803
6	LFAI4	0.157602
7	LAI4-1	0.150343
8	RAI15	0.150271
9	RINS6	0.150069
10	LAI8-0	0.143104
11	LIA15	0.141992
12	RFO13	0.138421
13	LFAI3	0.137196
14	LFMM12	0.134741
15	RMMF14	0.132252
16	RIFMEG1	0.128969
17	LAI8-1	0.122457
18	LPSF16	0.118078
19	RIFMEG2	0.113796
20	LFPI10	0.111051
21	RINS10	0.104987
22	RFMM11	0.103677
23	LIA14	0.100594
24	LLeSS9	0.0996658
25	LLeSS11	0.0866181

[Stimulus_i25] (30 electrodes, showing 25)
rank	electrode	rms_deviation
1	RFO13	0.264421
2	RMMF14	0.213237
3	RINS6	0.199838
4	RAMF11	0.181505
5	RAI15	0.178173
6	LFPI10	0.173693
7	LFAI3	0.171063
8	LAI8-1	0.16686
9	RIFMEG1	0.161966
10	RIFMEG2	0.156252
11	LAI8-0	0.148923
12	LAI4-0	0.146615
13	LINS13	0.144417
14	LFAI4	0.138954
15	LIA15	0.135067
16	LIA14	0.131296
17	RFMM10	0.128822
18	RFMM11	0.128696
19	RINS10	0.126517
20	LPSF16	0.126299
21	LLeSS9	0.126297
22	LLeSS10	0.122939
23	RAI6	0.121741
24	RAI12	0.117245
25	LFMM12	0.115042

[Stimulus_i75] (30 electrodes, showing 25)
rank	electrode	rms_deviation
1	LAI4-0	0.138952
2	RAI12	0.132396
3	LAI8-0	0.128282
4	LFAI4	0.113721
5	LFPI10	0.10993
6	LFAI3	0.101527
7	RAI15	0.0931371
8	RFO13	0.0931115
9	RFMM10	0.0909012
10	RFMM11	0.0895674
11	LPSF16	0.0889304
12	LIA15	0.0857681
13	RAMF11	0.0854492
14	LLeSS8	0.0850386
15	RIFMEG1	0.0836403
16	LLeSS9	0.0836348
17	RMMF14	0.0820389
18	LAI4-1	0.0816727
19	LAI8-1	0.0767001
20	RAI6	0.0762261
21	RIFMEG2	0.0749624
22	LLeSS11	0.0693267
23	LINS15	0.0693248
24	LINS13	0.0689898
25	LLeSS10	0.0677494

