Electrode deviation report for ROI: lpfc
Metric: RMS deviation of each electrode trace from the condition's across-electrode mean trace.
Scoring window: epoch start to 0s
Larger values indicate greater deviation; this is a diagnostic ranking, not a statistical outlier test.

[Stimulus_i75-Stimulus_c75] (30 electrodes, showing 25)
rank	electrode	rms_deviation
1	RFMM10	0.206154
2	RAI6	0.199881
3	LFAI4	0.191764
4	LAI4-0	0.186042
5	LPSF16	0.177835
6	RFO13	0.172834
7	RAI12	0.161491
8	RAMF11	0.161311
9	RINS6	0.159787
10	LIA15	0.149046
11	LAI4-1	0.146866
12	LAI8-0	0.145435
13	LFMM12	0.145121
14	LFPI10	0.139628
15	LAI8-1	0.138887
16	RFMM11	0.136047
17	LINS13	0.13503
18	RAI15	0.133923
19	RINS10	0.131477
20	RMMF14	0.13092
21	RIFMEG1	0.128098
22	LLeSS8	0.12807
23	LFAI3	0.127296
24	LLeSS9	0.126644
25	LIA14	0.111746

[Stimulus_i25-Stimulus_c25] (30 electrodes, showing 25)
rank	electrode	rms_deviation
1	RFO13	0.25529
2	RINS6	0.249656
3	RMMF14	0.221513
4	LIA15	0.212917
5	RAMF11	0.207411
6	LAI8-1	0.20728
7	LFAI3	0.20231
8	LIA14	0.195427
9	RAI15	0.177607
10	RFMM10	0.173819
11	LFPI10	0.173472
12	LAI8-0	0.17234
13	RFMM11	0.16597
14	RIFMEG1	0.164019
15	LLeSS8	0.160525
16	LINS13	0.159141
17	RAI6	0.157483
18	LAI4-1	0.156944
19	LLeSS9	0.15116
20	LFAI4	0.151115
21	LAI4-0	0.146673
22	LLeSS10	0.140451
23	LPSF16	0.139192
24	RAI12	0.137696
25	LFMM12	0.136361

