Electrode deviation report for ROI: lpfc
Metric: RMS deviation of each electrode trace from the condition's across-electrode mean trace.
Scoring window: epoch start to 0s
Larger values indicate greater deviation; this is a diagnostic ranking, not a statistical outlier test.

[Stimulus_s25] (30 electrodes, showing 25)
rank	electrode	rms_deviation
1	LFPI10	0.195854
2	LAI8-1	0.179592
3	RMMF14	0.178792
4	LAI8-0	0.168307
5	RAMF11	0.164951
6	LFAI3	0.159604
7	RFMM11	0.14866
8	LFAI4	0.147281
9	LIA14	0.146209
10	RAI12	0.146157
11	RINS6	0.143871
12	RFO13	0.141209
13	LIA15	0.134987
14	LPSF16	0.13151
15	RAI6	0.12774
16	RFMM10	0.125631
17	RAI15	0.123708
18	RINS10	0.116098
19	LLeSS9	0.113493
20	LAI4-1	0.106934
21	LAI4-0	0.106
22	LLeSS8	0.105174
23	RIFMEG1	0.10342
24	LLeSS10	0.102597
25	LFMM12	0.101502

[Stimulus_s75] (30 electrodes, showing 25)
rank	electrode	rms_deviation
1	RAI12	0.140607
2	LAI8-0	0.107386
3	RIFMEG1	0.0993077
4	LFAI3	0.0946134
5	RFMM11	0.0938451
6	LAI4-0	0.0922501
7	RFO13	0.086841
8	RFMM10	0.0860264
9	LAI4-1	0.0848339
10	RAI6	0.0844362
11	LPSF16	0.0835091
12	LAI8-1	0.0820111
13	LLeSS10	0.0815236
14	LFAI4	0.0800907
15	LIA15	0.0790985
16	LFPI10	0.0788496
17	RAI15	0.0756476
18	RINS6	0.0737754
19	LLeSS9	0.0734733
20	RINS10	0.0731974
21	LLeSS11	0.0704879
22	LLeSS8	0.0684658
23	RAMF11	0.0665382
24	LIA14	0.0650025
25	RIFMEG2	0.0628563

[Stimulus_r25] (30 electrodes, showing 25)
rank	electrode	rms_deviation
1	RFO13	0.0974092
2	LIA15	0.0960056
3	LFAI3	0.0933949
4	RAI12	0.0927639
5	LFPI10	0.0879645
6	RAMF11	0.0874908
7	RIFMEG1	0.0852483
8	LFAI4	0.0830698
9	RMMF14	0.0814388
10	LIA14	0.0796616
11	LLeSS8	0.079224
12	LPSF16	0.0780125
13	LAI8-0	0.0770852
14	RAI6	0.0749308
15	LFMM12	0.0737515
16	RFMM10	0.0709243
17	RAI15	0.0658052
18	LLeSS9	0.0625889
19	LAI4-0	0.0620795
20	RFMM11	0.0610177
21	RINS6	0.0593653
22	LAI8-1	0.0592795
23	RIFMEG2	0.0590701
24	LAI4-1	0.0566082
25	RINS10	0.0540449

[Stimulus_r75] (30 electrodes, showing 25)
rank	electrode	rms_deviation
1	RAI6	0.196583
2	LFAI3	0.190136
3	LAI8-1	0.177349
4	LAI4-0	0.176884
5	LLeSS10	0.175515
6	LFPI10	0.16589
7	LAI4-1	0.16449
8	RINS6	0.15778
9	RFMM10	0.153705
10	LLeSS9	0.142215
11	RAMF11	0.140933
12	LLeSS8	0.139636
13	RFO13	0.138126
14	LIA14	0.134163
15	RIFMEG1	0.133711
16	RIFMEG2	0.127032
17	LFMM12	0.125651
18	RFMM11	0.123751
19	LFAI4	0.122757
20	RAI12	0.120687
21	RINS10	0.116286
22	RAI15	0.113126
23	LIA15	0.111697
24	LPSF16	0.108019
25	LINS14	0.107922

