Electrode deviation report for ROI: lpfc
Metric: RMS deviation of each electrode trace from the condition's across-electrode mean trace.
Scoring window: epoch start to 0s
Larger values indicate greater deviation; this is a diagnostic ranking, not a statistical outlier test.

[Stimulus_s75-Stimulus_r75] (30 electrodes, showing 25)
rank	electrode	rms_deviation
1	LLeSS10	0.235001
2	RAI6	0.222503
3	LAI4-0	0.209791
4	RFMM10	0.186878
5	LLeSS9	0.185166
6	LAI4-1	0.175023
7	RINS6	0.172839
8	LFAI4	0.172788
9	RFMM11	0.172427
10	RAMF11	0.167799
11	LFPI10	0.162427
12	RFO13	0.159084
13	LFAI3	0.15811
14	RIFMEG1	0.157395
15	RAI12	0.154322
16	LAI8-1	0.15428
17	RINS10	0.14941
18	LLeSS8	0.148716
19	LIA15	0.142596
20	LIA14	0.138966
21	RAI15	0.13686
22	LPSF16	0.123836
23	LFMM12	0.121389
24	RIFMEG2	0.119029
25	RMMF14	0.108609

[Stimulus_s25-Stimulus_r25] (30 electrodes, showing 25)
rank	electrode	rms_deviation
1	RAMF11	0.214281
2	RMMF14	0.192695
3	LFPI10	0.187764
4	LFAI4	0.18318
5	LAI8-0	0.177428
6	LAI8-1	0.176016
7	RFO13	0.171925
8	RFMM11	0.166558
9	LIA14	0.158006
10	LPSF16	0.155087
11	LFMM12	0.153695
12	RINS6	0.153258
13	LFAI3	0.151792
14	LLeSS9	0.145938
15	RAI15	0.145108
16	RFMM10	0.142069
17	RAI6	0.135949
18	RINS10	0.132024
19	LLeSS8	0.131285
20	LAI4-1	0.130058
21	RIFMEG1	0.127907
22	RIFMEG2	0.118532
23	LAI4-0	0.118118
24	LLeSS10	0.117332
25	LLeSS11	0.109546

