Electrode deviation report for ROI: lpfc
Metric: RMS deviation of each electrode trace from the condition's across-electrode mean trace.
Scoring window: epoch start to 0s
Larger values indicate greater deviation; this is a diagnostic ranking, not a statistical outlier test.

[Stimulus_s_in_25incongruentBlock] (30 electrodes, showing 25)
rank	electrode	rms_deviation
1	RFMM11	0.145355
2	RAI12	0.13658
3	LAI4-0	0.126922
4	LFAI4	0.119399
5	RAI6	0.113692
6	LFPI10	0.108931
7	RAI15	0.106781
8	RMMF14	0.105611
9	RINS6	0.103675
10	RINS10	0.102783
11	RIFMEG1	0.0996623
12	LAI8-0	0.0985521
13	LIA14	0.0975609
14	LAI4-1	0.0894642
15	LIA15	0.0889319
16	LLeSS8	0.0873834
17	RIFMEG2	0.0872738
18	LAI8-1	0.0868438
19	RFMM10	0.0865674
20	LLeSS10	0.085606
21	LPSF16	0.0852872
22	LFAI3	0.0819053
23	RFO13	0.0803738
24	LLeSS9	0.0766792
25	RAMF11	0.0735833

[Stimulus_s_in_75incongruentBlock] (30 electrodes, showing 25)
rank	electrode	rms_deviation
1	LAI8-0	0.171151
2	LAI4-0	0.168558
3	RFO13	0.154073
4	RAI12	0.147862
5	LFAI4	0.145822
6	RIFMEG1	0.123358
7	RAI6	0.123163
8	LPSF16	0.115994
9	LAI4-1	0.109718
10	LFAI3	0.107338
11	RAMF11	0.1039
12	LFPI10	0.102738
13	RMMF14	0.101497
14	RFMM10	0.0965987
15	LAI8-1	0.0948755
16	LLeSS11	0.0918586
17	RFMM11	0.0916966
18	RINS10	0.0896422
19	RINS6	0.0881764
20	LLeSS8	0.0862991
21	LLeSS10	0.0862754
22	LLeSS9	0.0849462
23	LIA15	0.0846645
24	LFMM12	0.081884
25	LIA14	0.0809625

[Stimulus_r_in_25incongruentBlock] (30 electrodes, showing 25)
rank	electrode	rms_deviation
1	LAI4-0	0.151484
2	LIA15	0.146154
3	LIA14	0.13385
4	LAI8-0	0.127713
5	RFO13	0.125995
6	RAMF11	0.124069
7	RMMF14	0.114441
8	LFAI3	0.114055
9	LFAI4	0.106663
10	LFMM12	0.104353
11	LFPI10	0.104255
12	RAI6	0.101596
13	RIFMEG2	0.0985346
14	LPSF16	0.0983852
15	RAI15	0.097353
16	RFMM10	0.0929956
17	RFMM11	0.0911953
18	LAI8-1	0.0872671
19	LLeSS8	0.0859553
20	RAI12	0.0776411
21	LAI4-1	0.0735371
22	LLeSS9	0.0712233
23	RIFMEG1	0.069941
24	LLeSS11	0.0694211
25	LLeSS10	0.0629423

[Stimulus_r_in_75incongruentBlock] (30 electrodes, showing 25)
rank	electrode	rms_deviation
1	LAI4-0	0.146611
2	RAI12	0.145451
3	LAI8-0	0.139066
4	RAI15	0.128628
5	RAI6	0.115958
6	RIFMEG2	0.11466
7	RAMF11	0.11457
8	LIA15	0.112675
9	LFAI3	0.112098
10	RINS6	0.110668
11	RFO13	0.110173
12	LFPI10	0.108226
13	LFAI4	0.107769
14	LAI4-1	0.107461
15	LPSF16	0.106103
16	RMMF14	0.10535
17	RFMM10	0.103234
18	LIA14	0.10194
19	RINS10	0.0921839
20	RFMM11	0.0921055
21	LLeSS10	0.0908937
22	LLeSS9	0.0899233
23	RIFMEG1	0.0832335
24	LFMM12	0.0823876
25	LLeSS8	0.0736007

