Electrode deviation report for ROI: lpfc
Metric: RMS deviation of each electrode trace from the condition's across-electrode mean trace.
Scoring window: epoch start to 0s
Larger values indicate greater deviation; this is a diagnostic ranking, not a statistical outlier test.

[Stimulus_c_in_25switchBlock] (60 electrodes, showing 25)
rank	electrode	rms_deviation
1	LAI13	0.208694
2	LFPS2	0.201672
3	LAI14	0.200112
4	LFPS1	0.194674
5	LFOP14	0.183406
6	LFOP13	0.172444
7	LFMI3-1	0.169972
8	LIA13	0.16888
9	RPI14	0.166738
10	LFAI2	0.164328
11	LFMM8-0	0.151116
12	LFAI14	0.140726
13	LFAM10-0	0.140013
14	LFAI12	0.136685
15	LFMM8-1	0.135663
16	LAI12	0.130257
17	RINS12	0.128301
18	LFAI9-1	0.124858
19	LFMM9-1	0.124492
20	LFAI9-0	0.122816
21	LOF16	0.121131
22	LFAI13	0.119547
23	LFAI11	0.117115
24	LINS12	0.11642
25	LFAM8-0	0.116337

[Stimulus_c_in_75switchBlock] (60 electrodes, showing 25)
rank	electrode	rms_deviation
1	LFPS2	0.277088
2	LFPS1	0.246776
3	LAI13	0.241877
4	LAI14	0.183777
5	LFAI14	0.17331
6	LOF16	0.149502
7	LFMI3-1	0.145251
8	RIA6	0.143939
9	LAI7-0	0.139946
10	LAI5	0.135296
11	LFAI12	0.135179
12	LFAI2	0.128668
13	LFAM9-1	0.123175
14	LAI10-0	0.122745
15	LMMF9	0.122141
16	LFMM9-0	0.119454
17	LIA11	0.118911
18	LFAM11-1	0.118541
19	LFAM8-1	0.116779
20	LFAM11-0	0.116172
21	LOF13	0.115747
22	LFPM10	0.11539
23	LFMM10	0.115287
24	LFAI11	0.114895
25	RAMF12	0.112626

[Stimulus_i_in_25switchBlock] (60 electrodes, showing 25)
rank	electrode	rms_deviation
1	LFPS2	0.221912
2	LFPS1	0.188071
3	LFMI3-1	0.171057
4	LAI10-1	0.163539
5	LFAI9-1	0.151397
6	RPI14	0.14002
7	LAI13	0.138496
8	LAI14	0.13638
9	LFMM9-0	0.136179
10	LOF13	0.121922
11	RINS11	0.121314
12	LFAM8-1	0.120395
13	LOF14	0.11927
14	LAI12	0.118524
15	RAMF12	0.118242
16	LFAM9-0	0.116542
17	LFAI11	0.115162
18	LFMM8-0	0.115136
19	LAI7-2	0.115126
20	LFAI9-0	0.115042
21	LMMF12	0.114514
22	LMMF10	0.110233
23	LFOP14	0.109301
24	LFAI10-0	0.104855
25	LFAM10-1	0.103877

[Stimulus_i_in_75switchBlock] (60 electrodes, showing 25)
rank	electrode	rms_deviation
1	LAI13	0.299141
2	LAI14	0.251101
3	LFMI3-1	0.181096
4	LINS12	0.17928
5	LFPS2	0.16828
6	LFPS1	0.167726
7	LOF13	0.14109
8	RPI15	0.135962
9	LAI7-0	0.130425
10	LFMI3-0	0.129515
11	LFAI14	0.127983
12	LMMF10	0.127756
13	LAI5	0.127367
14	LFAM12	0.124265
15	LFAM11-1	0.119545
16	LAI7-1	0.117352
17	LFAM8-1	0.116996
18	LOF14	0.113165
19	RPI14	0.112834
20	LFAM10-0	0.109509
21	LFMM8-0	0.107799
22	LMMF9	0.106899
23	LAI7-2	0.105762
24	LFMM8-1	0.105062
25	LFAM10-1	0.104539

