Electrode deviation report for ROI: lpfc
Metric: RMS deviation of each electrode trace from the condition's across-electrode mean trace.
Scoring window: epoch start to 0s
Larger values indicate greater deviation; this is a diagnostic ranking, not a statistical outlier test.

[Stimulus_c25] (60 electrodes, showing 25)
rank	electrode	rms_deviation
1	LAI13	0.209238
2	LFPS2	0.192386
3	LFPS1	0.174611
4	LAI14	0.16457
5	LIA13	0.153005
6	LFMI3-1	0.147316
7	LFOP14	0.133762
8	LFAI14	0.118239
9	LFOP13	0.115462
10	LFAM11-1	0.101892
11	RPI14	0.101062
12	LFAI9-1	0.0999468
13	LFAM8-1	0.097428
14	LOF16	0.0948365
15	LIA11	0.0936602
16	LFAM9-1	0.0924854
17	LAI7-0	0.0922454
18	LFMM9-1	0.0882368
19	LMMF9	0.087833
20	LFAM10-0	0.0868723
21	LFAI10-0	0.0864481
22	LAI5	0.0861378
23	LFAM10-1	0.0860356
24	LFMI3-0	0.0852068
25	LFMM9-0	0.0847923

[Stimulus_c75] (60 electrodes, showing 25)
rank	electrode	rms_deviation
1	LAI14	0.348357
2	LAI13	0.272697
3	LFMM9-1	0.211458
4	LFPS2	0.207512
5	LFMI3-1	0.207505
6	LFPM10	0.204894
7	LFMM8-1	0.201831
8	LFPS1	0.185229
9	RAMF12	0.175948
10	LIA13	0.172568
11	LFAI10-0	0.164826
12	LFAI14	0.162172
13	LAI12	0.161508
14	LFAM9-1	0.160007
15	RPI14	0.156725
16	LFMM8-0	0.155331
17	LOF16	0.153349
18	LFAM10-0	0.153232
19	LFAM10-1	0.151624
20	LAI10-1	0.151084
21	LFAM8-1	0.149436
22	LFAM11-1	0.145804
23	LASF10	0.140198
24	LFMM9-0	0.137877
25	LFAI9-0	0.137846

[Stimulus_i25] (60 electrodes, showing 25)
rank	electrode	rms_deviation
1	LAI13	0.261235
2	LFMI3-1	0.228617
3	LFPS2	0.222464
4	LFPS1	0.206092
5	LFAM12	0.187955
6	LFMM9-1	0.184092
7	LAI14	0.183634
8	LAI12	0.179968
9	LFMI3-0	0.174308
10	LAI5	0.172773
11	LAI10-0	0.170871
12	LFMM8-1	0.169005
13	LMMF12	0.168996
14	LOF13	0.167219
15	LFMM10	0.166364
16	RPI15	0.16327
17	LAI7-0	0.159404
18	LFAM11-0	0.157951
19	RPI14	0.148937
20	LFAI11	0.148067
21	RINS13	0.147454
22	LAI7-1	0.143067
23	LFOP14	0.141756
24	LFAM8-0	0.141455
25	LFAM10-1	0.138868

[Stimulus_i75] (60 electrodes, showing 25)
rank	electrode	rms_deviation
1	LAI13	0.205766
2	LFPS2	0.185243
3	LAI14	0.172575
4	LFPS1	0.162134
5	LFMI3-1	0.159856
6	LOF13	0.138342
7	LFAI9-1	0.116015
8	RPI14	0.108544
9	LINS12	0.10829
10	LMMF10	0.104844
11	LFAI14	0.101922
12	LFMI3-0	0.0973644
13	LFAM11-1	0.0964278
14	LFAI10-0	0.096023
15	LFAM9-0	0.0960102
16	LAI7-1	0.0945782
17	LFAI9-0	0.0938846
18	LFMM9-0	0.0934394
19	LFAM12	0.0921274
20	LFMM8-0	0.091475
21	LOF14	0.0911741
22	LFAM10-1	0.0905639
23	LAI12	0.0903521
24	RMMF10	0.0887906
25	RPI15	0.0879413

