Electrode deviation report for ROI: lpfc
Metric: RMS deviation of each electrode trace from the condition's across-electrode mean trace.
Scoring window: epoch start to 0s
Larger values indicate greater deviation; this is a diagnostic ranking, not a statistical outlier test.

[Stimulus_i75-Stimulus_c75] (60 electrodes, showing 25)
rank	electrode	rms_deviation
1	LAI14	0.274002
2	LFMM8-1	0.223937
3	LFPM10	0.213833
4	LFAM10-0	0.209017
5	LAI10-1	0.190021
6	LFPS1	0.188863
7	LFAI10-0	0.182869
8	LFAM9-1	0.18064
9	RAMF12	0.178568
10	LFMM9-1	0.172039
11	LAI13	0.16976
12	LAI7-1	0.165777
13	LIA13	0.161833
14	LFAM11-1	0.161551
15	LFAI14	0.160874
16	RAI6	0.160308
17	LFAI9-0	0.158286
18	LAI7-0	0.157953
19	LFMM9-0	0.156753
20	LOF16	0.156384
21	LFAM8-0	0.15617
22	LFAI9-1	0.155462
23	LFMI3-0	0.155117
24	LFAM9-0	0.153877
25	LFAM8-1	0.152978

[Stimulus_i25-Stimulus_c25] (60 electrodes, showing 25)
rank	electrode	rms_deviation
1	LAI5	0.21824
2	LFMI3-0	0.207189
3	LFAM8-1	0.193366
4	LFAI11	0.192915
5	LFMI3-1	0.190825
6	LFAM12	0.189083
7	LIA11	0.185315
8	LFMM10	0.18303
9	LFPS1	0.181481
10	LFAM10-1	0.180292
11	LAI7-1	0.179048
12	LFMM9-1	0.173622
13	LAI7-0	0.173275
14	LFAI9-1	0.172695
15	LFMM8-1	0.172468
16	LIA13	0.172061
17	LAI12	0.171808
18	RPI15	0.170065
19	LAI10-0	0.163614
20	LAI10-1	0.16348
21	LMMF12	0.16245
22	LFMM8-0	0.160498
23	LFAI13	0.160363
24	LFPS2	0.158494
25	LFAM11-0	0.158414

