Electrode deviation report for ROI: lpfc
Metric: RMS deviation of each electrode trace from the condition's across-electrode mean trace.
Scoring window: epoch start to 0s
Larger values indicate greater deviation; this is a diagnostic ranking, not a statistical outlier test.

[Stimulus_s25] (60 electrodes, showing 25)
rank	electrode	rms_deviation
1	LAI13	0.272719
2	LFPS2	0.237286
3	LFMM8-1	0.218693
4	LFAM10-0	0.206629
5	LAI14	0.206026
6	LINS12	0.197191
7	LAI7-1	0.18706
8	LFMI3-1	0.173984
9	LFAI14	0.173666
10	LFOP13	0.172964
11	RAMF12	0.165737
12	LIA13	0.164777
13	RPI14	0.162987
14	LFPS1	0.162668
15	RIA6	0.161315
16	LFAI2	0.160122
17	LAI12	0.159435
18	RMMF10	0.157474
19	LAI10-0	0.15674
20	LMMF10	0.153184
21	LFAM8-1	0.152402
22	RPI15	0.149474
23	LFAM10-1	0.147773
24	LFAI9-1	0.147326
25	LFAM8-0	0.144869

[Stimulus_s75] (60 electrodes, showing 25)
rank	electrode	rms_deviation
1	LAI13	0.255707
2	LFPS2	0.207854
3	LFPS1	0.188626
4	LAI14	0.182283
5	LFMI3-1	0.156301
6	LFAI14	0.120321
7	LAI7-0	0.11817
8	RIA6	0.112997
9	LOF13	0.112781
10	LFPM10	0.106741
11	LFAM12	0.106547
12	LIA11	0.103879
13	RPI15	0.103322
14	LINS12	0.0999348
15	RPI14	0.0994767
16	LFAI2	0.0986801
17	LFAI9-1	0.0979666
18	LFMM9-1	0.0968985
19	RAMF12	0.0950091
20	LFAM11-0	0.0924999
21	LFMM9-0	0.0908932
22	LFAM8-1	0.0887886
23	LOF14	0.0882379
24	LAI12	0.0882157
25	LFAM10-0	0.087343

[Stimulus_r25] (60 electrodes, showing 25)
rank	electrode	rms_deviation
1	LFPS2	0.18529
2	LFMI3-1	0.17525
3	LAI14	0.167008
4	RPI14	0.147675
5	LFPS1	0.146591
6	LAI13	0.143837
7	LFOP14	0.121222
8	LFMM8-0	0.115094
9	LFAI9-0	0.113771
10	LFAI14	0.110876
11	LFAI2	0.108438
12	LFMM9-0	0.104863
13	LAI12	0.104022
14	LFOP13	0.102978
15	LFAI9-1	0.102735
16	RINS11	0.101983
17	LFPM10	0.0980256
18	LFAI10-0	0.0966255
19	LOF14	0.0956681
20	LFAM8-0	0.0908281
21	LFMM10	0.0892061
22	RAMF12	0.089195
23	RINS12	0.0885269
24	LFMI3-0	0.0884277
25	LOF16	0.0864528

[Stimulus_r75] (60 electrodes, showing 25)
rank	electrode	rms_deviation
1	LAI13	0.314662
2	LAI14	0.250026
3	LFPS2	0.218997
4	LFPS1	0.214237
5	LOF13	0.213275
6	RAMF12	0.194749
7	LAI5	0.186985
8	LINS12	0.182908
9	LMMF9	0.182254
10	LOF16	0.182005
11	LFAM8-0	0.179924
12	LFAM11-0	0.177352
13	LFMI3-1	0.173312
14	RPI14	0.169249
15	LMMF10	0.167858
16	RINS13	0.167348
17	LFAM9-0	0.166261
18	LIA11	0.165127
19	LFAI12	0.164739
20	LIA13	0.157594
21	LFPM10	0.155951
22	RINS11	0.155001
23	LFOP14	0.154076
24	LFMM8-0	0.153513
25	LAI12	0.152864

