Electrode deviation report for ROI: lpfc
Metric: RMS deviation of each electrode trace from the condition's across-electrode mean trace.
Scoring window: epoch start to 0s
Larger values indicate greater deviation; this is a diagnostic ranking, not a statistical outlier test.

[Stimulus_s75-Stimulus_r75] (60 electrodes, showing 25)
rank	electrode	rms_deviation
1	LMMF9	0.231755
2	LFAM11-0	0.230668
3	RAMF12	0.224173
4	LAI14	0.220623
5	LIA11	0.213991
6	LFAM8-0	0.207799
7	LAI13	0.20723
8	LINS12	0.203707
9	LFAM9-0	0.197108
10	LAI5	0.195439
11	LFAI12	0.195106
12	LFPM10	0.193482
13	LOF13	0.186888
14	LFAM12	0.186673
15	RINS13	0.185203
16	LFMM9-0	0.183944
17	LFAM8-1	0.182992
18	LFOP14	0.182683
19	RAI6	0.179411
20	LAI12	0.178014
21	LFAI9-1	0.174321
22	LFAM11-1	0.171279
23	LFMM8-1	0.168049
24	LAI7-0	0.16763
25	RPI15	0.167165

[Stimulus_s25-Stimulus_r25] (60 electrodes, showing 25)
rank	electrode	rms_deviation
1	LAI14	0.245474
2	LAI7-1	0.223743
3	LFAM10-0	0.212364
4	LFMM8-1	0.210341
5	LINS12	0.208723
6	LFMM8-0	0.194318
7	RIA6	0.193342
8	LFAM12	0.189168
9	LAI10-1	0.184603
10	LAI13	0.181228
11	LFOP13	0.178221
12	LFMM10	0.175649
13	LAI10-0	0.174492
14	RAMF12	0.174209
15	LFPS2	0.173265
16	LMMF10	0.167817
17	LAI12	0.167242
18	RAI6	0.16609
19	LFMI3-0	0.165636
20	RINS11	0.164795
21	LIA13	0.164159
22	LFAM8-1	0.164059
23	LFPM10	0.16147
24	LFOP14	0.160551
25	LFAI2	0.16036

