Electrode deviation report for ROI: lpfc
Metric: RMS deviation of each electrode trace from the condition's across-electrode mean trace.
Scoring window: epoch start to 0s
Larger values indicate greater deviation; this is a diagnostic ranking, not a statistical outlier test.

[Stimulus_s_in_25incongruentBlock] (60 electrodes, showing 25)
rank	electrode	rms_deviation
1	LFPS2	0.282726
2	LAI13	0.231584
3	LFPS1	0.222383
4	LAI14	0.177322
5	LFMI3-1	0.160224
6	LFMM9-1	0.155412
7	LMMF9	0.15479
8	LFAI14	0.141773
9	RIA6	0.135712
10	LFAM9-1	0.130962
11	LAI7-0	0.129799
12	LMMF10	0.12963
13	LFAM8-1	0.129131
14	LFAM11-1	0.126513
15	LFMM10	0.121362
16	LIA13	0.120981
17	LFMM9-0	0.120949
18	LAI5	0.120703
19	LIA11	0.118813
20	LFAM11-0	0.115199
21	LAI10-0	0.115138
22	LFAI9-1	0.115041
23	LOF16	0.114605
24	RPI14	0.111429
25	LFAI10-0	0.111384

[Stimulus_s_in_75incongruentBlock] (60 electrodes, showing 25)
rank	electrode	rms_deviation
1	LAI13	0.290853
2	LAI14	0.264455
3	LFMI3-1	0.192603
4	LFPS2	0.169277
5	LFPS1	0.159156
6	LFAM11-1	0.137801
7	LOF13	0.133067
8	LFAM12	0.131957
9	LFAM10-1	0.124556
10	LFAI14	0.123263
11	LFPM10	0.121811
12	LMMF10	0.119609
13	LFAI9-1	0.117101
14	LFAM8-1	0.11466
15	LAI12	0.114059
16	LFMM8-0	0.11181
17	LFAM11-0	0.111118
18	RPI14	0.110269
19	LAI10-0	0.108379
20	LINS12	0.107403
21	RIA6	0.10739
22	LAI7-1	0.107222
23	RINS13	0.106238
24	RAMF12	0.106129
25	LOF14	0.10611

[Stimulus_r_in_25incongruentBlock] (60 electrodes, showing 25)
rank	electrode	rms_deviation
1	LAI13	0.211759
2	LFOP14	0.196102
3	LAI14	0.172195
4	LFPS1	0.171582
5	LIA13	0.1691
6	LFAM11-0	0.166165
7	LFMI3-1	0.162092
8	LFOP13	0.161641
9	LFPS2	0.159715
10	LFAM12	0.147842
11	RPI14	0.144941
12	LFMM9-0	0.133252
13	LFAM8-0	0.131332
14	LAI12	0.131302
15	LFAI2	0.125267
16	RIA6	0.124059
17	LFAI14	0.124032
18	LFMM8-0	0.11711
19	RMMF10	0.116565
20	LFAI9-0	0.116241
21	RINS13	0.111991
22	LOF16	0.111859
23	LFAI9-1	0.109999
24	RINS11	0.108943
25	LFAM9-0	0.108899

[Stimulus_r_in_75incongruentBlock] (60 electrodes, showing 25)
rank	electrode	rms_deviation
1	LFPS2	0.220529
2	LAI14	0.195806
3	LFMI3-1	0.181625
4	LAI13	0.173111
5	LFPS1	0.165017
6	LOF13	0.155335
7	LFMM8-0	0.131834
8	LFAI9-0	0.130335
9	RPI14	0.130092
10	LIA13	0.12989
11	LMMF10	0.121492
12	LAI12	0.12049
13	LFMM9-0	0.120208
14	LFAM10-1	0.118299
15	LFAI10-0	0.118204
16	LFMM9-1	0.116409
17	LFPM10	0.113277
18	LFAI9-1	0.112789
19	LFMM8-1	0.112004
20	LINS12	0.111297
21	LOF14	0.111165
22	RPI15	0.109524
23	LFAI14	0.107869
24	LFAI13	0.10595
25	RMMF10	0.105801

