Electrode deviation report for ROI: lpfc
Metric: RMS deviation of each electrode trace from the condition's across-electrode mean trace.
Scoring window: epoch start to 0s
Larger values indicate greater deviation; this is a diagnostic ranking, not a statistical outlier test.

[Stimulus_c_in_25switchBlock] (28 electrodes, showing 25)
rank	electrode	rms_deviation
1	LFPS2	0.202385
2	LFOP13	0.178247
3	LFAI2	0.174096
4	LFMM8-0	0.153207
5	LFAI9-1	0.13785
6	LFMM8-1	0.132899
7	LFAI12	0.13037
8	LFAI14	0.127142
9	LFMM9-0	0.126291
10	LFMM9-1	0.115221
11	LFAI11	0.1117
12	LFAI9-0	0.111403
13	LOF16	0.110361
14	LFAM8	0.108293
15	LFAI13	0.108154
16	LFPM10	0.102358
17	RIA6	0.100177
18	LFAI10-0	0.0975378
19	LIA11	0.0908893
20	LAI7-0	0.087239
21	LMMF10	0.0811175
22	LFAI10-1	0.0797845
23	LMMF11	0.0795168
24	LFMM10	0.0785955
25	LMMF9	0.0728834

[Stimulus_c_in_75switchBlock] (28 electrodes, showing 25)
rank	electrode	rms_deviation
1	LFPS2	0.28081
2	LFAI14	0.152018
3	LAI7-0	0.146326
4	LFAI2	0.142545
5	LOF16	0.131118
6	RIA6	0.128207
7	LFMM9-0	0.119464
8	LFAI12	0.117901
9	LIA11	0.116031
10	LFMM8-0	0.11309
11	LMMF9	0.109576
12	LFAI9-1	0.106412
13	LFPM10	0.103712
14	LFMM10	0.100044
15	LFMM9-1	0.0986768
16	LFAI10-1	0.0961184
17	LFOP13	0.0930471
18	LFMM8-1	0.0930403
19	LFAI13	0.0927157
20	LFAI11	0.0924877
21	LFMM12	0.0893354
22	LFAI10-0	0.0875498
23	LFAM9	0.0833381
24	LFAI9-0	0.079996
25	LMMF10	0.0782591

[Stimulus_i_in_25switchBlock] (28 electrodes, showing 25)
rank	electrode	rms_deviation
1	LFPS2	0.221478
2	LFAI9-1	0.140908
3	LFMM9-0	0.127607
4	LFAI11	0.117834
5	LFAI9-0	0.116884
6	LFAM9	0.111885
7	LFMM8-0	0.109761
8	LAI7-1	0.108433
9	LMMF10	0.104378
10	LFAI10-0	0.103062
11	LFAI14	0.101643
12	LFMM8-1	0.0999722
13	LFAI2	0.0994411
14	LMMF9	0.0970687
15	LFAM8	0.094445
16	LFAI13	0.0936587
17	RIA6	0.0928526
18	LAI7-0	0.091475
19	LFPM10	0.0880226
20	LFAI12	0.0873781
21	LFOP13	0.0854673
22	LMMF11	0.0810434
23	LFMM10	0.079935
24	LOF16	0.0793111
25	LFAI10-1	0.0774924

[Stimulus_i_in_75switchBlock] (28 electrodes, showing 25)
rank	electrode	rms_deviation
1	LFPS2	0.183122
2	LAI7-0	0.131296
3	LFMM8-0	0.116112
4	LFAI9-1	0.111807
5	LMMF10	0.109419
6	LFAI14	0.107864
7	LFAI2	0.0969657
8	LFMM8-1	0.0963487
9	LFAI9-0	0.0920459
10	LFAM9	0.0892142
11	LOF16	0.0891848
12	LAI7-1	0.0881167
13	LIA11	0.0877802
14	LMMF9	0.086618
15	LFPM10	0.085184
16	LFAI11	0.0829625
17	LFMM9-0	0.0808412
18	RIA6	0.0806247
19	LFMM10	0.0794404
20	LFAI13	0.0792211
21	LFOP13	0.0775502
22	LFAM8	0.0766671
23	LFMM9-1	0.0739441
24	LFAI10-0	0.0735352
25	LFAI12	0.0732408

