Electrode deviation report for ROI: lpfc
Metric: RMS deviation of each electrode trace from the condition's across-electrode mean trace.
Scoring window: epoch start to 0s
Larger values indicate greater deviation; this is a diagnostic ranking, not a statistical outlier test.

[Stimulus_c25] (28 electrodes, showing 25)
rank	electrode	rms_deviation
1	LFPS2	0.202559
2	LFAI9-1	0.106273
3	LFOP13	0.10547
4	LFAI14	0.105043
5	LIA11	0.091207
6	LAI7-0	0.0887062
7	LFAI10-0	0.0878889
8	LOF16	0.0856118
9	LMMF9	0.0853046
10	LFAI9-0	0.0851978
11	LMMF11	0.082406
12	LFMM9-1	0.0810883
13	LFMM9-0	0.0781854
14	LFAM8	0.0771737
15	LFMM12	0.0770641
16	LMMF10	0.0754308
17	LFMM8-0	0.0728202
18	LFMM8-1	0.0723274
19	LFPM10	0.0703545
20	LFMM10	0.0672181
21	LFAI11	0.0627975
22	RIA6	0.0603459
23	LFAI12	0.0589119
24	LFAM9	0.0582576
25	LFAI13	0.0571397

[Stimulus_c75] (28 electrodes, showing 25)
rank	electrode	rms_deviation
1	LFPS2	0.213205
2	LFMM9-1	0.202978
3	LFPM10	0.202836
4	LFMM8-1	0.196615
5	LFAI10-0	0.161847
6	LFAI14	0.155972
7	LFMM8-0	0.149488
8	LOF16	0.14868
9	LFMM9-0	0.141686
10	LFAI9-0	0.138258
11	LFAI2	0.137849
12	LAI7-0	0.136356
13	LMMF9	0.131698
14	LFAM9	0.131534
15	LMMF11	0.129956
16	LMMF10	0.119187
17	LFAI9-1	0.117674
18	LFAM8	0.116669
19	LFOP13	0.115708
20	LFAI12	0.115122
21	LAI7-1	0.112894
22	LIA11	0.101531
23	LFAI13	0.0935039
24	RIA6	0.0925978
25	LFAI11	0.091988

[Stimulus_i25] (28 electrodes, showing 25)
rank	electrode	rms_deviation
1	LFPS2	0.229785
2	LFMM9-1	0.182432
3	LFMM8-1	0.166467
4	LFMM10	0.164617
5	LAI7-0	0.152383
6	LFAI11	0.148617
7	LFAI9-1	0.147363
8	LFOP13	0.136095
9	LFPM10	0.135254
10	LFAI13	0.134591
11	LFAM8	0.133515
12	LFMM8-0	0.132206
13	LIA11	0.131762
14	LFAI14	0.129729
15	LFAI10-0	0.128675
16	LMMF9	0.125373
17	LFAI9-0	0.124868
18	LMMF10	0.121377
19	LFAI2	0.11985
20	LOF16	0.119147
21	LFAI12	0.11628
22	LAI7-1	0.115674
23	LFAM9	0.114607
24	LFMM9-0	0.113033
25	LMMF11	0.10504

[Stimulus_i75] (28 electrodes, showing 25)
rank	electrode	rms_deviation
1	LFPS2	0.191999
2	LFAI9-1	0.116709
3	LFAI10-0	0.0929886
4	LFAI9-0	0.0927033
5	LMMF10	0.0897668
6	LFMM9-0	0.089216
7	LFAM9	0.0884852
8	LFAI14	0.0869675
9	LFMM8-0	0.0855577
10	RIA6	0.08534
11	LFMM8-1	0.0754849
12	LFAM8	0.0746323
13	LFPM10	0.0743727
14	LFAI13	0.0731802
15	LFAI12	0.0715762
16	LFAI11	0.0695533
17	LFAI2	0.0677572
18	LOF16	0.0662434
19	LAI7-0	0.066232
20	LMMF11	0.0639105
21	LIA11	0.0609268
22	LFOP13	0.0577997
23	LFMM10	0.0566318
24	LFMM9-1	0.0558027
25	LAI7-1	0.0520084

