Electrode deviation report for ROI: lpfc
Metric: RMS deviation of each electrode trace from the condition's across-electrode mean trace.
Scoring window: epoch start to 0s
Larger values indicate greater deviation; this is a diagnostic ranking, not a statistical outlier test.

[Stimulus_i75-Stimulus_c75] (28 electrodes, showing 25)
rank	electrode	rms_deviation
1	LFMM8-1	0.217205
2	LFPM10	0.206618
3	LFMM9-1	0.179766
4	LFAI10-0	0.168082
5	LAI7-0	0.16596
6	LFMM9-0	0.157337
7	LFAI9-1	0.154822
8	LFAM8	0.152597
9	LFAM9	0.150976
10	LFAI12	0.148308
11	LFAI9-0	0.147563
12	LFAI14	0.146423
13	LMMF11	0.144299
14	LOF16	0.143847
15	LFOP13	0.134301
16	LAI7-1	0.13049
17	RIA6	0.129927
18	LFPS2	0.12981
19	LFMM8-0	0.12888
20	LFAI11	0.125408
21	LFAI2	0.11975
22	LMMF9	0.110416
23	LMMF10	0.108789
24	LFMM10	0.0991749
25	LIA11	0.0976205

[Stimulus_i25-Stimulus_c25] (28 electrodes, showing 25)
rank	electrode	rms_deviation
1	LFAI11	0.189462
2	LIA11	0.182763
3	LFMM9-1	0.182605
4	LFMM8-1	0.17538
5	LAI7-0	0.175182
6	LFMM10	0.175014
7	LFAI9-1	0.172621
8	LFPS2	0.166005
9	LFMM8-0	0.156517
10	LFAI13	0.155659
11	LFPM10	0.145961
12	LFAI12	0.143294
13	LFMM9-0	0.140622
14	LFAM9	0.136993
15	LFMM12	0.133163
16	LFOP13	0.131921
17	LMMF10	0.131806
18	LFAM8	0.12929
19	LFAI14	0.128257
20	LFAI2	0.126162
21	LAI7-1	0.121298
22	LOF16	0.120205
23	LMMF9	0.119135
24	LFAI10-0	0.118211
25	LFAI9-0	0.115829

