Electrode deviation report for ROI: lpfc
Metric: RMS deviation of each electrode trace from the condition's across-electrode mean trace.
Scoring window: epoch start to 0s
Larger values indicate greater deviation; this is a diagnostic ranking, not a statistical outlier test.

[Stimulus_s25] (28 electrodes, showing 25)
rank	electrode	rms_deviation
1	LFPS2	0.245286
2	LFMM8-1	0.212547
3	LFOP13	0.181211
4	RIA6	0.166601
5	LMMF10	0.165376
6	LFAI2	0.164063
7	LFAI14	0.156864
8	LFAI9-1	0.152493
9	LFMM9-0	0.138067
10	LMMF11	0.136441
11	LFPM10	0.133856
12	LFMM8-0	0.132564
13	LFAM8	0.132073
14	LFAI10-0	0.128438
15	LIA11	0.127755
16	LFAI12	0.12746
17	LAI7-0	0.127435
18	LFAM9	0.126487
19	LFAI9-0	0.124669
20	LFMM9-1	0.123301
21	LFAI11	0.122856
22	LFMM10	0.122646
23	LFAI13	0.120808
24	LOF16	0.11813
25	LMMF9	0.113373

[Stimulus_s75] (28 electrodes, showing 25)
rank	electrode	rms_deviation
1	LFPS2	0.221098
2	LAI7-0	0.111846
3	RIA6	0.109423
4	LFAI14	0.106824
5	LFAI9-1	0.105388
6	LFAI2	0.103615
7	LIA11	0.100232
8	LFPM10	0.0979588
9	LFMM9-0	0.0944188
10	LFMM8-0	0.0834989
11	LFMM9-1	0.0824348
12	LFAM9	0.0772516
13	LMMF11	0.0768478
14	LMMF9	0.0759535
15	LFMM10	0.0718421
16	LOF16	0.0697509
17	LMMF10	0.068834
18	LFAI9-0	0.0677995
19	LFAI12	0.0668627
20	LFAI10-0	0.0661802
21	LFAM8	0.0656323
22	LFAI11	0.0620288
23	LFOP13	0.0588606
24	LFMM12	0.0578592
25	LAI7-1	0.0574722

[Stimulus_r25] (28 electrodes, showing 25)
rank	electrode	rms_deviation
1	LFPS2	0.184071
2	LFMM8-0	0.118232
3	LFAI2	0.115471
4	LFOP13	0.109498
5	LFAI9-0	0.109339
6	LFAI9-1	0.108616
7	LFMM9-0	0.107774
8	LFAI14	0.105024
9	LFPM10	0.0928815
10	LFAI10-0	0.08862
11	LOF16	0.0820716
12	LFAM8	0.0817114
13	LFMM10	0.0813652
14	LFAI13	0.0784026
15	LMMF10	0.0779779
16	LFMM8-1	0.0776504
17	RIA6	0.077335
18	LAI7-1	0.0762834
19	LFMM9-1	0.0707803
20	LFAI12	0.0694845
21	LFAI11	0.0683132
22	LMMF11	0.0667717
23	LAI7-0	0.0650321
24	LFAM9	0.0637411
25	LMMF9	0.0607412

[Stimulus_r75] (28 electrodes, showing 25)
rank	electrode	rms_deviation
1	LFPS2	0.233689
2	LFAM8	0.182389
3	LOF16	0.175409
4	LMMF9	0.17253
5	LIA11	0.171196
6	LFAI12	0.166024
7	LFAM9	0.160285
8	LMMF10	0.159263
9	LFPM10	0.151272
10	LFMM9-0	0.145674
11	LFMM8-0	0.145666
12	LFMM8-1	0.144786
13	RIA6	0.136329
14	LAI7-1	0.134598
15	LFAI13	0.133965
16	LFAI14	0.133101
17	LFMM10	0.131488
18	LMMF11	0.130337
19	LFAI11	0.129518
20	LFAI10-0	0.119505
21	LAI7-0	0.117391
22	LFAI9-1	0.108122
23	LFMM9-1	0.104732
24	LFOP13	0.103039
25	LFAI2	0.0931976

