Electrode deviation report for ROI: lpfc
Metric: RMS deviation of each electrode trace from the condition's across-electrode mean trace.
Scoring window: epoch start to 0s
Larger values indicate greater deviation; this is a diagnostic ranking, not a statistical outlier test.

[Stimulus_s75-Stimulus_r75] (28 electrodes, showing 25)
rank	electrode	rms_deviation
1	LMMF9	0.226188
2	LIA11	0.210238
3	LFAM8	0.206642
4	LFAI12	0.19307
5	LFPM10	0.192998
6	LFAM9	0.191458
7	LFMM9-0	0.187998
8	LOF16	0.169464
9	LMMF11	0.164035
10	LFMM8-1	0.163989
11	LAI7-0	0.160582
12	LFAI9-1	0.159324
13	RIA6	0.157977
14	LAI7-1	0.157855
15	LFAI10-0	0.145946
16	LMMF10	0.145471
17	LFAI14	0.143466
18	LFMM8-0	0.13915
19	LFAI13	0.136365
20	LFMM9-1	0.132053
21	LFPS2	0.130522
22	LFMM10	0.130517
23	LFOP13	0.129786
24	LFAI11	0.128559
25	LFAI9-0	0.115432

[Stimulus_s25-Stimulus_r25] (28 electrodes, showing 25)
rank	electrode	rms_deviation
1	LFMM8-1	0.203635
2	RIA6	0.197247
3	LFMM8-0	0.191398
4	LFOP13	0.184966
5	LFPS2	0.177349
6	LMMF10	0.174655
7	LFMM10	0.171051
8	LFPM10	0.159581
9	LFAI2	0.156112
10	LIA11	0.152504
11	LFAI9-1	0.150698
12	LFMM9-0	0.148778
13	LMMF11	0.142432
14	LFAI9-0	0.135239
15	LFAM8	0.128016
16	LAI7-1	0.125239
17	LFAM9	0.123456
18	LFAI13	0.122347
19	LFAI10-0	0.119434
20	LFAI14	0.113601
21	LFMM9-1	0.113317
22	LAI7-0	0.112732
23	LMMF9	0.105599
24	LFAI12	0.101683
25	LFAI11	0.10006

