Electrode deviation report for ROI: lpfc
Metric: RMS deviation of each electrode trace from the condition's across-electrode mean trace.
Scoring window: epoch start to 0s
Larger values indicate greater deviation; this is a diagnostic ranking, not a statistical outlier test.

[Stimulus_s_in_25incongruentBlock] (28 electrodes, showing 25)
rank	electrode	rms_deviation
1	LFPS2	0.286509
2	LMMF9	0.143545
3	LFMM9-1	0.136126
4	LAI7-0	0.132524
5	RIA6	0.130375
6	LFAI9-1	0.124949
7	LMMF10	0.123077
8	LFAI10-0	0.119453
9	LFAI14	0.118772
10	LFMM9-0	0.11785
11	LFMM10	0.114331
12	LIA11	0.113409
13	LMMF11	0.108898
14	LFAI9-0	0.10768
15	LFAI2	0.107001
16	LFPM10	0.102804
17	LOF16	0.101672
18	LFAM9	0.0980132
19	LFAI12	0.0933203
20	LFMM8-1	0.0882946
21	LFMM12	0.0860458
22	LFAI11	0.0797659
23	LFAI10-1	0.077451
24	LFMM8-0	0.076472
25	LFAM8	0.0751914

[Stimulus_s_in_75incongruentBlock] (28 electrodes, showing 25)
rank	electrode	rms_deviation
1	LFPS2	0.180229
2	LFAI9-1	0.128436
3	LFPM10	0.120936
4	RIA6	0.118051
5	LFAI14	0.1073
6	LFMM8-0	0.106344
7	LMMF10	0.100961
8	LIA11	0.0968535
9	LAI7-0	0.0957709
10	LFAI10-0	0.0937607
11	LFAI2	0.0904101
12	LFAM9	0.0886698
13	LFMM9-0	0.0850258
14	LMMF11	0.0849218
15	LOF16	0.0807894
16	LFMM8-1	0.0806285
17	LFMM9-1	0.0777294
18	LFAI9-0	0.0759505
19	LFAI13	0.0747094
20	LFAI12	0.0724853
21	LFMM10	0.0718283
22	LAI7-1	0.0697324
23	LMMF9	0.0689537
24	LFAI11	0.0685904
25	LFOP13	0.0671899

[Stimulus_r_in_25incongruentBlock] (28 electrodes, showing 25)
rank	electrode	rms_deviation
1	LFOP13	0.165861
2	LFPS2	0.165115
3	LFMM9-0	0.132728
4	LFAI2	0.12924
5	LFAM8	0.126123
6	LFAI9-1	0.119997
7	LFMM8-0	0.117705
8	RIA6	0.116747
9	LFAI14	0.115571
10	LFAI9-0	0.104829
11	LOF16	0.103582
12	LFAM9	0.103074
13	LFMM10	0.10121
14	LFMM8-1	0.0945027
15	LFAI10-0	0.0899078
16	LMMF11	0.08981
17	LAI7-0	0.0877696
18	LMMF9	0.0855597
19	LFPM10	0.0834274
20	LIA11	0.0818984
21	LAI7-1	0.0802918
22	LFMM9-1	0.0797304
23	LFAI12	0.0753907
24	LMMF10	0.074692
25	LFAI13	0.0699215

[Stimulus_r_in_75incongruentBlock] (28 electrodes, showing 25)
rank	electrode	rms_deviation
1	LFPS2	0.222586
2	LFAI9-0	0.131391
3	LFMM8-0	0.123208
4	LFMM9-0	0.120192
5	LFAI10-0	0.119202
6	LMMF10	0.116417
7	LFAI13	0.113134
8	LFMM8-1	0.109899
9	LFAI9-1	0.108961
10	LFMM9-1	0.108848
11	LFAI14	0.106555
12	LOF16	0.105936
13	LFPM10	0.103694
14	LFAI2	0.099032
15	LFAM9	0.0959262
16	LAI7-1	0.09468
17	LMMF9	0.0936335
18	LIA11	0.0934821
19	LMMF11	0.0926969
20	LFAI12	0.0873931
21	LFAM8	0.0862132
22	LFMM10	0.0762881
23	LFAI11	0.0705286
24	LAI7-0	0.0685633
25	LFAI10-1	0.0622852

