Electrode deviation report for ROI: lpfc
Metric: RMS deviation of each electrode trace from the condition's across-electrode mean trace.
Scoring window: epoch start to 0s
Larger values indicate greater deviation; this is a diagnostic ranking, not a statistical outlier test.

[Stimulus_c_in_25switchBlock] (174 electrodes, showing 25)
rank	electrode	rms_deviation
1	LIA16	0.249249
2	LAI13	0.20653
3	LFPS2	0.203633
4	LFPS1	0.199321
5	LFMI4	0.199291
6	LAI14	0.197935
7	LFMI5	0.196341
8	LIA17	0.185871
9	LIA15	0.181045
10	LFOP14	0.177819
11	RFAL11	0.168459
12	LFOP13	0.164241
13	LFMI3-1	0.162143
14	RPI14	0.159621
15	LIA14	0.158767
16	LFAI2	0.157049
17	RAI11	0.156905
18	LFAI14	0.155367
19	LIA13	0.152887
20	LFAI12	0.147584
21	LFMM8-1	0.144331
22	RINS12	0.144185
23	RLOF11	0.14298
24	LFAM9-1	0.142466
25	RFOA16	0.140832

[Stimulus_c_in_75switchBlock] (174 electrodes, showing 25)
rank	electrode	rms_deviation
1	LFPS2	0.277752
2	LFPS1	0.247194
3	LAI13	0.241246
4	RLOF11	0.225972
5	LFAI14	0.187086
6	LAI14	0.180441
7	LIA16	0.172839
8	RLOF10	0.171256
9	RAI11	0.164589
10	LFPM12	0.16248
11	RFAL11	0.162157
12	LOF16	0.159034
13	LIA17	0.157354
14	RAI12	0.153276
15	RIA6-1	0.149925
16	LFOP17	0.146641
17	LFAM10-0	0.146543
18	LAI5	0.146464
19	LFAI12	0.144912
20	LFA11	0.144537
21	LAI4-0	0.141322
22	LFMI5	0.13795
23	LAI7-0	0.136468
24	LFMM8-0	0.136247
25	LFMI3-1	0.135998

[Stimulus_i_in_25switchBlock] (174 electrodes, showing 25)
rank	electrode	rms_deviation
1	RAI11	0.229333
2	LFPS2	0.218304
3	LFPS1	0.189683
4	LAI11	0.180204
5	LAI10-1	0.170965
6	LFMI3-1	0.168003
7	RAI12	0.16285
8	LFMI5	0.158036
9	LFMM9-0	0.156074
10	LFMM8-0	0.155105
11	RMMF14	0.153021
12	RLOF11	0.144794
13	LFAI9-1	0.144178
14	LFMEG1	0.143871
15	RPI14	0.142684
16	LFMI4	0.14243
17	LAI14	0.139563
18	RFO13	0.138759
19	LFAI5	0.138052
20	LAI13	0.135245
21	RFAM9	0.135194
22	LFO15	0.133417
23	RFAM10	0.131927
24	LFMM9-1	0.130731
25	LOF13	0.129832

[Stimulus_i_in_75switchBlock] (174 electrodes, showing 25)
rank	electrode	rms_deviation
1	LAI13	0.298757
2	LAI14	0.24567
3	LFO15	0.236355
4	LFAM9-1	0.205085
5	LFMI3-1	0.179933
6	LINS12	0.179882
7	LFPS1	0.169467
8	LFPS2	0.167748
9	LFAM10-2	0.165586
10	RFAL11	0.164465
11	LFA12	0.156313
12	LFMI5	0.155312
13	LASF10-0	0.154907
14	RAI11	0.150849
15	RFAI3	0.150737
16	LFMEG1	0.150362
17	RINSA3	0.150105
18	RLOF11	0.149471
19	LFAI3-1	0.148952
20	LAI3	0.144588
21	RFAM7	0.144306
22	LFAP6	0.143312
23	LFAS7	0.142887
24	RLOF10	0.14154
25	LOF13	0.140679

