Electrode deviation report for ROI: lpfc
Metric: RMS deviation of each electrode trace from the condition's across-electrode mean trace.
Scoring window: epoch start to 0s
Larger values indicate greater deviation; this is a diagnostic ranking, not a statistical outlier test.

[Stimulus_c25] (174 electrodes, showing 25)
rank	electrode	rms_deviation
1	LAI13	0.206186
2	LFPS2	0.186071
3	LFPS1	0.16865
4	LAI14	0.163335
5	LAI4-0	0.157005
6	LIA13	0.153607
7	LFO15	0.151406
8	LFMI5	0.147132
9	LFAM9-1	0.142633
10	RAI11	0.141025
11	LFMI3-1	0.140657
12	LFOP14	0.137182
13	RFAL8	0.131766
14	LFMI4	0.126635
15	LFAI14	0.123923
16	LINS4	0.121677
17	LFOP13	0.121552
18	LIA14	0.120745
19	LFAM10-0	0.120354
20	LFAI4-0	0.112379
21	RAMF12-0	0.107022
22	LAI6	0.106759
23	LAI8-0	0.106402
24	LFPM12	0.105649
25	RFOA16	0.104423

[Stimulus_c75] (174 electrodes, showing 25)
rank	electrode	rms_deviation
1	LAI14	0.341654
2	LAI13	0.267269
3	LFPM11	0.23522
4	LFOP17	0.232188
5	LFMM9-2	0.225929
6	LFO15	0.221818
7	LFPM12	0.219518
8	RAI6-1	0.21239
9	LAI4-0	0.20859
10	LFMM8-2	0.207703
11	LMSF5	0.205282
12	LFPM10	0.201859
13	LFMI3-1	0.198873
14	LFMI5	0.197909
15	LFPS2	0.197807
16	RFAM7	0.194487
17	RLOF11	0.192694
18	LAI3	0.191492
19	LFMI4	0.190183
20	RAI12	0.189365
21	LFPS1	0.181552
22	LFMM9-0	0.181162
23	LFMM11	0.180654
24	LIA13	0.177916
25	RAMF11	0.177522

[Stimulus_i25] (174 electrodes, showing 25)
rank	electrode	rms_deviation
1	RFO13	0.272479
2	RMMF13	0.26513
3	LAI13	0.259651
4	LFMI3-1	0.236499
5	LFPS2	0.228533
6	RAI11	0.227361
7	RMMF14	0.217385
8	RINS6	0.214847
9	RFO14	0.213852
10	LFPS1	0.208955
11	LFAM10-2	0.207156
12	RLOF11	0.194921
13	LASF10-0	0.188829
14	RAMF11	0.188601
15	LAI14	0.187276
16	LAI12	0.18673
17	LFAM12	0.186587
18	LFAM8-1	0.183318
19	LFAS7	0.182869
20	LFAI3-1	0.18263
21	LIA12	0.181421
22	LFMM9-2	0.180205
23	RAMF13	0.176557
24	RFAM12	0.176205
25	LFMM9-0	0.173222

[Stimulus_i75] (174 electrodes, showing 25)
rank	electrode	rms_deviation
1	LFO15	0.243945
2	LAI13	0.201935
3	LFPS2	0.179016
4	RAI11	0.176077
5	LAI14	0.171353
6	LFMEG1	0.161122
7	LFMI5	0.157986
8	LFPS1	0.157528
9	LFMI3-1	0.155279
10	LOF13	0.141252
11	LAI4-0	0.139952
12	RAI12	0.137131
13	LFAM9-1	0.135247
14	LAI8-0	0.131461
15	LFMI4	0.129311
16	LFMM9-0	0.126439
17	RFAM7	0.124935
18	LFOP17	0.120246
19	LFAM8-1	0.116671
20	LFAI5	0.116593
21	RLOF11	0.115348
22	RFAM9	0.115023
23	LFAI4-0	0.114925
24	LFAI9-1	0.11277
25	RFAM15	0.110435

