Electrode deviation report for ROI: lpfc
Metric: RMS deviation of each electrode trace from the condition's across-electrode mean trace.
Scoring window: epoch start to 0s
Larger values indicate greater deviation; this is a diagnostic ranking, not a statistical outlier test.

[Stimulus_i75-Stimulus_c75] (174 electrodes, showing 25)
rank	electrode	rms_deviation
1	LFO15	0.301211
2	LAI14	0.267945
3	LFPM12	0.260878
4	LFPM11	0.260282
5	RLOF11	0.241635
6	LMSF5	0.236482
7	LFMM8-2	0.226456
8	LFOP17	0.223288
9	RFOA14	0.21541
10	RAI6-1	0.213557
11	RFMM10	0.21318
12	LFMEG1	0.208791
13	LFPM10	0.207985
14	LFAM10-0	0.205784
15	LFAM10-1	0.201776
16	LFPS1	0.200107
17	LFAM9-1	0.196734
18	LFAM9-3	0.195557
19	LFAI4-0	0.192197
20	LFPP1	0.19005
21	LAI4-0	0.18954
22	RFAM7	0.189394
23	RAMF11	0.188033
24	LFMM9-2	0.184873
25	LFAI10-0	0.184349

[Stimulus_i25-Stimulus_c25] (174 electrodes, showing 25)
rank	electrode	rms_deviation
1	RMMF13	0.302819
2	RFO13	0.269385
3	RINS6	0.268966
4	LFAM10-2	0.238622
5	RMMF14	0.236643
6	RFO14	0.234801
7	RLOF11	0.234346
8	RAMF13	0.224215
9	LAI5	0.217792
10	RAMF11	0.21429
11	LFAM6	0.212858
12	RFAL8	0.210578
13	LFAI11	0.209255
14	LFAM8-1	0.207452
15	LFAI3-1	0.205406
16	LFMI3-0	0.203905
17	RFAM6	0.202362
18	RFAL11	0.198561
19	LFAM8-2	0.19804
20	LASF10-0	0.196636
21	LFMI3-1	0.196402
22	LFAM9-1	0.196395
23	LFMM9-0	0.195446
24	LFA12	0.193261
25	LFMM10-2	0.192451

