Electrode deviation report for ROI: lpfc
Metric: RMS deviation of each electrode trace from the condition's across-electrode mean trace.
Scoring window: epoch start to 0s
Larger values indicate greater deviation; this is a diagnostic ranking, not a statistical outlier test.

[Stimulus_s25] (174 electrodes, showing 25)
rank	electrode	rms_deviation
1	LAI13	0.270556
2	RFAL8	0.256647
3	RAI11	0.242043
4	LFPS2	0.22718
5	LFMM8-2	0.226278
6	LFAM10-1	0.204179
7	LFMM8-0	0.203123
8	LAI6	0.202133
9	LAI14	0.199901
10	LFPI10	0.194665
11	LINS12	0.192355
12	LAI8-1	0.190832
13	RMMF13	0.189308
14	LFAI5	0.188438
15	LAI7-1	0.187725
16	RFAI3	0.185294
17	LFAM8-1	0.184522
18	LFAP6	0.181256
19	LFAI14	0.180132
20	RMMF14	0.178236
21	LAI8-0	0.177139
22	LFOP13	0.176047
23	LFMI4	0.174845
24	LFMI3-1	0.170267
25	RIA6-1	0.16882

[Stimulus_s75] (174 electrodes, showing 25)
rank	electrode	rms_deviation
1	LAI13	0.258578
2	LFPS2	0.208328
3	LFPS1	0.188848
4	LAI14	0.184235
5	RFAL11	0.170158
6	LFMI3-1	0.157724
7	LFMI5	0.142043
8	RLOF11	0.140343
9	RAI12	0.138406
10	RAI4	0.129653
11	LFAM10-0	0.124611
12	LFO15	0.12338
13	RAI11	0.121775
14	LFAI14	0.119192
15	LAI7-0	0.117912
16	LOF13	0.114404
17	RLOF10	0.112679
18	RFAI3	0.112131
19	LFMM9-0	0.110626
20	RIA6-1	0.109803
21	LIA16	0.108326
22	LAI8-0	0.108033
23	LAI3	0.107577
24	LFAM6	0.106834
25	LFMM8-0	0.106189

[Stimulus_r25] (174 electrodes, showing 25)
rank	electrode	rms_deviation
1	LFPS2	0.17994
2	LFMI5	0.173556
3	LFMI4	0.171457
4	RAI11	0.168737
5	LFMI3-1	0.168671
6	LAI14	0.167325
7	RPI14	0.144826
8	LAI13	0.14089
9	LFPS1	0.140814
10	LIA16	0.137661
11	LAI11	0.125514
12	LFOP14	0.122981
13	LFAI14	0.118116
14	LFAI9-0	0.114223
15	LFMM8-1	0.112401
16	LFAI2	0.1102
17	RINS11	0.10812
18	LAI12	0.108008
19	RLOF11	0.106527
20	RFAI3	0.105984
21	LIA15	0.105917
22	LINS4	0.10568
23	LFMM9-0	0.105647
24	LFPP1	0.104773
25	RFOA16	0.10393

[Stimulus_r75] (174 electrodes, showing 25)
rank	electrode	rms_deviation
1	LAI13	0.301326
2	RAI11	0.244765
3	LAI14	0.236498
4	RFAM7	0.233447
5	LOF13	0.233398
6	RLOF10	0.221736
7	RLOF11	0.210339
8	LFPM12	0.20906
9	LFAI3-1	0.206817
10	LFPS2	0.205666
11	LFPS1	0.203836
12	LOF16	0.197374
13	LFAM10-2	0.196278
14	LFMI5	0.195682
15	LFPM11	0.195206
16	RAI6-1	0.194911
17	LAI5	0.193601
18	RAMF12-1	0.193191
19	LAI4-0	0.192589
20	LFAM11-0	0.191832
21	LMMF9	0.188301
22	LFAM8-0	0.187258
23	LINS12	0.183529
24	RINS13	0.182241
25	LFMEG1	0.180185

