Electrode deviation report for ROI: lpfc
Metric: RMS deviation of each electrode trace from the condition's across-electrode mean trace.
Scoring window: epoch start to 0s
Larger values indicate greater deviation; this is a diagnostic ranking, not a statistical outlier test.

[Stimulus_s75-Stimulus_r75] (174 electrodes, showing 25)
rank	electrode	rms_deviation
1	LFAM11-0	0.246875
2	LLeSS10	0.238803
3	LMMF9	0.232347
4	RLOF11	0.228877
5	LFPM11	0.222817
6	RAI6-1	0.220066
7	RFAM9	0.219337
8	RFAM7	0.217782
9	RAMF12-1	0.217562
10	LFMM8-0	0.215176
11	LFAM8-0	0.213708
12	LAI14	0.212217
13	LAI4-0	0.211369
14	RIA6-0	0.209368
15	LINS12	0.205666
16	LIA11	0.204276
17	LOF13	0.201956
18	LAI5	0.201415
19	LFMEG1	0.200721
20	LAI13	0.199907
21	LFAM9-0	0.198925
22	RINS13	0.1988
23	LFAI12	0.198777
24	LFAM10-2	0.198643
25	RFAI3	0.197805

[Stimulus_s25-Stimulus_r25] (174 electrodes, showing 25)
rank	electrode	rms_deviation
1	RFAL8	0.265112
2	LAI14	0.241715
3	LAI7-1	0.22084
4	RAMF11	0.216515
5	LFAM10-1	0.214035
6	LFAI5	0.214
7	LFMM8-2	0.213227
8	LINS12	0.20135
9	RFAI3	0.197947
10	LFPP1	0.197106
11	RIA6-1	0.196611
12	LAI3	0.195154
13	LFAM8-1	0.194245
14	LFPI10	0.193358
15	RFAM12	0.193266
16	LFAM12	0.19291
17	LFMM8-1	0.190606
18	LAI10-1	0.189774
19	RMMF13	0.189462
20	LAI8-1	0.188988
21	LFMM8-0	0.188968
22	LAI6	0.187093
23	RMMF14	0.187015
24	LAI8-0	0.185939
25	LFAI4-0	0.185698

