Electrode deviation report for ROI: occ
Metric: RMS deviation of each electrode trace from the condition's across-electrode mean trace.
Scoring window: epoch start to 0s
Larger values indicate greater deviation; this is a diagnostic ranking, not a statistical outlier test.

[Stimulus_c25] (59 electrodes, showing 25)
rank	electrode	rms_deviation
1	RHT5	0.361237
2	LOPM8	0.342177
3	LOPM9	0.260047
4	LTPI2-0	0.219042
5	LOAI14-1	0.20896
6	LPAI1	0.207237
7	LTPI3	0.203588
8	LOPM10	0.172179
9	LOAI13-1	0.155164
10	LTPI4	0.142959
11	LOMS13	0.136139
12	LPAM9	0.132895
13	LOMM5	0.120193
14	LPAI12	0.119224
15	LOAI15-1	0.116268
16	ROPI6	0.114738
17	ROPI8	0.113493
18	LTMI1	0.112847
19	LTPI2-2	0.108808
20	LOAI12-1	0.104632
21	LTOJ13	0.101551
22	RTPO1	0.0992578
23	ROPI5	0.0986434
24	LOAI12-0	0.0978575
25	LOAI13-0	0.0972979

[Stimulus_c75] (59 electrodes, showing 25)
rank	electrode	rms_deviation
1	LOPM8	0.394482
2	RHT5	0.371565
3	LOAI14-1	0.344601
4	LOPM9	0.295562
5	LOAI13-1	0.27459
6	LOAI15-1	0.248537
7	LPAI1	0.242539
8	LTPI2-0	0.229714
9	LOPM10	0.22807
10	LOMM5	0.197974
11	ROPI8	0.191759
12	LPAM9	0.189448
13	LTPI3	0.188605
14	LOAI12-0	0.185478
15	ROPM9	0.175193
16	ROPM8	0.174723
17	LTLI3	0.170124
18	LOMS13	0.168422
19	ROPM1	0.165496
20	LTPI1-0	0.163728
21	LOMM4	0.162517
22	LTPI2-1	0.159723
23	LOAI13-0	0.156764
24	LOMI12	0.153045
25	RTPI2	0.152944

[Stimulus_i25] (59 electrodes, showing 25)
rank	electrode	rms_deviation
1	RHT5	0.42031
2	LOPM8	0.344336
3	LOAI14-1	0.266148
4	ROPM1	0.265131
5	ROPM8	0.237616
6	LPAM9	0.232221
7	LPAI1	0.22462
8	LTMI1	0.219816
9	LTPI3	0.21815
10	LOAI13-1	0.207537
11	RTPO1	0.203818
12	ROPM9	0.199267
13	LOPM9	0.196874
14	RTPI1	0.190704
15	LTPI2-0	0.178531
16	LOPM10	0.175856
17	LTLI3	0.173884
18	LOMM4	0.173433
19	ROPI8	0.160724
20	LOMS13	0.15732
21	LTPI1-1	0.156776
22	LOPI10	0.156205
23	LOAI12-1	0.155696
24	LOAI15-1	0.155201
25	LTPI4	0.152768

[Stimulus_i75] (59 electrodes, showing 25)
rank	electrode	rms_deviation
1	RHT5	0.378133
2	LOPM8	0.34059
3	LOAI14-1	0.242986
4	LPAM9	0.24115
5	LTPI2-0	0.239255
6	LOPM9	0.233072
7	LPAI1	0.213056
8	LOPM10	0.202157
9	LTPI3	0.19584
10	LTPI4	0.186525
11	LOAI15-1	0.174513
12	LOAI13-1	0.168858
13	LOMS13	0.138455
14	RTPI1	0.132151
15	LOMM5	0.124873
16	ROPM1	0.117542
17	LPAI12	0.116511
18	LOPI10	0.104634
19	ROPM8	0.104112
20	ROPI8	0.103201
21	LOMM14	0.101465
22	LPPI7	0.100845
23	LOMM4	0.100217
24	LTPI1-1	0.100041
25	RTPO1	0.0981329

