Electrode deviation report for ROI: occ
Metric: RMS deviation of each electrode trace from the condition's across-electrode mean trace.
Scoring window: epoch start to 0s
Larger values indicate greater deviation; this is a diagnostic ranking, not a statistical outlier test.

[Stimulus_i75-Stimulus_c75] (59 electrodes, showing 25)
rank	electrode	rms_deviation
1	ROPI8	0.195841
2	ROPM1	0.194258
3	LTPI2-1	0.191989
4	LTPI4	0.18601
5	RTPI1	0.184199
6	LTPI1-0	0.181931
7	LOAI13-1	0.176106
8	LTPI2-0	0.175821
9	LPAI12	0.174894
10	LOAI14-1	0.17215
11	LOPM10	0.171868
12	LTLI3	0.169029
13	LTPI3	0.165608
14	ROPM8	0.16511
15	RTPI2	0.165029
16	LOAI15-1	0.16468
17	LOMM3	0.158073
18	LOAI12-0	0.157535
19	LOPM9	0.155833
20	LOMM4	0.153751
21	ROPM9	0.153679
22	LOAI12-1	0.152322
23	LOMM5	0.151578
24	LOMS13	0.151465
25	LTOJ1	0.151429

[Stimulus_i25-Stimulus_c25] (59 electrodes, showing 25)
rank	electrode	rms_deviation
1	ROPM1	0.277303
2	ROPM8	0.236881
3	RTPI1	0.233498
4	ROPM9	0.216552
5	RTPO1	0.205506
6	ROPI8	0.203075
7	LOPM10	0.197609
8	LOAI12-1	0.190786
9	LTPI3	0.182951
10	ROPI6	0.180201
11	LTOJ13	0.179985
12	LTMI1	0.176645
13	LPAM9	0.173642
14	LTLI3	0.169807
15	LTPI2-0	0.167351
16	LOPM9	0.166832
17	ROPI5	0.166618
18	LTPI1-1	0.16564
19	LOMM4	0.157952
20	LPPI8	0.154878
21	LPPI7	0.153691
22	LTPI2-2	0.15367
23	LTPI2-1	0.147079
24	LPAI12	0.145459
25	LOPS11	0.144883

