Electrode deviation report for ROI: lpfc
Metric: RMS deviation of each electrode trace from the condition's across-electrode mean trace.
Scoring window: epoch start to 0s
Larger values indicate greater deviation; this is a diagnostic ranking, not a statistical outlier test.

[Stimulus_c_in_25switchBlock] (170 electrodes, showing 25)
rank	electrode	rms_deviation
1	LIA16	0.24722
2	LIA17	0.220741
3	LFMI4	0.214579
4	LAI13	0.213297
5	LFMI5	0.21103
6	RFAL11	0.208216
7	LFPS1	0.204628
8	LFPS2	0.200511
9	LAI14	0.197344
10	LIA15	0.173187
11	LFAI4-2	0.170777
12	LIA14	0.165123
13	LFAI2	0.164678
14	LFMI3-1	0.161117
15	RAI11	0.160062
16	RPI14	0.158218
17	LFAI12	0.15772
18	LFAI14	0.157455
19	LAI18	0.156296
20	LFOP14	0.152724
21	RLOF11	0.150181
22	RFOA16-1	0.149426
23	LFAM9-1	0.148679
24	LFAI11	0.14748
25	LFO5	0.146709

[Stimulus_c_in_75switchBlock] (170 electrodes, showing 25)
rank	electrode	rms_deviation
1	LFPS2	0.27962
2	LFPS1	0.252314
3	LAI13	0.247802
4	LFMI4	0.229607
5	RLOF11	0.225762
6	LFAI14	0.195833
7	LFAI4-2	0.190418
8	LAI14	0.179931
9	LIA16	0.175217
10	RAI11	0.175175
11	LOF16	0.163315
12	LFPM12	0.163078
13	LIA17	0.16196
14	LFAM10-0	0.161339
15	LFA11	0.160567
16	RAI12	0.153547
17	LFMM8-0	0.152675
18	LFMI5	0.146615
19	LFPM11	0.144849
20	LFAI12	0.143118
21	RIA6-1	0.140574
22	LAI7-0	0.139528
23	RFAL11	0.138547
24	LIA11	0.137796
25	LFOP17	0.136777

[Stimulus_i_in_25switchBlock] (170 electrodes, showing 25)
rank	electrode	rms_deviation
1	RAI11	0.24298
2	LFPS2	0.215394
3	LOF13-0	0.192487
4	LFPS1	0.190602
5	LAI10-1	0.176051
6	LAI11	0.171202
7	LFMI5	0.169865
8	LFMM8-0	0.164454
9	LFMI3-1	0.162926
10	LFMM9-0	0.161266
11	RAI12	0.160816
12	LFMI4	0.154227
13	LFMEG1	0.149278
14	RLOF11	0.147495
15	RFO13	0.144689
16	LFAI9-1	0.143504
17	LFAI5	0.141843
18	RPI14	0.137827
19	LFMM14	0.136972
20	LAI13	0.136554
21	LFMM9-1	0.134652
22	RFAM10	0.131534
23	LAI14	0.130883
24	LFAA10	0.129856
25	RMMF14	0.129515

[Stimulus_i_in_75switchBlock] (170 electrodes, showing 25)
rank	electrode	rms_deviation
1	LFMI5	0.701035
2	LFMI4	0.308411
3	LFMM12-0	0.304683
4	LAI13	0.302795
5	LAI14	0.23228
6	LFAM9-1	0.197639
7	LFA12	0.190781
8	LFAM10-2	0.189376
9	RFAM8	0.181027
10	LFMI3-1	0.176344
11	LINS12	0.173707
12	LFPS1	0.172143
13	LFPS2	0.166001
14	LFAM9-2	0.163624
15	RLOF11	0.158605
16	RAI11	0.15858
17	RINSA3	0.157726
18	LFAI7	0.153163
19	LFAI3-1	0.152499
20	LAI3	0.150251
21	LFMEG1	0.149971
22	RFAI3	0.149261
23	RIFMEG2	0.148867
24	LFOA18	0.146975
25	LMSF5	0.142257

