Electrode deviation report for ROI: lpfc
Metric: RMS deviation of each electrode trace from the condition's across-electrode mean trace.
Scoring window: epoch start to 0s
Larger values indicate greater deviation; this is a diagnostic ranking, not a statistical outlier test.

[Stimulus_c25] (170 electrodes, showing 25)
rank	electrode	rms_deviation
1	LAI13	0.212142
2	LFPS2	0.185818
3	LFPS1	0.171916
4	LAI14	0.168284
5	LFMI5	0.157706
6	LAI4-0	0.148084
7	LFAM9-1	0.147494
8	RAI11	0.145166
9	LFMI3-1	0.141908
10	LIA13	0.141509
11	RFAL8	0.138924
12	LFMI4	0.138908
13	LFAM10-0	0.131385
14	LFAI14	0.127659
15	LIA14	0.127108
16	LFAI9-1	0.123778
17	LAI8-0	0.120309
18	LFAI4-0	0.117027
19	RFAL11	0.112569
20	LFOP14	0.111866
21	RFOA16-1	0.110484
22	LFPM12	0.105395
23	LFOP13	0.104445
24	RLOF11	0.103116
25	LAI11	0.102731

[Stimulus_c75] (170 electrodes, showing 25)
rank	electrode	rms_deviation
1	LFMI4	0.412668
2	LAI14	0.331223
3	LAI13	0.274605
4	LFPM11	0.256274
5	LOF14	0.234339
6	LFMM11	0.222525
7	LFPM12	0.222206
8	LFOP17	0.219918
9	RAI6-1	0.218163
10	LAI4-0	0.216087
11	LFMM9-2	0.213558
12	LFMM8-2	0.20951
13	LFMI5	0.208303
14	LFMM12-0	0.203369
15	LFPM10	0.202283
16	LMSF5	0.200474
17	LFMI3-1	0.196616
18	LFPS2	0.194591
19	RLOF11	0.19335
20	LAI3	0.192458
21	RAI11	0.190587
22	RFAM7	0.189977
23	RAI12	0.188899
24	LFAI10-0	0.184692
25	LFPS1	0.182307

[Stimulus_i25] (170 electrodes, showing 25)
rank	electrode	rms_deviation
1	LLeSS11	0.308193
2	RFO13	0.288401
3	LFOA18	0.277493
4	RMMF13	0.271446
5	LAI13	0.264861
6	RIFMEG2	0.24069
7	RINS7	0.239865
8	RAI11	0.232158
9	LFMI3-1	0.230694
10	LFAM9-2	0.224442
11	LFPS2	0.222163
12	RIA10	0.217009
13	LFAM10-2	0.213689
14	RINS6	0.207763
15	RFO14	0.207072
16	LFPS1	0.205365
17	RLOF11	0.203269
18	LFAI7	0.199313
19	RAI5	0.199056
20	LFMM9-2	0.197388
21	LAI12	0.195451
22	LINS15	0.193779
23	LFAI4-2	0.192609
24	RIFMEG7	0.192051
25	LFAM12	0.189926

[Stimulus_i75] (170 electrodes, showing 25)
rank	electrode	rms_deviation
1	LFMI5	0.429927
2	LFMI4	0.232148
3	LAI13	0.203725
4	RAI11	0.18758
5	LFMM12-0	0.181081
6	LFPS2	0.176566
7	LFMEG1	0.16263
8	LFPS1	0.158591
9	LAI14	0.155264
10	LFMI3-1	0.149471
11	LAI4-0	0.145295
12	RFAM8	0.143552
13	LOF13-0	0.138982
14	RAI12	0.136318
15	LFAM9-1	0.132207
16	LFMM9-0	0.129813
17	RFAM15	0.12402
18	LFAM8-1	0.123178
19	LFAI5	0.123113
20	LAI8-0	0.122569
21	RFOA16-0	0.121011
22	LFAM11-1	0.121007
23	LOF13-1	0.120351
24	RFAM7	0.119111
25	LFAI9-1	0.118263

