Electrode deviation report for ROI: lpfc
Metric: RMS deviation of each electrode trace from the condition's across-electrode mean trace.
Scoring window: epoch start to 0s
Larger values indicate greater deviation; this is a diagnostic ranking, not a statistical outlier test.

[Stimulus_i75-Stimulus_c75] (170 electrodes, showing 25)
rank	electrode	rms_deviation
1	LFMI5	0.492468
2	LFMI4	0.395596
3	LFPM11	0.276889
4	LFMM12-0	0.270394
5	LFPM12	0.270002
6	LAI14	0.26553
7	RLOF11	0.248031
8	LOF14	0.247254
9	LMSF5	0.238231
10	LFMM8-2	0.229694
11	RAI6-1	0.219523
12	LFAM10-0	0.215045
13	LFPM10	0.213353
14	RFMM10	0.213269
15	LFMEG1	0.209394
16	LFOP17	0.20773
17	LFMM14	0.205639
18	LFAM10-1	0.200768
19	LFAI10-0	0.198602
20	RAI13	0.197992
21	LFAM9-3	0.197773
22	LFPS1	0.196073
23	LFMM11	0.195372
24	RFO13	0.194456
25	LFAM9-1	0.194326

[Stimulus_i25-Stimulus_c25] (170 electrodes, showing 25)
rank	electrode	rms_deviation
1	RMMF13	0.312179
2	LLeSS11	0.308284
3	LFOA18	0.281634
4	RFO13	0.280962
5	RINS6	0.265459
6	RIA10	0.250257
7	RINS7	0.246583
8	RLOF11	0.245436
9	LFAM9-2	0.245086
10	LFAM10-2	0.24497
11	RIFMEG2	0.239411
12	RIFMEG7	0.23484
13	RFO14	0.232714
14	RAMF13	0.230403
15	RAI5	0.229551
16	LFAI7	0.226301
17	LFAM6	0.224415
18	RMMF14	0.221851
19	LINS15	0.221798
20	LFAI4-2	0.220186
21	LPAI10	0.218784
22	RFAL11	0.217162
23	RFAL8	0.216618
24	LAI5	0.211835
25	RAMF11	0.211524

