Electrode deviation report for ROI: lpfc
Metric: RMS deviation of each electrode trace from the condition's across-electrode mean trace.
Scoring window: epoch start to 0s
Larger values indicate greater deviation; this is a diagnostic ranking, not a statistical outlier test.

[Stimulus_s25] (170 electrodes, showing 25)
rank	electrode	rms_deviation
1	LAI13	0.277487
2	RFAL8	0.262458
3	RAI11	0.253623
4	LFMM8-2	0.227803
5	LFPS2	0.224075
6	RFOA16-0	0.216172
7	LFMM8-0	0.214615
8	RFMM9	0.206616
9	LFAM10-1	0.205996
10	LAI14	0.204838
11	RFAM12	0.204335
12	LFPI10	0.203469
13	LFO5	0.200163
14	LAI7-1	0.199366
15	LAI8-1	0.198484
16	LFAI5	0.193072
17	LIA17	0.192171
18	RMMF13	0.191525
19	LFMI4	0.189479
20	RFAI3	0.188067
21	LFAI14	0.187604
22	LINS12	0.182978
23	LFAM8-1	0.182248
24	LFAI8	0.178672
25	LFAI6	0.177117

[Stimulus_s75] (170 electrodes, showing 25)
rank	electrode	rms_deviation
1	LAI13	0.263881
2	LFPS2	0.207785
3	LFPS1	0.189784
4	LAI14	0.175397
5	LFMI4	0.16572
6	LFMI3-1	0.154155
7	LFMI5	0.148104
8	RFAL11	0.139961
9	RLOF11	0.138981
10	RAI12	0.137846
11	RFAM8	0.1343
12	LFAM10-0	0.13288
13	RAI11	0.127461
14	LOF13-0	0.126104
15	LFAI14	0.1245
16	RAI4	0.124061
17	LFOP17	0.122687
18	LAI7-0	0.121771
19	LFAI4-2	0.12176
20	LFAM6	0.121678
21	LFMM8-0	0.120465
22	LFAI7	0.119892
23	LFAI9-1	0.118669
24	LFMM9-0	0.116853
25	LIA16	0.116463

[Stimulus_r25] (170 electrodes, showing 25)
rank	electrode	rms_deviation
1	LFMI5	0.188064
2	LFMI4	0.184482
3	RAI11	0.176674
4	LFPS2	0.176565
5	LFMI3-1	0.166128
6	LAI14	0.160104
7	LAI13	0.143872
8	LFPS1	0.143278
9	RPI14	0.139427
10	RFAL11	0.131514
11	LFAI4-2	0.124767
12	LAI11	0.122284
13	LFAI14	0.119387
14	LFAI9-0	0.11814
15	LFAI2	0.11611
16	LAI12	0.112768
17	RFO13	0.112678
18	LFAI9-1	0.111716
19	RFOA16-1	0.11033
20	LIA16	0.110014
21	LFMM9-0	0.109269
22	RINS11	0.108717
23	RLOF11	0.108549
24	LFPP1	0.106016
25	RFAI3	0.105954

[Stimulus_r75] (170 electrodes, showing 25)
rank	electrode	rms_deviation
1	LFMI5	1.17112
2	LFMI4	0.587309
3	LFMM12-0	0.421729
4	LAI13	0.31189
5	RAI11	0.25926
6	LAI14	0.244856
7	LFAM10-2	0.236477
8	RFAM7	0.216533
9	LFAI3-1	0.216291
10	LFPM11	0.208619
11	RLOF11	0.208052
12	LFPM12	0.206008
13	LOF13-1	0.205058
14	LFAM8-0	0.204761
15	LFPS1	0.203974
16	LFPS2	0.202739
17	RFOA16-0	0.196822
18	LAI4-0	0.195733
19	LOF16	0.195069
20	RAI6-1	0.190943
21	LFAM11-0	0.187824
22	LINS12	0.184747
23	LFMM10-0	0.184156
24	LOF13-0	0.183663
25	LFAM10-0	0.182452

