Electrode deviation report for ROI: lpfc
Metric: RMS deviation of each electrode trace from the condition's across-electrode mean trace.
Scoring window: epoch start to 0s
Larger values indicate greater deviation; this is a diagnostic ranking, not a statistical outlier test.

[Stimulus_s75-Stimulus_r75] (170 electrodes, showing 25)
rank	electrode	rms_deviation
1	LFMI5	1.20744
2	LFMI4	0.5801
3	LFMM12-0	0.408509
4	LOF13-0	0.271489
5	LFAM11-0	0.240438
6	LFAM10-2	0.238591
7	RLOF11	0.238122
8	LFPM11	0.234476
9	LFAM8-0	0.230412
10	LPAI10	0.22199
11	LINS14	0.220713
12	LAI14	0.220354
13	LAI4-0	0.220204
14	LINS12	0.21775
15	RAI6-1	0.217266
16	RIA6-0	0.215694
17	LFMM8-0	0.214984
18	LAI13	0.212291
19	RFAM7	0.207117
20	LIA11	0.206301
21	LLeSS10	0.205212
22	RFAM9	0.202958
23	RFAI3	0.200177
24	LFAI7	0.199492
25	LFAI12	0.19865

[Stimulus_s25-Stimulus_r25] (170 electrodes, showing 25)
rank	electrode	rms_deviation
1	RFAL8	0.265576
2	RFOA16-0	0.252716
3	LAI14	0.241058
4	RFAM12	0.237159
5	LAI7-1	0.228568
6	LFAI5	0.217158
7	LFMM8-2	0.216574
8	LFAM10-1	0.216542
9	RAMF11	0.215593
10	LFOA18	0.211239
11	RFMM9	0.206369
12	LFO5	0.205977
13	LINS12	0.199739
14	LFAM8-1	0.198732
15	RFAI3	0.198515
16	LAI18	0.198207
17	LAI3	0.198192
18	LFPI10	0.197201
19	LFAM12	0.196081
20	RMMF13	0.194083
21	LFMM8-0	0.193992
22	LFPP1	0.193623
23	RIA6-1	0.193608
24	LAI10-1	0.192516
25	LFAI4-0	0.191177

