Electrode deviation report for ROI: lpfc
Metric: RMS deviation of each electrode trace from the condition's across-electrode mean trace.
Scoring window: epoch start to 0s
Larger values indicate greater deviation; this is a diagnostic ranking, not a statistical outlier test.

[Stimulus_s_in_25incongruentBlock] (170 electrodes, showing 25)
rank	electrode	rms_deviation
1	LFPS2	0.283351
2	LAI13	0.240125
3	LFPS1	0.227172
4	LAI14	0.182552
5	LFMM9-2	0.176065
6	RAI11	0.174801
7	RFAL8	0.173706
8	RLOF11	0.171235
9	LFMM8-0	0.164728
10	LMMF10	0.164067
11	LFMI3-1	0.156466
12	LFAI14	0.154183
13	LFAM6	0.148315
14	LAI4-0	0.143158
15	LFAI4-0	0.139465
16	LFO5	0.139457
17	LFAM10-0	0.139444
18	LFAA10	0.138795
19	LFMM10-1	0.138266
20	RAI12	0.136358
21	LFMI5	0.134773
22	RIA6-1	0.133314
23	LIA11	0.132984
24	LAI7-0	0.132214
25	RFAI3	0.131275

[Stimulus_s_in_75incongruentBlock] (170 electrodes, showing 25)
rank	electrode	rms_deviation
1	LAI13	0.290071
2	LAI14	0.242523
3	LFMI4	0.236112
4	LAI4-0	0.182833
5	LFMI3-1	0.18095
6	LFAI7	0.180255
7	LAI8-0	0.173083
8	LFMI5	0.172651
9	LFOP17	0.16851
10	LFAI8	0.167637
11	RFAM8	0.166016
12	LFPS2	0.165384
13	LFPS1	0.161777
14	LFAM11-1	0.16143
15	LFAM9-1	0.159315
16	RFAM10	0.158069
17	RFO14	0.157798
18	LFMM11	0.157187
19	RFAI3	0.151819
20	RFO13	0.151686
21	LFAM6	0.14961
22	LFMM12-0	0.149237
23	RAI12	0.148787
24	LAI3	0.144812
25	LFAI4-0	0.144731

[Stimulus_r_in_25incongruentBlock] (170 electrodes, showing 25)
rank	electrode	rms_deviation
1	LAI13	0.213779
2	LFMI5	0.17748
3	LFPS1	0.172243
4	LAI14	0.169817
5	RAI11	0.16901
6	LFOP14	0.165981
7	LIA16	0.163127
8	LOF13-0	0.160979
9	LFAM11-0	0.157784
10	LFMI3-1	0.156354
11	LFMI4	0.156217
12	LFPS2	0.152519
13	LFAM12	0.152053
14	LIA13	0.149326
15	LMSF5	0.146312
16	LIA14	0.146104
17	LFOP13	0.144253
18	LFAM10-0	0.142667
19	LFAM9-1	0.140019
20	RFO13	0.139652
21	LAI12	0.139264
22	LAI4-0	0.139141
23	LFAM8-0	0.138666
24	LFMM9-1	0.138381
25	RFAL11	0.137433

[Stimulus_r_in_75incongruentBlock] (170 electrodes, showing 25)
rank	electrode	rms_deviation
1	LFMI5	0.591469
2	LFMI4	0.319611
3	RAI11	0.228242
4	LFMM12-0	0.211536
5	LFPS2	0.204188
6	LFMEG1	0.19532
7	LAI14	0.186049
8	LAI13	0.171123
9	LFMI3-1	0.167897
10	RFAM7	0.158074
11	LFPS1	0.154838
12	RFAM8	0.153763
13	LAI4-0	0.149184
14	RAI12	0.146432
15	LFMM9-0	0.146059
16	LOF13-1	0.143117
17	RFAM15	0.14244
18	LFA10	0.13893
19	LFAI9-0	0.136908
20	LFOP17	0.136002
21	LOF13-0	0.13539
22	LAI11	0.133797
23	LFAI6	0.133659
24	LFAI5	0.132077
25	LFMM14	0.131997

