Electrode deviation report for ROI: occ
Metric: RMS deviation of each electrode trace from the condition's across-electrode mean trace.
Scoring window: epoch start to 0s
Larger values indicate greater deviation; this is a diagnostic ranking, not a statistical outlier test.

[Stimulus_c_in_25switchBlock] (61 electrodes, showing 25)
rank	electrode	rms_deviation
1	RHT5	0.386522
2	LOPM8	0.362396
3	LOPM9	0.268941
4	LOAI14-1	0.265523
5	LTPI4	0.231704
6	LTPI3	0.231322
7	LTPI2-0	0.226432
8	LOAI15	0.196945
9	LOPM10	0.196003
10	LPAI1	0.192372
11	LOAI13-1	0.191521
12	LPAM9	0.170875
13	ROPI6	0.151262
14	RTPI2	0.14805
15	ROPI5	0.146957
16	ROPM1	0.1453
17	LOMS13	0.145022
18	LOAI12-1	0.144514
19	LTLI3	0.1404
20	ROPM8	0.139572
21	RTPI1-0	0.135828
22	LTMI1	0.135042
23	LOMM5	0.133944
24	LOPM1	0.128548
25	LPPI7	0.126184

[Stimulus_c_in_75switchBlock] (61 electrodes, showing 25)
rank	electrode	rms_deviation
1	RHT5	0.36624
2	LOPM8	0.343753
3	LOAI14-1	0.272025
4	RTOJ2	0.27073
5	LOPM9	0.268879
6	LTPI2-0	0.258057
7	LPAI1	0.25571
8	LOAI15	0.216096
9	RPIT1	0.197325
10	LOAI13-1	0.192886
11	LOPM10	0.188412
12	LTPI3	0.185399
13	LPAM9	0.168224
14	LPAI12	0.157542
15	LOMS13	0.155579
16	RTPI3	0.151177
17	LTMI1	0.142941
18	LOMM5	0.139401
19	LOAI12-0	0.13913
20	LTPI2-1	0.137937
21	LOPI10	0.132984
22	RPMT1	0.132374
23	LOAM15	0.125247
24	LOAI13-0	0.123131
25	ROPM1	0.121087

[Stimulus_i_in_25switchBlock] (61 electrodes, showing 25)
rank	electrode	rms_deviation
1	RHT5	0.415368
2	LOPM8	0.341865
3	LTPI2-0	0.265292
4	LPAI1	0.241678
5	LTPI3	0.225616
6	LPAM9	0.209695
7	LOPM9	0.207462
8	LOAI14-1	0.205571
9	LTPI4	0.178916
10	LOAI15	0.175783
11	LOAI13-1	0.169599
12	LOPM10	0.158841
13	RTPI3	0.144799
14	LOMS13	0.14205
15	LTPI2-2	0.136591
16	ROPM9	0.132881
17	LOPI9	0.132725
18	LOPI10	0.132654
19	LTLI3	0.130622
20	RTPO1	0.129718
21	RPMT1	0.129603
22	RTPI1-1	0.124574
23	ROPM8	0.123811
24	LOAI12-1	0.122644
25	LPAI12	0.122635

[Stimulus_i_in_75switchBlock] (61 electrodes, showing 25)
rank	electrode	rms_deviation
1	RHT5	0.362471
2	LOPM8	0.33272
3	LOAI14-1	0.303739
4	LPAM9	0.233159
5	LOAI15	0.231257
6	LOAI13-1	0.216437
7	RTPI1-1	0.196571
8	LPAI1	0.196467
9	LPPI7	0.194032
10	LTPI4	0.185506
11	LTPI2-0	0.183197
12	LOPI9	0.179367
13	LOMM5	0.178873
14	LOPM9	0.175625
15	LTPI3	0.175176
16	LTPI1-0	0.170586
17	RPIT1	0.162219
18	LOMM4	0.159747
19	LPPI9	0.15721
20	LTPI2-2	0.152118
21	RPMT1	0.151118
22	ROPM1	0.150368
23	LTPI2-1	0.148686
24	LOPM10	0.148239
25	LPT13	0.147565

