Electrode deviation report for ROI: occ
Metric: RMS deviation of each electrode trace from the condition's across-electrode mean trace.
Scoring window: epoch start to 0s
Larger values indicate greater deviation; this is a diagnostic ranking, not a statistical outlier test.

[Stimulus_c25] (61 electrodes, showing 25)
rank	electrode	rms_deviation
1	RHT5	0.362514
2	LOPM8	0.340308
3	LOPM9	0.260431
4	LTPI2-0	0.228735
5	LOAI14-1	0.216627
6	LTPI3	0.205081
7	LPAI1	0.202832
8	LOPM10	0.182957
9	LTPI4	0.158915
10	LOAI13-1	0.156661
11	LPAM9	0.141479
12	LOAI15	0.130486
13	LOMS13	0.130435
14	RPIT1	0.12953
15	ROPI6	0.124948
16	LOPI9	0.120078
17	LOMM5	0.118194
18	LPAI12	0.114413
19	ROPI5	0.108664
20	RTPI2	0.106891
21	LOAI12-1	0.10329
22	LTOJ13	0.101862
23	LPPI8	0.100523
24	LOPI10	0.0996942
25	ROPM8	0.099348

[Stimulus_c75] (61 electrodes, showing 25)
rank	electrode	rms_deviation
1	RTOJ2	0.579663
2	LOPM8	0.387136
3	RHT5	0.368371
4	LOAI14-1	0.352097
5	LOPM9	0.286004
6	LOAI15	0.278859
7	LOAI13-1	0.27197
8	RTPI3	0.24416
9	LPAI1	0.238827
10	LTPI2-0	0.236335
11	LOPM10	0.221844
12	RTPI1-0	0.197036
13	LPAM9	0.194174
14	LOMM5	0.19353
15	RTPI2	0.188189
16	LOMM4	0.18809
17	ROPM1	0.188014
18	LTPI3	0.18788
19	ROPM9	0.18302
20	ROPM8	0.180704
21	LPT13	0.179302
22	LOAI12-0	0.178723
23	LTLI3	0.176881
24	LOMS13	0.169917
25	RTPI1-1	0.162288

[Stimulus_i25] (61 electrodes, showing 25)
rank	electrode	rms_deviation
1	RHT5	0.422438
2	LOPM8	0.338626
3	ROPM1	0.304008
4	LOAI14-1	0.278381
5	LPAM9	0.237209
6	ROPM8	0.236432
7	ROPM9	0.230579
8	LPAI1	0.223155
9	LTPI3	0.212761
10	LOAI13-1	0.208192
11	RTPI1-1	0.205509
12	LOAI15	0.201318
13	LOPM9	0.200588
14	LTLI3	0.194168
15	RTPO1	0.18829
16	LTMI1	0.188112
17	LOPI9	0.187864
18	LTPI4	0.183828
19	LTPI2-0	0.183705
20	LOPI10	0.178523
21	LOMM4	0.177458
22	RPMT1	0.175725
23	LOPM2	0.174366
24	RPIT1	0.162572
25	LPPI7	0.160486

[Stimulus_i75] (61 electrodes, showing 25)
rank	electrode	rms_deviation
1	RHT5	0.377947
2	LOPM8	0.334584
3	LPAM9	0.256237
4	LTPI2-0	0.246956
5	LOAI14-1	0.242296
6	LPAI1	0.210477
7	LOPM9	0.207973
8	LTPI4	0.204172
9	LTPI3	0.194674
10	LOPM10	0.174206
11	LOAI15	0.173774
12	LOAI13-1	0.168792
13	RTPI1-1	0.142848
14	LOMS13	0.137678
15	LOPI9	0.134302
16	RPMT1	0.131701
17	ROPM1	0.128459
18	RPIT1	0.127734
19	LOMM5	0.118214
20	LPPI7	0.117752
21	LOAM15	0.117601
22	LPAI12	0.115457
23	LOMM4	0.111718
24	RTOJ2	0.11002
25	ROPM8	0.107792

