Electrode deviation report for ROI: occ
Metric: RMS deviation of each electrode trace from the condition's across-electrode mean trace.
Scoring window: epoch start to 0s
Larger values indicate greater deviation; this is a diagnostic ranking, not a statistical outlier test.

[Stimulus_i75-Stimulus_c75] (61 electrodes, showing 25)
rank	electrode	rms_deviation
1	RTOJ2	0.603667
2	RTPI3	0.25545
3	LTPI4	0.207663
4	ROPM1	0.206889
5	RTPI1-1	0.195326
6	RTPI1-0	0.185448
7	RTPI2	0.183738
8	LOAI1	0.182755
9	LOAI15	0.182734
10	LTPI2-0	0.181554
11	LTLI3	0.179077
12	LOAI14-1	0.177844
13	LOAI13-1	0.177561
14	LPAI12	0.172041
15	ROPM8	0.171715
16	ROPM9	0.171349
17	LOMM4	0.170422
18	LOPM2	0.169167
19	LOMM3	0.169137
20	LTOJ1	0.166327
21	ROPI5	0.164408
22	LTPI3	0.162996
23	LPT13	0.16129
24	LOAI12-0	0.161091
25	LOMS13	0.160482

[Stimulus_i25-Stimulus_c25] (61 electrodes, showing 25)
rank	electrode	rms_deviation
1	ROPM1	0.310298
2	RTPI1-1	0.244763
3	ROPM8	0.23715
4	ROPM9	0.236235
5	RPIT1	0.201572
6	RTPO1	0.195174
7	LOAI12-1	0.193623
8	ROPI6	0.191083
9	RPMT1	0.18936
10	LOPM10	0.184999
11	LTPI3	0.179845
12	ROPI5	0.178474
13	LTOJ13	0.1782
14	LPAM9	0.176334
15	LTMI1	0.173102
16	LTPI2-0	0.172266
17	LOMM4	0.168247
18	LTPI1-0	0.167963
19	LTPI4	0.166193
20	LPPI7	0.164996
21	LTLI3	0.158075
22	LOPM9	0.15738
23	LOPM2	0.156405
24	LPPI8	0.153875
25	LTPI2-2	0.151304

