Electrode deviation report for ROI: occ
Metric: RMS deviation of each electrode trace from the condition's across-electrode mean trace.
Scoring window: epoch start to 0s
Larger values indicate greater deviation; this is a diagnostic ranking, not a statistical outlier test.

[Stimulus_s25] (61 electrodes, showing 25)
rank	electrode	rms_deviation
1	LOPM8	0.358081
2	RHT5	0.350927
3	LTPI2-0	0.263938
4	LPAI1	0.247198
5	LOAI14-1	0.238379
6	LOPM9	0.231969
7	ROPM1	0.230951
8	LTPI3	0.22151
9	LOAI12-1	0.21838
10	LTPI4	0.214871
11	LTMI1	0.214564
12	LOAI13-1	0.202745
13	RPMT1	0.199933
14	ROPI5	0.1877
15	LOMS13	0.1872
16	RPIT1	0.186112
17	LPAM9	0.183899
18	ROPM9	0.174301
19	RTPI1-1	0.172355
20	LOPI10	0.168643
21	RTPO1	0.168423
22	RTPI2	0.166813
23	ROPI6	0.165663
24	LPAI12	0.164792
25	RTPI3	0.162738

[Stimulus_s75] (61 electrodes, showing 25)
rank	electrode	rms_deviation
1	RHT5	0.35474
2	LOPM8	0.335233
3	LOAI14-1	0.276931
4	LOPM9	0.236582
5	LOAI15	0.232898
6	LTPI2-0	0.219897
7	LPAI1	0.207422
8	LOAI13-1	0.196496
9	LPAM9	0.17981
10	LTPI3	0.179097
11	LOPM10	0.177984
12	RTOJ2	0.172711
13	ROPM1	0.157184
14	LTPI2-1	0.137405
15	LOMS13	0.136246
16	LOMM5	0.135774
17	LTPI1-0	0.132002
18	LTPI4	0.131607
19	RPMT1	0.126888
20	LOPI9	0.12503
21	LPAI12	0.121519
22	LOMM4	0.118166
23	LOAI13-0	0.116467
24	RTPI3	0.114423
25	RTPI1-0	0.11399

[Stimulus_r25] (61 electrodes, showing 25)
rank	electrode	rms_deviation
1	RHT5	0.421498
2	LOPM8	0.348121
3	LOPM9	0.247581
4	LOAI14-1	0.231176
5	LTPI2-0	0.223691
6	LTPI3	0.22034
7	LPAI1	0.209753
8	LOAI15	0.202732
9	LTPI4	0.193716
10	LOPM10	0.185378
11	LPAM9	0.184055
12	LOAI13-1	0.175266
13	LTLI3	0.136387
14	LOPI9	0.127395
15	LTPI1-1	0.125707
16	LOMS13	0.123213
17	LTPI2-2	0.11873
18	LOPI10	0.118215
19	LOMM5	0.115549
20	ROPM1	0.115334
21	ROPM8	0.112185
22	LOAI12-0	0.110588
23	RTPI3	0.109695
24	LOAI12-1	0.10874
25	RTPI2	0.103877

[Stimulus_r75] (61 electrodes, showing 25)
rank	electrode	rms_deviation
1	RHT5	0.401595
2	LOPM8	0.318765
3	LOAI14-1	0.311624
4	LPAI1	0.273115
5	LTPI2-0	0.249334
6	LOMM5	0.244058
7	LPPI7	0.233454
8	LOMS13	0.217085
9	LOAI13-1	0.215494
10	LOAI15	0.209284
11	RTPI1-1	0.206273
12	ROPM8	0.203277
13	LPT13	0.199557
14	ROPM9	0.195252
15	LTMI1	0.193286
16	RPIT1	0.191318
17	LPPI8	0.189216
18	LTPI3	0.188286
19	LTPI4	0.175517
20	LOPM9	0.174833
21	LPAM4	0.17476
22	RTPI1-0	0.174138
23	LOAI12-1	0.17165
24	LPPI9	0.169365
25	ROPI5	0.166655

