Electrode deviation report for ROI: occ
Metric: RMS deviation of each electrode trace from the condition's across-electrode mean trace.
Scoring window: epoch start to 0s
Larger values indicate greater deviation; this is a diagnostic ranking, not a statistical outlier test.

[Stimulus_s75-Stimulus_r75] (61 electrodes, showing 25)
rank	electrode	rms_deviation
1	ROPM8	0.234365
2	ROPM1	0.231196
3	LPPI7	0.221857
4	RTOJ2	0.211951
5	ROPM9	0.208129
6	ROPI5	0.205751
7	RTPI1-0	0.197092
8	LTPI3	0.193154
9	ROPI6	0.192665
10	LOMS13	0.190479
11	LOMM5	0.188218
12	LPPI8	0.18445
13	LOAI12-1	0.183553
14	LTOJ13	0.180502
15	RTPI1-1	0.180225
16	LPPI9	0.179562
17	LPT13	0.178751
18	LTMI1	0.176547
19	RTPI3	0.176456
20	LOPM9	0.174556
21	LPAI1	0.174171
22	LPAM4	0.173872
23	LOPM2	0.171442
24	LOMM3	0.169948
25	LTPI2-0	0.165886

[Stimulus_s25-Stimulus_r25] (61 electrodes, showing 25)
rank	electrode	rms_deviation
1	ROPM1	0.221059
2	LTMI1	0.213536
3	LPPI8	0.208602
4	RPMT1	0.200035
5	LOAI15	0.199448
6	LOAI12-1	0.194028
7	LTPI4	0.192646
8	LTPI1-1	0.189191
9	RTPI2	0.186012
10	RTPI1-1	0.185083
11	ROPM9	0.181858
12	LTLI3	0.18118
13	ROPI5	0.181166
14	RHT5	0.179904
15	LPAI11	0.177032
16	LOAI12-0	0.17585
17	RPIT1	0.174765
18	ROPM8	0.173486
19	LPAI12	0.169272
20	LOMS13	0.16681
21	ROPI6	0.165151
22	RTPO1	0.163508
23	LTPI2-0	0.162294
24	LTPI3	0.160818
25	LOPM1	0.159654

