Electrode deviation report for ROI: occ
Metric: RMS deviation of each electrode trace from the condition's across-electrode mean trace.
Scoring window: epoch start to 0s
Larger values indicate greater deviation; this is a diagnostic ranking, not a statistical outlier test.

[Stimulus_s_in_25incongruentBlock] (61 electrodes, showing 25)
rank	electrode	rms_deviation
1	RHT5	0.362438
2	LOPM8	0.349346
3	LOPM9	0.256411
4	LPAI1	0.254822
5	LOAI14-1	0.242221
6	LTPI2-0	0.236506
7	LPAM9	0.2315
8	LTPI3	0.199575
9	LOAI15	0.18491
10	LOAI13-1	0.184834
11	ROPM1	0.175487
12	LOPM10	0.171493
13	RPIT1	0.169447
14	LTMI1	0.166818
15	RPMT1	0.152004
16	LPAI12	0.150789
17	ROPM9	0.148768
18	LPAM4	0.145666
19	LOAI14-0	0.141162
20	LOMS13	0.139848
21	LOAI12-0	0.138041
22	LOPI10	0.134663
23	LOAM15	0.131072
24	LOAI13-0	0.130825
25	RTPO1	0.129632

[Stimulus_s_in_75incongruentBlock] (61 electrodes, showing 25)
rank	electrode	rms_deviation
1	RHT5	0.346586
2	LOPM8	0.334672
3	RTOJ2	0.296045
4	LOAI14-1	0.292836
5	LPAM9	0.252394
6	LOAI15	0.226311
7	LOPM9	0.226267
8	LOPI9	0.222131
9	LTPI2-0	0.221755
10	LOAI13-1	0.211428
11	LPAI1	0.191968
12	LTPI4	0.191238
13	LOPM10	0.187176
14	RTPI3	0.1826
15	LTPI3	0.172846
16	LTPI2-1	0.170269
17	RTPI1-1	0.162577
18	LTPI1-0	0.159002
19	LOAM15	0.158912
20	LOMM4	0.153904
21	RPMT1	0.151229
22	RPIT1	0.149249
23	LOMM5	0.145732
24	LOMS13	0.140182
25	RTPI1-0	0.136708

[Stimulus_r_in_25incongruentBlock] (61 electrodes, showing 25)
rank	electrode	rms_deviation
1	RHT5	0.417396
2	LOPM8	0.334501
3	LOAI14-1	0.250028
4	LTPI4	0.237658
5	LOPM9	0.228225
6	LTPI3	0.213259
7	LTPI2-0	0.201841
8	LPAI1	0.201663
9	LOAI15	0.169755
10	LOAI13-1	0.169671
11	LTLI3	0.165193
12	ROPM8	0.155305
13	LOPM10	0.152911
14	LOAI12-1	0.146726
15	LOPI9	0.144221
16	LPAM9	0.142628
17	LOMM5	0.142238
18	LOMS13	0.136528
19	LPAI11	0.128314
20	LPPI8	0.128247
21	LTOJ1	0.127208
22	LOMI9	0.1247
23	LTPI2-2	0.123308
24	RTPI1-0	0.120361
25	RTPI3	0.119825

[Stimulus_r_in_75incongruentBlock] (61 electrodes, showing 25)
rank	electrode	rms_deviation
1	RHT5	0.416226
2	LOPM8	0.358753
3	LTPI2-0	0.261428
4	LOAI14-1	0.25315
5	LPAI1	0.248783
6	LOPM9	0.231965
7	LPAM9	0.226553
8	LTPI3	0.221322
9	LOPM10	0.190134
10	LOAI15	0.189556
11	LOAI13-1	0.187354
12	LTPI4	0.179686
13	LOMS13	0.156692
14	ROPM1	0.138141
15	ROPM8	0.137779
16	RTPI1-1	0.136894
17	LOAI12-0	0.136035
18	LPPI7	0.134366
19	LOMM5	0.132678
20	RTPO1	0.129116
21	RPMT1	0.128846
22	LTLI3	0.125044
23	RTPI1-0	0.122627
24	RTPI2	0.121227
25	LOPI10	0.116699

