subject,electrode,roi,effect,cluster_idx,sign,extent_windows,cluster_onset,cluster_offset,cluster_p_value,peak_F,peak_time,cluster_p_fdr,sig_after_fdr
D0057,RAI12,lpfc,C(switchType),-1,0,0,,,1.0,7.358032264543798,-0.5625,1.0,False
D0057,RAI12,lpfc,C(incongruentProportion),-1,0,0,,,1.0,3.9628521084717505,1.375,1.0,False
D0057,RAI12,lpfc,C(switchType):C(incongruentProportion),-1,0,0,,,1.0,2.8802084731959394,1.375,1.0,False
D0057,RAI13,lpfc,C(switchType),-1,0,0,,,1.0,3.275463683196045,-0.625,1.0,False
D0057,RAI13,lpfc,C(incongruentProportion),-1,0,0,,,1.0,2.2619565579275887,0.6875,1.0,False
D0057,RAI13,lpfc,C(switchType):C(incongruentProportion),-1,0,0,,,1.0,7.51400816624137,-0.875,1.0,False
D0057,RAI14,lpfc,C(switchType),-1,0,0,,,1.0,9.079880936605859,0.8125,1.0,False
D0057,RAI14,lpfc,C(incongruentProportion),-1,0,0,,,1.0,1.8002772157425504,0.8125,1.0,False
D0057,RAI14,lpfc,C(switchType):C(incongruentProportion),-1,0,0,,,1.0,3.522045151503431,-0.8125,1.0,False
D0057,RAI15,lpfc,C(switchType),0,1,7,-0.75,-0.375,0.03,9.887980237214226,-0.5625,0.14600000000000002,False
D0057,RAI15,lpfc,C(incongruentProportion),-1,0,0,,,1.0,1.7732477587286515,-0.75,1.0,False
D0057,RAI15,lpfc,C(switchType):C(incongruentProportion),-1,0,0,,,1.0,3.9554873079301744,-0.8125,1.0,False
D0057,RAI16,lpfc,C(switchType),0,1,7,-0.75,-0.375,0.024,8.959393569354063,-0.5625,0.146,False
D0057,RAI16,lpfc,C(incongruentProportion),-1,0,0,,,1.0,1.6536629362114221,-0.75,1.0,False
D0057,RAI16,lpfc,C(switchType):C(incongruentProportion),-1,0,0,,,1.0,2.9497835505806034,-0.6875,1.0,False
D0057,RAI6,lpfc,C(switchType),0,1,6,0.5625,0.875,0.026,8.416811655674323,0.6875,0.146,False
D0057,RAI6,lpfc,C(incongruentProportion),0,1,5,-0.875,-0.625,0.05,15.358941659971684,1.375,0.19000000000000003,False
D0057,RAI6,lpfc,C(switchType):C(incongruentProportion),-1,0,0,,,1.0,6.334394073059673,1.3125,1.0,False
D0057,RAIF11,lpfc,C(switchType),-1,0,0,,,1.0,8.044154363737448,-0.4375,1.0,False
D0057,RAIF11,lpfc,C(incongruentProportion),-1,0,0,,,1.0,3.193470393348203,-0.375,1.0,False
D0057,RAIF11,lpfc,C(switchType):C(incongruentProportion),-1,0,0,,,1.0,9.257572913300935,-0.8125,1.0,False
D0057,RAIF12,lpfc,C(switchType),-1,0,0,,,1.0,7.087985122608043,-0.4375,1.0,False
D0057,RAIF12,lpfc,C(incongruentProportion),-1,0,0,,,1.0,4.414080479732671,-0.25,1.0,False
D0057,RAIF12,lpfc,C(switchType):C(incongruentProportion),-1,0,0,,,1.0,5.08071219272341,1.375,1.0,False
D0057,RAMF10,lpfc,C(switchType),0,1,7,-0.8125,-0.4375,0.024,10.162910798878043,-0.5625,0.146,False
D0057,RAMF10,lpfc,C(incongruentProportion),-1,0,0,,,1.0,3.6237226902022557,1.3125,1.0,False
D0057,RAMF10,lpfc,C(switchType):C(incongruentProportion),0,1,6,-0.875,-0.5625,0.048,7.34608342281751,-0.8125,0.5840000000000001,False
D0057,RAMF11,lpfc,C(switchType),0,1,8,-0.75,-0.3125,0.022,9.042109433692618,-0.5,0.146,False
D0057,RAMF11,lpfc,C(incongruentProportion),-1,0,0,,,1.0,6.304977429737016,0.5,1.0,False
D0057,RAMF11,lpfc,C(switchType):C(incongruentProportion),-1,0,0,,,1.0,6.7422241058822205,-0.75,1.0,False
D0057,RAMF12,lpfc,C(switchType),0,1,10,-0.8125,-0.25,0.0,10.185997260990868,-0.4375,0.0,True
D0057,RAMF12,lpfc,C(incongruentProportion),-1,0,0,,,1.0,5.605213241700734,1.1875,1.0,False
D0057,RAMF12,lpfc,C(switchType):C(incongruentProportion),-1,0,0,,,1.0,6.992906154140607,-0.75,1.0,False
D0057,RPI14,lpfc,C(switchType),0,1,17,0.375,1.375,0.0,18.623136032993035,0.5625,0.0,True
D0057,RPI14,lpfc,C(incongruentProportion),-1,0,0,,,1.0,11.34957869554799,1.375,1.0,False
D0057,RPI14,lpfc,C(switchType):C(incongruentProportion),-1,0,0,,,1.0,10.839217416744496,0.25,1.0,False
D0057,RPI15,lpfc,C(switchType),0,1,15,0.5,1.375,0.0,24.99757112538583,0.6875,0.0,True
D0057,RPI15,lpfc,C(incongruentProportion),-1,0,0,,,1.0,11.342410947578436,1.375,1.0,False
D0057,RPI15,lpfc,C(switchType):C(incongruentProportion),-1,0,0,,,1.0,6.496077764179107,0.8125,1.0,False
D0057,RPIT1,occ,C(switchType),-1,0,0,,,1.0,7.143987400062705,-0.4375,1.0,False
D0057,RPIT1,occ,C(incongruentProportion),-1,0,0,,,1.0,12.742108836231356,1.375,1.0,False
D0057,RPIT1,occ,C(switchType):C(incongruentProportion),-1,0,0,,,1.0,4.200448018537636,-0.625,1.0,False
D0063,LASF10,lpfc,C(switchType),-1,0,0,,,1.0,2.627858330672705,0.375,1.0,False
D0063,LASF10,lpfc,C(incongruentProportion),-1,0,0,,,1.0,2.1115082313417917,1.375,1.0,False
D0063,LASF10,lpfc,C(switchType):C(incongruentProportion),-1,0,0,,,1.0,3.922037296144644,1.0625,1.0,False
D0063,LASF11,lpfc,C(switchType),-1,0,0,,,1.0,5.600848010311427,-0.25,1.0,False
D0063,LASF11,lpfc,C(incongruentProportion),-1,0,0,,,1.0,2.5040145897308204,-0.0625,1.0,False
D0063,LASF11,lpfc,C(switchType):C(incongruentProportion),-1,0,0,,,1.0,3.4011302307310047,-0.4375,1.0,False
D0063,LASF14,lpfc,C(switchType),-1,0,0,,,1.0,4.085526171184064,-0.1875,1.0,False
D0063,LASF14,lpfc,C(incongruentProportion),-1,0,0,,,1.0,6.150466656161362,-0.0625,1.0,False
D0063,LASF14,lpfc,C(switchType):C(incongruentProportion),-1,0,0,,,1.0,3.733859962860767,1.0625,1.0,False
D0063,LASF15,lpfc,C(switchType),-1,0,0,,,1.0,4.391138761961483,-0.125,1.0,False
D0063,LASF15,lpfc,C(incongruentProportion),-1,0,0,,,1.0,5.7370829289856236,-0.75,1.0,False
D0063,LASF15,lpfc,C(switchType):C(incongruentProportion),-1,0,0,,,1.0,3.712554484101641,1.0625,1.0,False
D0063,LASF16,lpfc,C(switchType),-1,0,0,,,1.0,6.307239372007265,1.0625,1.0,False
D0063,LASF16,lpfc,C(incongruentProportion),-1,0,0,,,1.0,5.942919880432006,-0.875,1.0,False
D0063,LASF16,lpfc,C(switchType):C(incongruentProportion),-1,0,0,,,1.0,9.061853182034751,1.0,1.0,False
D0063,LMSF12,lpfc,C(switchType),-1,0,0,,,1.0,4.329604530092664,1.0625,1.0,False
D0063,LMSF12,lpfc,C(incongruentProportion),-1,0,0,,,1.0,4.739951814200341,1.375,1.0,False
D0063,LMSF12,lpfc,C(switchType):C(incongruentProportion),-1,0,0,,,1.0,2.553588745278677,0.5,1.0,False
D0063,LMSF5,lpfc,C(switchType),-1,0,0,,,1.0,4.436493561414351,1.0625,1.0,False
D0063,LMSF5,lpfc,C(incongruentProportion),-1,0,0,,,1.0,5.532745766279712,0.75,1.0,False
D0063,LMSF5,lpfc,C(switchType):C(incongruentProportion),-1,0,0,,,1.0,4.597728977712943,0.5,1.0,False
D0063,LMSF6,lpfc,C(switchType),-1,0,0,,,1.0,5.811250467605251,1.0625,1.0,False
D0063,LMSF6,lpfc,C(incongruentProportion),-1,0,0,,,1.0,5.104360660598634,0.8125,1.0,False
D0063,LMSF6,lpfc,C(switchType):C(incongruentProportion),-1,0,0,,,1.0,2.361174829795595,-0.875,1.0,False
D0063,RAI10,lpfc,C(switchType),-1,0,0,,,1.0,4.7423367519671125,1.125,1.0,False
D0063,RAI10,lpfc,C(incongruentProportion),-1,0,0,,,1.0,3.738481598181419,1.1875,1.0,False
D0063,RAI10,lpfc,C(switchType):C(incongruentProportion),-1,0,0,,,1.0,11.981215746308877,-0.875,1.0,False
D0063,RMSF8,lpfc,C(switchType),-1,0,0,,,1.0,5.269427643537638,0.8125,1.0,False
D0063,RMSF8,lpfc,C(incongruentProportion),-1,0,0,,,1.0,6.422182292225058,-0.8125,1.0,False
D0063,RMSF8,lpfc,C(switchType):C(incongruentProportion),-1,0,0,,,1.0,4.3391694622388535,-0.8125,1.0,False
D0071,RFO14,lpfc,C(switchType),-1,0,0,,,1.0,5.594366081281071,0.6875,1.0,False
D0071,RFO14,lpfc,C(incongruentProportion),0,-1,6,0.25,0.5625,0.032,7.955336023220639,0.4375,0.15200000000000002,False
D0071,RFO14,lpfc,C(switchType):C(incongruentProportion),-1,0,0,,,1.0,6.358075298816625,-0.6875,1.0,False
D0071,RIA11,lpfc,C(switchType),-1,0,0,,,1.0,5.216313240515895,-0.25,1.0,False
D0071,RIA11,lpfc,C(incongruentProportion),-1,0,0,,,1.0,5.135457344939498,-0.25,1.0,False
D0071,RIA11,lpfc,C(switchType):C(incongruentProportion),-1,0,0,,,1.0,4.828714604640357,0.8125,1.0,False
D0071,RIA12,lpfc,C(switchType),-1,0,0,,,1.0,4.51370361327552,0.125,1.0,False
D0071,RIA12,lpfc,C(incongruentProportion),-1,0,0,,,1.0,4.439412508529539,0.75,1.0,False
D0071,RIA12,lpfc,C(switchType):C(incongruentProportion),-1,0,0,,,1.0,5.9334633559827745,1.375,1.0,False
D0071,RIA13,lpfc,C(switchType),-1,0,0,,,1.0,9.024505062073008,-0.1875,1.0,False
D0071,RIA13,lpfc,C(incongruentProportion),-1,0,0,,,1.0,3.4441534812561736,1.0,1.0,False
