subject,electrode,roi,effect,cluster_idx,sign,extent_windows,cluster_onset,cluster_offset,cluster_p_value,peak_F,peak_time,cluster_p_fdr,sig_after_fdr
D0057,RAI12,lpfc,C(congruency),-1,0,0,,,1.0,2.4785927748134555,1.3125,1.0,False
D0057,RAI12,lpfc,C(switchProportion),0,1,6,-0.75,-0.4375,0.04,13.488774856723174,-0.625,0.1216,False
D0057,RAI12,lpfc,C(switchProportion),1,1,7,-0.3125,0.0625,0.022,13.488774856723174,-0.625,0.088,False
D0057,RAI12,lpfc,C(congruency):C(switchProportion),-1,0,0,,,1.0,2.6331322081799247,0.8125,1.0,False
D0057,RAI13,lpfc,C(congruency),-1,0,0,,,1.0,1.5000538456633623,1.1875,1.0,False
D0057,RAI13,lpfc,C(switchProportion),0,1,9,-0.8125,-0.3125,0.01,14.9119052935506,-0.5,0.05428571428571429,False
D0057,RAI13,lpfc,C(congruency):C(switchProportion),-1,0,0,,,1.0,6.567397526210702,-0.8125,1.0,False
D0057,RAI14,lpfc,C(congruency),-1,0,0,,,1.0,2.4847613183976986,1.0,1.0,False
D0057,RAI14,lpfc,C(switchProportion),0,1,12,-0.875,-0.1875,0.002,14.590723823299601,-0.5,0.021714285714285717,True
D0057,RAI14,lpfc,C(congruency):C(switchProportion),-1,0,0,,,1.0,4.124584691476278,-0.3125,1.0,False
D0057,RAI15,lpfc,C(congruency),-1,0,0,,,1.0,3.3650709926809594,0.0625,1.0,False
D0057,RAI15,lpfc,C(switchProportion),0,1,9,-0.8125,-0.3125,0.004,11.71658618448451,-0.5625,0.03377777777777778,True
D0057,RAI15,lpfc,C(congruency):C(switchProportion),-1,0,0,,,1.0,3.3286408528893467,-0.3125,1.0,False
D0057,RAI16,lpfc,C(congruency),-1,0,0,,,1.0,4.4836587845093945,0.125,1.0,False
D0057,RAI16,lpfc,C(switchProportion),0,1,11,-0.8125,-0.1875,0.004,11.398342233960243,-0.5625,0.03377777777777778,True
D0057,RAI16,lpfc,C(congruency):C(switchProportion),-1,0,0,,,1.0,2.047204859682367,1.375,1.0,False
D0057,RAI6,lpfc,C(congruency),-1,0,0,,,1.0,11.554099051887059,1.3125,1.0,False
