subject,electrode,roi,effect,cluster_idx,sign,extent_windows,cluster_onset,cluster_offset,cluster_p_value,peak_F,peak_time,cluster_p_fdr,sig_after_fdr
D0057,RAI12,lpfc,C(congruency),-1,0,0,,,1.0,1.6368909938543428,0.0,1.0,False
D0057,RAI12,lpfc,C(incongruentProportion),-1,0,0,,,1.0,3.356663392746877,0.375,1.0,False
D0057,RAI12,lpfc,C(congruency):C(incongruentProportion),-1,0,0,,,1.0,6.221096960346184,-0.25,1.0,False
D0057,RAI13,lpfc,C(congruency),-1,0,0,,,1.0,0.9885147166068634,1.1875,1.0,False
D0057,RAI13,lpfc,C(incongruentProportion),-1,0,0,,,1.0,2.2317509191281886,0.6875,1.0,False
D0057,RAI13,lpfc,C(congruency):C(incongruentProportion),-1,0,0,,,1.0,4.157548303965657,-0.1875,1.0,False
D0057,RAI14,lpfc,C(congruency),-1,0,0,,,1.0,1.5907566155686401,1.125,1.0,False
D0057,RAI14,lpfc,C(incongruentProportion),-1,0,0,,,1.0,1.1928556967440735,0.8125,1.0,False
D0057,RAI14,lpfc,C(congruency):C(incongruentProportion),-1,0,0,,,1.0,5.468804597113707,-0.1875,1.0,False
D0057,RAI15,lpfc,C(congruency),-1,0,0,,,1.0,3.384202251070366,0.0625,1.0,False
D0057,RAI15,lpfc,C(incongruentProportion),-1,0,0,,,1.0,3.0950659041969857,-0.75,1.0,False
D0057,RAI15,lpfc,C(congruency):C(incongruentProportion),-1,0,0,,,1.0,4.48407667820804,-0.5625,1.0,False
D0057,RAI16,lpfc,C(congruency),-1,0,0,,,1.0,5.124873602629903,0.0625,1.0,False
D0057,RAI16,lpfc,C(incongruentProportion),-1,0,0,,,1.0,2.5986125291605706,-0.75,1.0,False
D0057,RAI16,lpfc,C(congruency):C(incongruentProportion),-1,0,0,,,1.0,7.857447251917122,-0.5625,1.0,False
D0057,RAI6,lpfc,C(congruency),-1,0,0,,,1.0,4.470532272232369,-0.375,1.0,False
D0057,RAI6,lpfc,C(incongruentProportion),0,1,5,-0.875,-0.625,0.042,10.805504630645983,0.0,0.24,False
D0057,RAI6,lpfc,C(incongruentProportion),1,1,7,-0.3125,0.0625,0.018,10.805504630645983,0.0,0.15,False
D0057,RAI6,lpfc,C(congruency):C(incongruentProportion),-1,0,0,,,1.0,2.7918477028690964,-0.875,1.0,False
D0057,RAIF11,lpfc,C(congruency),-1,0,0,,,1.0,3.430705731342904,0.75,1.0,False
D0057,RAIF11,lpfc,C(incongruentProportion),-1,0,0,,,1.0,5.898018004971377,-0.25,1.0,False
D0057,RAIF11,lpfc,C(congruency):C(incongruentProportion),-1,0,0,,,1.0,12.469182343386738,-0.25,1.0,False
D0057,RAIF12,lpfc,C(congruency),-1,0,0,,,1.0,5.4754946446601425,0.6875,1.0,False
D0057,RAIF12,lpfc,C(incongruentProportion),-1,0,0,,,1.0,6.735887281400251,-0.25,1.0,False
D0057,RAIF12,lpfc,C(congruency):C(incongruentProportion),-1,0,0,,,1.0,5.761438176017342,-0.25,1.0,False
D0057,RAMF10,lpfc,C(congruency),-1,0,0,,,1.0,5.889398738718613,-0.75,1.0,False
D0057,RAMF10,lpfc,C(incongruentProportion),-1,0,0,,,1.0,3.6449283456671275,-0.625,1.0,False
D0057,RAMF10,lpfc,C(congruency):C(incongruentProportion),-1,0,0,,,1.0,5.789568154423094,1.125,1.0,False
D0057,RAMF11,lpfc,C(congruency),-1,0,0,,,1.0,4.388796720783542,-0.25,1.0,False
D0057,RAMF11,lpfc,C(incongruentProportion),-1,0,0,,,1.0,4.200849449788576,0.5,1.0,False
D0057,RAMF11,lpfc,C(congruency):C(incongruentProportion),-1,0,0,,,1.0,4.290184503534086,-0.875,1.0,False
D0057,RAMF12,lpfc,C(congruency),-1,0,0,,,1.0,5.388120673455678,-0.75,1.0,False
D0057,RAMF12,lpfc,C(incongruentProportion),-1,0,0,,,1.0,8.10767516951615,-0.75,1.0,False
D0057,RAMF12,lpfc,C(congruency):C(incongruentProportion),-1,0,0,,,1.0,5.125129823317495,-0.875,1.0,False
D0057,RPI14,lpfc,C(congruency),-1,0,0,,,1.0,10.677473477243593,1.1875,1.0,False
D0057,RPI14,lpfc,C(incongruentProportion),0,-1,7,1.0,1.375,0.018,14.852599520446573,1.375,0.15,False
D0057,RPI14,lpfc,C(congruency):C(incongruentProportion),-1,0,0,,,1.0,4.531021358133655,0.5625,1.0,False
D0057,RPI15,lpfc,C(congruency),-1,0,0,,,1.0,3.0482864363810123,0.75,1.0,False
D0057,RPI15,lpfc,C(incongruentProportion),-1,0,0,,,1.0,12.184868936951336,1.375,1.0,False
D0057,RPI15,lpfc,C(congruency):C(incongruentProportion),-1,0,0,,,1.0,10.364149000491853,0.4375,1.0,False
D0057,RPIT1,occ,C(congruency),-1,0,0,,,1.0,4.703030880346275,0.6875,1.0,False
D0057,RPIT1,occ,C(incongruentProportion),-1,0,0,,,1.0,5.21968341023781,1.375,1.0,False
D0057,RPIT1,occ,C(congruency):C(incongruentProportion),-1,0,0,,,1.0,6.991693789886964,0.875,1.0,False
D0063,LASF10,lpfc,C(congruency),-1,0,0,,,1.0,2.0577826504966366,-0.875,1.0,False
D0063,LASF10,lpfc,C(incongruentProportion),-1,0,0,,,1.0,2.5217559550235156,0.0,1.0,False
