subject,electrode,roi,effect,cluster_idx,sign,extent_windows,cluster_onset,cluster_offset,cluster_p_value,peak_F,peak_time,cluster_p_fdr,sig_after_fdr
D0057,RAI12,lpfc,C(switchType),-1,0,0,,,1.0,2.4725124117875,1.0,1.0,False
D0057,RAI12,lpfc,C(switchProportion),-1,0,0,,,1.0,6.974097767578041,-0.625,1.0,False
D0057,RAI12,lpfc,C(switchType):C(switchProportion),-1,0,0,,,1.0,1.6438331881462587,-0.5625,1.0,False
D0057,RAI13,lpfc,C(switchType),-1,0,0,,,1.0,1.9052027082329066,0.8125,1.0,False
D0057,RAI13,lpfc,C(switchProportion),0,1,9,-0.8125,-0.3125,0.006,12.057228361309752,-0.5,0.14600000000000002,False
D0057,RAI13,lpfc,C(switchType):C(switchProportion),-1,0,0,,,1.0,4.505698997427249,0.625,1.0,False
D0057,RAI14,lpfc,C(switchType),-1,0,0,,,1.0,3.8562055892249907,0.8125,1.0,False
D0057,RAI14,lpfc,C(switchProportion),0,1,11,-0.8125,-0.1875,0.004,14.121375233775376,-0.375,0.14600000000000002,False
D0057,RAI14,lpfc,C(switchType):C(switchProportion),-1,0,0,,,1.0,5.84881654386073,0.625,1.0,False
D0057,RAI15,lpfc,C(switchType),-1,0,0,,,1.0,2.81649391574733,-0.625,1.0,False
D0057,RAI15,lpfc,C(switchProportion),-1,0,0,,,1.0,4.624186305029414,-0.5625,1.0,False
D0057,RAI15,lpfc,C(switchType):C(switchProportion),-1,0,0,,,1.0,3.518369699082751,0.8125,1.0,False
D0057,RAI16,lpfc,C(switchType),-1,0,0,,,1.0,2.295128063858925,-0.5625,1.0,False
D0057,RAI16,lpfc,C(switchProportion),-1,0,0,,,1.0,4.776589607178148,-0.75,1.0,False
D0057,RAI16,lpfc,C(switchType):C(switchProportion),-1,0,0,,,1.0,3.9514667009154785,0.75,1.0,False
D0057,RAI6,lpfc,C(switchType),-1,0,0,,,1.0,6.385678378164161,0.3125,1.0,False
D0057,RAI6,lpfc,C(switchProportion),0,1,6,0.75,1.0625,0.022,8.78130479587189,0.9375,0.26766666666666666,False
D0057,RAI6,lpfc,C(switchType):C(switchProportion),-1,0,0,,,1.0,3.449096462698623,-0.875,1.0,False
D0057,RAIF11,lpfc,C(switchType),-1,0,0,,,1.0,6.583052690338176,0.75,1.0,False
D0057,RAIF11,lpfc,C(switchProportion),-1,0,0,,,1.0,9.123934027255586,-0.3125,1.0,False
D0057,RAIF11,lpfc,C(switchType):C(switchProportion),-1,0,0,,,1.0,4.78373585193092,-0.1875,1.0,False
D0057,RAIF12,lpfc,C(switchType),-1,0,0,,,1.0,9.052180605186837,0.3125,1.0,False
D0057,RAIF12,lpfc,C(switchProportion),0,1,6,-0.4375,-0.125,0.022,11.36323365269325,-0.25,0.26766666666666666,False
D0057,RAIF12,lpfc,C(switchType):C(switchProportion),-1,0,0,,,1.0,6.525860623288824,-0.1875,1.0,False
D0057,RAMF10,lpfc,C(switchType),-1,0,0,,,1.0,3.7008221445870957,-0.5,1.0,False
D0057,RAMF10,lpfc,C(switchProportion),-1,0,0,,,1.0,5.332905071857455,-0.625,1.0,False
D0057,RAMF10,lpfc,C(switchType):C(switchProportion),-1,0,0,,,1.0,7.547518560306551,-0.3125,1.0,False
D0057,RAMF11,lpfc,C(switchType),-1,0,0,,,1.0,3.962690119502836,-0.4375,1.0,False
D0057,RAMF11,lpfc,C(switchProportion),-1,0,0,,,1.0,5.536255301117361,0.8125,1.0,False
D0057,RAMF11,lpfc,C(switchType):C(switchProportion),-1,0,0,,,1.0,8.307069689342955,-0.3125,1.0,False
D0057,RAMF12,lpfc,C(switchType),-1,0,0,,,1.0,6.769577000588594,-0.375,1.0,False
D0057,RAMF12,lpfc,C(switchProportion),-1,0,0,,,1.0,5.413266818024625,-0.75,1.0,False
D0057,RAMF12,lpfc,C(switchType):C(switchProportion),-1,0,0,,,1.0,5.925759824019807,-0.3125,1.0,False
D0057,RPI14,lpfc,C(switchType),0,1,9,0.375,0.875,0.008,11.007762309723633,0.5625,0.11680000000000001,False
D0057,RPI14,lpfc,C(switchProportion),-1,0,0,,,1.0,7.260430509862189,0.3125,1.0,False
D0057,RPI14,lpfc,C(switchType):C(switchProportion),-1,0,0,,,1.0,4.521829853771479,0.625,1.0,False
D0057,RPI15,lpfc,C(switchType),0,1,12,0.4375,1.125,0.002,13.227452508273826,0.625,0.09733333333333334,False
D0057,RPI15,lpfc,C(switchProportion),-1,0,0,,,1.0,9.176206507675774,0.3125,1.0,False
D0057,RPI15,lpfc,C(switchType):C(switchProportion),0,-1,6,-0.4375,-0.125,0.042,9.303486584824693,-0.25,0.7008000000000001,False
D0057,RPIT1,occ,C(switchType),-1,0,0,,,1.0,4.661479190198479,1.0,1.0,False
D0057,RPIT1,occ,C(switchProportion),-1,0,0,,,1.0,6.121942501022064,-0.75,1.0,False
D0057,RPIT1,occ,C(switchType):C(switchProportion),-1,0,0,,,1.0,4.2278784860526155,-0.875,1.0,False
D0063,LASF10,lpfc,C(switchType),-1,0,0,,,1.0,6.278314331170381,-0.6875,1.0,False
D0063,LASF10,lpfc,C(switchProportion),-1,0,0,,,1.0,10.200931485913367,-0.75,1.0,False
