subject,electrode,roi,effect,cluster_idx,sign,extent_windows,cluster_onset,cluster_offset,cluster_p_value,peak_F,peak_time,cluster_p_fdr,sig_after_fdr
D0057,RAI12,lpfc,C(switchType),-1,0,0,,,1.0,9.744492406960875,-0.4375,1.0,False
D0057,RAI12,lpfc,C(incongruentProportion),-1,0,0,,,1.0,2.447199654295695,-0.875,1.0,False
D0057,RAI12,lpfc,C(switchType):C(incongruentProportion),-1,0,0,,,1.0,7.4357174337383976,0.5,1.0,False
D0057,RAI13,lpfc,C(switchType),-1,0,0,,,1.0,2.436485604205663,-0.75,1.0,False
D0057,RAI13,lpfc,C(incongruentProportion),-1,0,0,,,1.0,4.0379460943592855,0.4375,1.0,False
D0057,RAI13,lpfc,C(switchType):C(incongruentProportion),-1,0,0,,,1.0,5.338679383638598,0.1875,1.0,False
D0057,RAI14,lpfc,C(switchType),-1,0,0,,,1.0,6.951997980981977,0.8125,1.0,False
D0057,RAI14,lpfc,C(incongruentProportion),-1,0,0,,,1.0,5.338684599016808,0.6875,1.0,False
D0057,RAI14,lpfc,C(switchType):C(incongruentProportion),-1,0,0,,,1.0,3.4322321653613423,1.375,1.0,False
D0057,RAI15,lpfc,C(switchType),-1,0,0,,,1.0,4.119255929567138,0.75,1.0,False
D0057,RAI15,lpfc,C(incongruentProportion),-1,0,0,,,1.0,4.1437865117572,-0.375,1.0,False
D0057,RAI15,lpfc,C(switchType):C(incongruentProportion),-1,0,0,,,1.0,5.363106081686919,0.625,1.0,False
D0057,RAI16,lpfc,C(switchType),-1,0,0,,,1.0,5.077866690007222,-0.6875,1.0,False
D0057,RAI16,lpfc,C(incongruentProportion),-1,0,0,,,1.0,6.391148343394579,-0.375,1.0,False
D0057,RAI16,lpfc,C(switchType):C(incongruentProportion),-1,0,0,,,1.0,8.508830399296512,1.0625,1.0,False
D0057,RAI6,lpfc,C(switchType),-1,0,0,,,1.0,7.759355329057303,-0.3125,1.0,False
D0057,RAI6,lpfc,C(incongruentProportion),-1,0,0,,,1.0,3.5918958127129423,0.1875,1.0,False
D0057,RAI6,lpfc,C(switchType):C(incongruentProportion),-1,0,0,,,1.0,3.9146881384744727,1.375,1.0,False
D0057,RAIF11,lpfc,C(switchType),0,-1,5,0.625,0.875,0.042,6.479075518179704,0.6875,0.22050000000000003,False
D0057,RAIF11,lpfc,C(incongruentProportion),-1,0,0,,,1.0,4.135791737713686,0.4375,1.0,False
D0057,RAIF11,lpfc,C(switchType):C(incongruentProportion),-1,0,0,,,1.0,4.613220064006027,0.75,1.0,False
D0057,RAIF12,lpfc,C(switchType),-1,0,0,,,1.0,3.2242093820357565,-0.1875,1.0,False
D0057,RAIF12,lpfc,C(incongruentProportion),-1,0,0,,,1.0,6.861249163611092,0.75,1.0,False
D0057,RAIF12,lpfc,C(switchType):C(incongruentProportion),-1,0,0,,,1.0,5.884424439154118,1.375,1.0,False
D0057,RAIF13,lpfc,C(switchType),-1,0,0,,,1.0,3.4905704222828158,-0.6875,1.0,False
D0057,RAIF13,lpfc,C(incongruentProportion),-1,0,0,,,1.0,6.710922376637785,0.75,1.0,False
D0057,RAIF13,lpfc,C(switchType):C(incongruentProportion),-1,0,0,,,1.0,12.200329463701358,1.375,1.0,False
D0057,RAIF14,lpfc,C(switchType),-1,0,0,,,1.0,3.566573012625722,-0.6875,1.0,False
D0057,RAIF14,lpfc,C(incongruentProportion),-1,0,0,,,1.0,6.603341617517126,0.75,1.0,False
D0057,RAIF14,lpfc,C(switchType):C(incongruentProportion),-1,0,0,,,1.0,11.875818911409173,1.375,1.0,False
D0057,RAMF10,lpfc,C(switchType),-1,0,0,,,1.0,5.263996359225619,0.25,1.0,False
