subject,electrode,roi,effect,cluster_idx,sign,extent_windows,cluster_onset,cluster_offset,cluster_p_value,peak_F,peak_time,cluster_p_fdr,sig_after_fdr
D0057,RAI6,lpfc,C(congruency),0,-1,6,0.375,0.6875,0.016,18.252971202708736,0.5,0.05840000000000001,False
D0057,RAI6,lpfc,C(congruency),1,-1,5,0.9375,1.1875,0.04,18.252971202708736,0.5,0.10814814814814816,False
D0057,RAI6,lpfc,C(switchProportion),0,1,7,0.25,0.625,0.01,13.943587179152257,0.3125,0.05285714285714285,False
D0057,RAI6,lpfc,C(congruency):C(switchProportion),-1,0,0,,,1.0,4.940348352310034,-0.375,1.0,False
D0057,RAMF13,lpfc,C(congruency),-1,0,0,,,1.0,3.6971673033063794,-0.4375,1.0,False
D0057,RAMF13,lpfc,C(switchProportion),-1,0,0,,,1.0,4.114677205957692,0.4375,1.0,False
D0057,RAMF13,lpfc,C(congruency):C(switchProportion),0,1,5,-0.3125,-0.0625,0.046,14.41461730417773,-0.1875,0.1604390243902439,False
D0057,RAMF14,lpfc,C(congruency),-1,0,0,,,1.0,6.170427761455507,0.0625,1.0,False
D0057,RAMF14,lpfc,C(switchProportion),0,1,6,0.75,1.0625,0.038,13.889332453496644,0.4375,0.11477551020408162,False
D0057,RAMF14,lpfc,C(congruency):C(switchProportion),-1,0,0,,,1.0,6.30916393203136,0.4375,1.0,False
D0057,RPI14,lpfc,C(congruency),-1,0,0,,,1.0,8.708165801009926,0.75,1.0,False
D0057,RPI14,lpfc,C(switchProportion),0,1,5,-0.75,-0.5,0.046,9.383949941531563,0.125,0.12845283018867923,False
D0057,RPI14,lpfc,C(switchProportion),1,1,8,-0.1875,0.25,0.0,9.383949941531563,0.125,0.0,True
D0057,RPI14,lpfc,C(congruency):C(switchProportion),-1,0,0,,,1.0,6.6059912895538,1.375,1.0,False
D0057,RPI15,lpfc,C(congruency),0,-1,14,0.25,1.0625,0.0,9.833482526964296,0.4375,0.0,True
D0057,RPI15,lpfc,C(switchProportion),-1,0,0,,,1.0,9.361200951227008,0.3125,1.0,False
D0057,RPI15,lpfc,C(congruency):C(switchProportion),-1,0,0,,,1.0,2.94008993710362,0.4375,1.0,False
D0059,LMMF10,lpfc,C(congruency),-1,0,0,,,1.0,7.4929917817529965,-0.75,1.0,False
D0059,LMMF10,lpfc,C(switchProportion),0,-1,14,0.4375,1.25,0.0,24.111252680266734,0.875,0.0,True
D0059,LMMF10,lpfc,C(congruency):C(switchProportion),-1,0,0,,,1.0,4.915372075038037,1.3125,1.0,False
D0059,LMMF11,lpfc,C(congruency),-1,0,0,,,1.0,2.583520150394601,0.375,1.0,False
D0059,LMMF11,lpfc,C(switchProportion),-1,0,0,,,1.0,11.892131532535206,0.875,1.0,False
D0059,LMMF11,lpfc,C(congruency):C(switchProportion),-1,0,0,,,1.0,6.171701349118586,1.375,1.0,False
D0059,LMMF12,lpfc,C(congruency),-1,0,0,,,1.0,10.388873898938263,0.5,1.0,False
D0059,LMMF12,lpfc,C(switchProportion),0,-1,12,0.6875,1.375,0.002,14.95501790957124,0.9375,0.021142857142857144,True
D0059,LMMF12,lpfc,C(congruency):C(switchProportion),-1,0,0,,,1.0,8.827697950466058,0.4375,1.0,False
D0059,LMMF9,lpfc,C(congruency),-1,0,0,,,1.0,2.7721847075431074,-0.1875,1.0,False
D0059,LMMF9,lpfc,C(switchProportion),0,-1,15,0.5,1.375,0.0,24.969994240517238,0.9375,0.0,True
D0059,LMMF9,lpfc,C(congruency):C(switchProportion),0,-1,7,-0.5625,-0.1875,0.018,13.42586127800157,-0.375,0.0804375,False
D0059,LPSF16,lpfc,C(congruency),0,-1,5,0.75,1.0,0.038,11.8680331719951,0.9375,0.10814814814814816,False
D0059,LPSF16,lpfc,C(switchProportion),0,-1,5,-0.5,-0.25,0.036,11.117702789298017,0.125,0.11336170212765957,False
D0059,LPSF16,lpfc,C(switchProportion),1,-1,7,-0.125,0.25,0.008,11.117702789298017,0.125,0.045538461538461535,True
D0059,LPSF16,lpfc,C(congruency):C(switchProportion),-1,0,0,,,1.0,4.271068700820071,0.6875,1.0,False
D0059,LPT13,occ,C(congruency),-1,0,0,,,1.0,5.807229240812778,0.125,1.0,False
D0059,LPT13,occ,C(switchProportion),0,-1,37,-0.875,1.375,0.0,8.221960562155799,1.0625,0.0,True
D0059,LPT13,occ,C(congruency):C(switchProportion),-1,0,0,,,1.0,6.090345643006011,0.125,1.0,False
D0063,LMSF5,lpfc,C(congruency),-1,0,0,,,1.0,5.1204162241847255,-0.25,1.0,False
D0063,LMSF5,lpfc,C(switchProportion),-1,0,0,,,1.0,2.1676043153861593,0.0625,1.0,False
D0063,LMSF5,lpfc,C(congruency):C(switchProportion),-1,0,0,,,1.0,5.928625856760434,0.0625,1.0,False
D0063,LPSF12,lpfc,C(congruency),-1,0,0,,,1.0,4.097598392214135,0.4375,1.0,False
D0063,LPSF12,lpfc,C(switchProportion),0,1,6,0.25,0.5625,0.02,12.823845928241495,0.4375,0.0721951219512195,False
D0063,LPSF12,lpfc,C(congruency):C(switchProportion),-1,0,0,,,1.0,2.648277314525264,0.75,1.0,False
D0063,RAI4,lpfc,C(congruency),-1,0,0,,,1.0,4.649490542273685,0.8125,1.0,False
D0063,RAI4,lpfc,C(switchProportion),0,-1,7,1.0,1.375,0.002,14.74487794220843,1.3125,0.021142857142857144,True
D0063,RAI4,lpfc,C(congruency):C(switchProportion),-1,0,0,,,1.0,3.2141179981239305,-0.1875,1.0,False
D0063,RAI6,lpfc,C(congruency),-1,0,0,,,1.0,8.381967153665713,1.3125,1.0,False
D0063,RAI6,lpfc,C(switchProportion),-1,0,0,,,1.0,4.072451707344841,0.5625,1.0,False
D0063,RAI6,lpfc,C(congruency):C(switchProportion),-1,0,0,,,1.0,4.248271104619985,-0.4375,1.0,False
D0063,RAMF12,lpfc,C(congruency),0,-1,6,0.875,1.1875,0.04,12.993358235255489,1.0,0.10814814814814816,False
D0063,RAMF12,lpfc,C(switchProportion),-1,0,0,,,1.0,5.995942075259118,0.0,1.0,False
D0063,RAMF12,lpfc,C(congruency):C(switchProportion),-1,0,0,,,1.0,2.101767623407056,0.4375,1.0,False
D0063,RMMF10,lpfc,C(congruency),0,-1,10,0.75,1.3125,0.004,20.503291264924414,1.0,0.02013793103448276,True
D0063,RMMF10,lpfc,C(switchProportion),0,-1,6,1.0625,1.375,0.036,12.288255210959571,1.375,0.11336170212765957,False
D0063,RMMF10,lpfc,C(congruency):C(switchProportion),-1,0,0,,,1.0,2.868030815237922,0.625,1.0,False
D0063,RMMF13,lpfc,C(congruency),-1,0,0,,,1.0,7.738214805332349,1.0,1.0,False
D0063,RMMF13,lpfc,C(switchProportion),-1,0,0,,,1.0,4.684656065519932,-0.8125,1.0,False
D0063,RMMF13,lpfc,C(congruency):C(switchProportion),-1,0,0,,,1.0,2.077333746600295,0.3125,1.0,False
D0063,RMMF14,lpfc,C(congruency),0,-1,9,0.6875,1.1875,0.008,13.704468301257084,1.0,0.035393939393939394,True
D0063,RMMF14,lpfc,C(switchProportion),0,-1,7,0.5625,0.9375,0.018,4.820441396590533,0.5625,0.0683076923076923,False
D0063,RMMF14,lpfc,C(congruency):C(switchProportion),-1,0,0,,,1.0,5.964906120750651,-0.5625,1.0,False
D0065,RI7,lpfc,C(congruency),-1,0,0,,,1.0,7.646011911916187,1.0,1.0,False
D0065,RI7,lpfc,C(switchProportion),-1,0,0,,,1.0,4.755854539879278,-0.5,1.0,False
D0065,RI7,lpfc,C(congruency):C(switchProportion),-1,0,0,,,1.0,3.19198676060574,0.6875,1.0,False
D0065,RPIT1,occ,C(congruency),-1,0,0,,,1.0,4.001738166561412,0.4375,1.0,False
D0065,RPIT1,occ,C(switchProportion),-1,0,0,,,1.0,5.835789560308122,-0.875,1.0,False
D0065,RPIT1,occ,C(congruency):C(switchProportion),-1,0,0,,,1.0,6.170854543420178,0.6875,1.0,False
D0065,RPIT2,occ,C(congruency),-1,0,0,,,1.0,4.389331930783451,0.0625,1.0,False
D0065,RPIT2,occ,C(switchProportion),-1,0,0,,,1.0,2.30089098289079,-0.3125,1.0,False
D0065,RPIT2,occ,C(congruency):C(switchProportion),-1,0,0,,,1.0,7.503278232359597,-0.1875,1.0,False
D0065,RPMT1,occ,C(congruency),-1,0,0,,,1.0,9.658523145359373,0.1875,1.0,False
D0065,RPMT1,occ,C(switchProportion),-1,0,0,,,1.0,2.357952759817271,-0.375,1.0,False
D0065,RPMT1,occ,C(congruency):C(switchProportion),-1,0,0,,,1.0,5.044129901550798,-0.375,1.0,False
D0071,RFO14,lpfc,C(congruency),-1,0,0,,,1.0,6.41449193424598,-0.125,1.0,False
D0071,RFO14,lpfc,C(switchProportion),0,1,37,-0.875,1.375,0.0,70.43043455425202,-0.1875,0.0,True
D0071,RFO14,lpfc,C(congruency):C(switchProportion),0,-1,37,-0.875,1.375,0.0,26.293393449431345,-0.3125,0.0,True
D0071,RFO16,lpfc,C(congruency),0,-1,17,-0.875,0.125,0.012,10.342557745922637,1.25,0.04735135135135135,True
D0071,RFO16,lpfc,C(congruency),1,-1,8,0.375,0.8125,0.04,10.342557745922637,1.25,0.10814814814814816,False
D0071,RFO16,lpfc,C(switchProportion),0,1,37,-0.875,1.375,0.0,91.0608691944415,-0.125,0.0,True
D0071,RFO16,lpfc,C(congruency):C(switchProportion),0,-1,37,-0.875,1.375,0.0,23.58172618016231,-0.1875,0.0,True
D0071,RIA11,lpfc,C(congruency),-1,0,0,,,1.0,4.103280213928128,1.0625,1.0,False
D0071,RIA11,lpfc,C(switchProportion),-1,0,0,,,1.0,9.934687098732676,1.375,1.0,False
D0071,RIA11,lpfc,C(congruency):C(switchProportion),0,-1,15,-0.3125,0.5625,0.0,10.063668955720994,0.25,0.0,True
D0071,RIA12,lpfc,C(congruency),-1,0,0,,,1.0,3.0713868465108787,-0.25,1.0,False
D0071,RIA12,lpfc,C(switchProportion),-1,0,0,,,1.0,4.076870345803021,1.3125,1.0,False
D0071,RIA12,lpfc,C(congruency):C(switchProportion),0,-1,10,-0.5625,0.0,0.0,10.155416890559847,1.375,0.0,True
D0071,RIA13,lpfc,C(congruency),-1,0,0,,,1.0,2.6495121204381284,0.8125,1.0,False
D0071,RIA13,lpfc,C(switchProportion),-1,0,0,,,1.0,10.826988347048859,1.3125,1.0,False
D0071,RIA13,lpfc,C(congruency):C(switchProportion),0,-1,5,-0.25,0.0,0.048,12.016950848178382,0.625,0.16342857142857145,False
D0071,RIA13,lpfc,C(congruency):C(switchProportion),1,-1,14,0.5625,1.375,0.0,12.016950848178382,0.625,0.0,True
D0071,RIA16,lpfc,C(congruency),-1,0,0,,,1.0,2.0186660928787434,0.9375,1.0,False
D0071,RIA16,lpfc,C(switchProportion),0,1,12,-0.5625,0.125,0.004,17.553321316205945,1.375,0.034823529411764705,True
D0071,RIA16,lpfc,C(congruency):C(switchProportion),0,-1,37,-0.875,1.375,0.0,25.288555322324303,0.6875,0.0,True
