subject,electrode,roi,effect,cluster_idx,sign,extent_windows,cluster_onset,cluster_offset,cluster_p_value,peak_F,peak_time,cluster_p_fdr,sig_after_fdr
D0057,RAI6,lpfc,C(congruency),-1,0,0,,,1.0,7.214293671942644,1.125,1.0,False
D0057,RAI6,lpfc,C(incongruentProportion),-1,0,0,,,1.0,8.628189896908223,0.5,1.0,False
D0057,RAI6,lpfc,C(congruency):C(incongruentProportion),-1,0,0,,,1.0,4.0742153160072565,-0.1875,1.0,False
D0057,RAMF13,lpfc,C(congruency),-1,0,0,,,1.0,6.488790034944867,0.875,1.0,False
D0057,RAMF13,lpfc,C(incongruentProportion),-1,0,0,,,1.0,7.991770493750907,-0.875,1.0,False
D0057,RAMF13,lpfc,C(congruency):C(incongruentProportion),-1,0,0,,,1.0,5.210880665636171,-0.3125,1.0,False
D0057,RAMF14,lpfc,C(congruency),0,1,10,-0.375,0.1875,0.002,6.960335716090256,0.0625,0.01647058823529412,True
D0057,RAMF14,lpfc,C(incongruentProportion),-1,0,0,,,1.0,5.1415437569424185,-0.25,1.0,False
D0057,RAMF14,lpfc,C(congruency):C(incongruentProportion),-1,0,0,,,1.0,2.517064015160336,0.625,1.0,False
D0057,RPI14,lpfc,C(congruency),-1,0,0,,,1.0,6.20601985916698,0.75,1.0,False
D0057,RPI14,lpfc,C(incongruentProportion),-1,0,0,,,1.0,2.590910127112719,-0.6875,1.0,False
D0057,RPI14,lpfc,C(congruency):C(incongruentProportion),-1,0,0,,,1.0,9.196642942589227,1.3125,1.0,False
D0057,RPI15,lpfc,C(congruency),-1,0,0,,,1.0,4.854856918443663,1.0,1.0,False
D0057,RPI15,lpfc,C(incongruentProportion),-1,0,0,,,1.0,6.056919519427417,0.3125,1.0,False
D0057,RPI15,lpfc,C(congruency):C(incongruentProportion),-1,0,0,,,1.0,4.161263392627909,0.1875,1.0,False
D0059,LMMF10,lpfc,C(congruency),-1,0,0,,,1.0,3.162424441390038,-0.75,1.0,False
D0059,LMMF10,lpfc,C(incongruentProportion),0,1,8,-0.4375,0.0,0.012,9.112209334291387,-0.3125,0.08181818181818182,False
D0059,LMMF10,lpfc,C(congruency):C(incongruentProportion),-1,0,0,,,1.0,2.5460390027321016,0.5625,1.0,False
D0059,LMMF11,lpfc,C(congruency),-1,0,0,,,1.0,2.9474323061569287,0.5,1.0,False
D0059,LMMF11,lpfc,C(incongruentProportion),-1,0,0,,,1.0,9.250127365636303,-0.3125,1.0,False
D0059,LMMF11,lpfc,C(congruency):C(incongruentProportion),-1,0,0,,,1.0,2.600789443887097,-0.6875,1.0,False
D0059,LMMF12,lpfc,C(congruency),-1,0,0,,,1.0,6.25871912552718,0.5,1.0,False
D0059,LMMF12,lpfc,C(incongruentProportion),-1,0,0,,,1.0,4.921673850054171,0.0,1.0,False
D0059,LMMF12,lpfc,C(congruency):C(incongruentProportion),-1,0,0,,,1.0,2.556287156329692,-0.875,1.0,False
D0059,LMMF9,lpfc,C(congruency),-1,0,0,,,1.0,3.0737909743320375,0.125,1.0,False
D0059,LMMF9,lpfc,C(incongruentProportion),-1,0,0,,,1.0,7.521738255979387,-0.3125,1.0,False
D0059,LMMF9,lpfc,C(congruency):C(incongruentProportion),-1,0,0,,,1.0,3.397547522719637,0.9375,1.0,False
D0059,LPSF16,lpfc,C(congruency),-1,0,0,,,1.0,5.366734208937318,0.9375,1.0,False
D0059,LPSF16,lpfc,C(incongruentProportion),0,-1,5,0.0625,0.3125,0.042,8.214078114347169,0.1875,0.17027027027027028,False
D0059,LPSF16,lpfc,C(congruency):C(incongruentProportion),-1,0,0,,,1.0,4.976757117753498,-0.75,1.0,False
D0059,LPT13,occ,C(congruency),-1,0,0,,,1.0,2.2677208144232397,-0.8125,1.0,False
D0059,LPT13,occ,C(incongruentProportion),0,-1,9,0.375,0.875,0.038,8.899079589332128,-0.75,0.14700000000000002,False
D0059,LPT13,occ,C(congruency):C(incongruentProportion),-1,0,0,,,1.0,2.269332345859754,-0.8125,1.0,False
D0063,LMSF5,lpfc,C(congruency),0,1,6,-0.5,-0.1875,0.028,7.6215377203644294,-0.375,0.112,False
D0063,LMSF5,lpfc,C(incongruentProportion),-1,0,0,,,1.0,9.123877061888983,-0.4375,1.0,False
D0063,LMSF5,lpfc,C(congruency):C(incongruentProportion),-1,0,0,,,1.0,9.106634949939275,1.375,1.0,False
D0063,LPSF12,lpfc,C(congruency),-1,0,0,,,1.0,2.927388997571536,0.0625,1.0,False
D0063,LPSF12,lpfc,C(incongruentProportion),-1,0,0,,,1.0,2.4659423752380216,0.5,1.0,False
D0063,LPSF12,lpfc,C(congruency):C(incongruentProportion),-1,0,0,,,1.0,3.348728856735266,0.0625,1.0,False
D0063,RAI4,lpfc,C(congruency),-1,0,0,,,1.0,2.6107854521630216,1.375,1.0,False
D0063,RAI4,lpfc,C(incongruentProportion),-1,0,0,,,1.0,2.7003237389384345,-0.4375,1.0,False
D0063,RAI4,lpfc,C(congruency):C(incongruentProportion),-1,0,0,,,1.0,2.0802826463660065,1.3125,1.0,False
D0063,RAI6,lpfc,C(congruency),-1,0,0,,,1.0,5.949110140120123,1.1875,1.0,False
D0063,RAI6,lpfc,C(incongruentProportion),-1,0,0,,,1.0,7.546081453154994,-0.5625,1.0,False
D0063,RAI6,lpfc,C(congruency):C(incongruentProportion),-1,0,0,,,1.0,2.1680358199410272,-0.5625,1.0,False
D0063,RAMF12,lpfc,C(congruency),-1,0,0,,,1.0,4.371506073683575,1.0,1.0,False
D0063,RAMF12,lpfc,C(incongruentProportion),-1,0,0,,,1.0,4.390862807062216,-0.375,1.0,False
D0063,RAMF12,lpfc,C(congruency):C(incongruentProportion),-1,0,0,,,1.0,6.449792256738809,0.6875,1.0,False
D0063,RMMF10,lpfc,C(congruency),0,-1,7,0.8125,1.1875,0.02,10.970651755389587,1.0,0.08750000000000001,False
D0063,RMMF10,lpfc,C(incongruentProportion),-1,0,0,,,1.0,2.3901132383967614,-0.625,1.0,False
D0063,RMMF10,lpfc,C(congruency):C(incongruentProportion),-1,0,0,,,1.0,4.905418165939959,0.75,1.0,False
D0063,RMMF13,lpfc,C(congruency),-1,0,0,,,1.0,3.99857826601956,-0.4375,1.0,False
D0063,RMMF13,lpfc,C(incongruentProportion),-1,0,0,,,1.0,3.288497949003095,-0.875,1.0,False
D0063,RMMF13,lpfc,C(congruency):C(incongruentProportion),-1,0,0,,,1.0,6.457722478427499,-0.4375,1.0,False
D0063,RMMF14,lpfc,C(congruency),0,-1,9,0.75,1.25,0.004,8.17305145290796,1.125,0.028,True
D0063,RMMF14,lpfc,C(incongruentProportion),-1,0,0,,,1.0,3.7631623200839304,0.3125,1.0,False
D0063,RMMF14,lpfc,C(congruency):C(incongruentProportion),-1,0,0,,,1.0,6.135174647368916,-0.5625,1.0,False
D0065,RI7,lpfc,C(congruency),-1,0,0,,,1.0,1.7597359381910755,1.0,1.0,False
D0065,RI7,lpfc,C(incongruentProportion),-1,0,0,,,1.0,3.1062857334800866,-0.1875,1.0,False
D0065,RI7,lpfc,C(congruency):C(incongruentProportion),-1,0,0,,,1.0,3.363576224416724,-0.8125,1.0,False
D0065,RPIT1,occ,C(congruency),-1,0,0,,,1.0,7.17394786182827,0.3125,1.0,False
D0065,RPIT1,occ,C(incongruentProportion),-1,0,0,,,1.0,10.409236809720815,0.5625,1.0,False
D0065,RPIT1,occ,C(congruency):C(incongruentProportion),-1,0,0,,,1.0,3.4532888424162445,0.5625,1.0,False
D0065,RPIT2,occ,C(congruency),0,1,5,-0.125,0.125,0.04,7.967286723041157,0.0,0.2742857142857143,False
D0065,RPIT2,occ,C(incongruentProportion),-1,0,0,,,1.0,3.224546989140692,0.0,1.0,False
D0065,RPIT2,occ,C(congruency):C(incongruentProportion),-1,0,0,,,1.0,4.58902193062485,1.375,1.0,False
D0065,RPMT1,occ,C(congruency),-1,0,0,,,1.0,5.122981267229341,0.1875,1.0,False
D0065,RPMT1,occ,C(incongruentProportion),-1,0,0,,,1.0,2.629681352614147,0.0,1.0,False
D0065,RPMT1,occ,C(congruency):C(incongruentProportion),-1,0,0,,,1.0,3.8204102991912814,0.4375,1.0,False
D0071,RFO14,lpfc,C(congruency),-1,0,0,,,1.0,2.2452072382720916,0.375,1.0,False
D0071,RFO14,lpfc,C(incongruentProportion),0,-1,9,-0.625,-0.125,0.024,8.4518457423115,0.75,0.12857142857142856,False
D0071,RFO14,lpfc,C(congruency):C(incongruentProportion),-1,0,0,,,1.0,4.898667819394381,-0.0625,1.0,False
D0071,RFO16,lpfc,C(congruency),-1,0,0,,,1.0,2.623231846343557,-0.875,1.0,False
D0071,RFO16,lpfc,C(incongruentProportion),0,-1,16,-0.8125,0.125,0.006,13.021226903981894,0.6875,0.06923076923076923,False
D0071,RFO16,lpfc,C(incongruentProportion),1,-1,8,0.4375,0.875,0.04,13.021226903981894,0.6875,0.17027027027027028,False
D0071,RFO16,lpfc,C(congruency):C(incongruentProportion),-1,0,0,,,1.0,4.132488504000773,-0.0625,1.0,False
D0071,RIA11,lpfc,C(congruency),-1,0,0,,,1.0,3.25189068986299,1.0625,1.0,False
D0071,RIA11,lpfc,C(incongruentProportion),-1,0,0,,,1.0,4.506550191710333,-0.625,1.0,False
D0071,RIA11,lpfc,C(congruency):C(incongruentProportion),-1,0,0,,,1.0,6.876322883380429,-0.1875,1.0,False
