subject,electrode,roi,effect,cluster_idx,sign,extent_windows,cluster_onset,cluster_offset,cluster_p_value,peak_F,peak_time,cluster_p_fdr,sig_after_fdr
D0057,RAI6,lpfc,C(switchType),0,-1,8,0.9375,1.375,0.002,29.316859567388853,1.125,0.028,True
D0057,RAI6,lpfc,C(switchProportion),0,1,7,0.25,0.625,0.008,15.56335543158862,0.3125,0.1128,False
D0057,RAI6,lpfc,C(switchType):C(switchProportion),0,-1,8,0.875,1.3125,0.004,8.488374130727165,1.0,0.5559999999999999,False
D0057,RAMF13,lpfc,C(switchType),-1,0,0,,,1.0,5.758771940518703,0.875,1.0,False
D0057,RAMF13,lpfc,C(switchProportion),-1,0,0,,,1.0,6.816901349838766,0.9375,1.0,False
D0057,RAMF13,lpfc,C(switchType):C(switchProportion),-1,0,0,,,1.0,4.983854407974838,-0.8125,1.0,False
D0057,RAMF14,lpfc,C(switchType),-1,0,0,,,1.0,5.132488791479125,1.125,1.0,False
D0057,RAMF14,lpfc,C(switchProportion),0,1,6,0.8125,1.125,0.026,10.963671317264996,1.0,0.1833,False
D0057,RAMF14,lpfc,C(switchType):C(switchProportion),-1,0,0,,,1.0,6.632472753087598,-0.25,1.0,False
D0057,RPI14,lpfc,C(switchType),0,-1,13,0.375,1.125,0.0,19.012373314032462,0.8125,0.0,True
D0057,RPI14,lpfc,C(switchProportion),0,1,6,-0.8125,-0.5,0.018,8.94989089527616,0.1875,0.16326315789473683,False
D0057,RPI14,lpfc,C(switchProportion),1,1,5,0.0625,0.3125,0.05,8.94989089527616,0.1875,0.2517857142857143,False
D0057,RPI14,lpfc,C(switchType):C(switchProportion),0,-1,5,0.625,0.875,0.046,14.026786118816208,0.6875,0.9134285714285715,False
D0057,RPI15,lpfc,C(switchType),0,-1,7,0.75,1.125,0.01,19.23768643140846,0.9375,0.11666666666666667,False
D0057,RPI15,lpfc,C(switchProportion),-1,0,0,,,1.0,7.938737810083338,0.375,1.0,False
D0057,RPI15,lpfc,C(switchType):C(switchProportion),-1,0,0,,,1.0,7.025300165798323,0.1875,1.0,False
D0059,LMMF10,lpfc,C(switchType),0,-1,10,0.6875,1.25,0.002,10.795631050316672,-0.0625,0.028,True
D0059,LMMF10,lpfc,C(switchProportion),-1,0,0,,,1.0,8.878808139785122,0.875,1.0,False
D0059,LMMF10,lpfc,C(switchType):C(switchProportion),-1,0,0,,,1.0,4.513732664006875,0.8125,1.0,False
D0059,LMMF11,lpfc,C(switchType),-1,0,0,,,1.0,5.230585450192189,0.9375,1.0,False
D0059,LMMF11,lpfc,C(switchProportion),-1,0,0,,,1.0,3.9488100485705613,0.875,1.0,False
D0059,LMMF11,lpfc,C(switchType):C(switchProportion),-1,0,0,,,1.0,9.662468610640854,0.1875,1.0,False
D0059,LMMF12,lpfc,C(switchType),-1,0,0,,,1.0,5.700666966636365,-0.6875,1.0,False
D0059,LMMF12,lpfc,C(switchProportion),0,-1,14,0.5625,1.375,0.0,10.68482805593103,0.8125,0.0,True
D0059,LMMF12,lpfc,C(switchType):C(switchProportion),0,-1,6,0.125,0.4375,0.04,11.09171418697799,0.25,0.9134285714285715,False
D0059,LMMF9,lpfc,C(switchType),0,-1,12,0.625,1.3125,0.0,16.432391963535338,0.875,0.0,True
D0059,LMMF9,lpfc,C(switchProportion),-1,0,0,,,1.0,6.499910211729402,0.9375,1.0,False
D0059,LMMF9,lpfc,C(switchType):C(switchProportion),-1,0,0,,,1.0,4.107566400851637,-0.125,1.0,False
D0059,LPSF16,lpfc,C(switchType),-1,0,0,,,1.0,5.537998171770632,-0.75,1.0,False
D0059,LPSF16,lpfc,C(switchProportion),0,-1,9,-0.25,0.25,0.002,8.678367102888572,0.125,0.047,True
D0059,LPSF16,lpfc,C(switchType):C(switchProportion),-1,0,0,,,1.0,4.278522478256774,0.5625,1.0,False
D0059,LPT13,occ,C(switchType),-1,0,0,,,1.0,5.903535325462523,0.1875,1.0,False
D0059,LPT13,occ,C(switchProportion),0,-1,24,-0.6875,0.75,0.0,12.914312688905284,0.1875,0.0,True
D0059,LPT13,occ,C(switchType):C(switchProportion),-1,0,0,,,1.0,5.4274572073865555,0.1875,1.0,False
D0063,LMSF5,lpfc,C(switchType),-1,0,0,,,1.0,3.7592614921393315,1.375,1.0,False
D0063,LMSF5,lpfc,C(switchProportion),-1,0,0,,,1.0,4.060439762132046,0.0625,1.0,False
D0063,LMSF5,lpfc,C(switchType):C(switchProportion),-1,0,0,,,1.0,4.392108211338881,0.375,1.0,False
D0063,LPSF12,lpfc,C(switchType),-1,0,0,,,1.0,2.362436999389464,1.0625,1.0,False
D0063,LPSF12,lpfc,C(switchProportion),-1,0,0,,,1.0,6.70604436444804,0.4375,1.0,False
