subject,electrode,roi,effect,cluster_idx,sign,extent_windows,cluster_onset,cluster_offset,cluster_p_value,peak_F,peak_time,cluster_p_fdr,sig_after_fdr
D0057,RAI6,lpfc,C(switchType),0,-1,8,0.9375,1.375,0.006,21.23213074099728,1.125,0.03323076923076923,True
D0057,RAI6,lpfc,C(incongruentProportion),0,-1,6,0.375,0.6875,0.008,22.306954846997318,0.5,0.04257142857142857,True
D0057,RAI6,lpfc,C(switchType):C(incongruentProportion),-1,0,0,,,1.0,10.264289000549642,0.5,1.0,False
D0057,RAMF13,lpfc,C(switchType),-1,0,0,,,1.0,6.247173800660707,1.3125,1.0,False
D0057,RAMF13,lpfc,C(incongruentProportion),-1,0,0,,,1.0,5.785503904902853,-0.875,1.0,False
D0057,RAMF13,lpfc,C(switchType):C(incongruentProportion),-1,0,0,,,1.0,4.4164102929200695,-0.75,1.0,False
D0057,RAMF14,lpfc,C(switchType),-1,0,0,,,1.0,7.982899194320426,0.125,1.0,False
D0057,RAMF14,lpfc,C(incongruentProportion),-1,0,0,,,1.0,3.390107223513811,0.3125,1.0,False
D0057,RAMF14,lpfc,C(switchType):C(incongruentProportion),-1,0,0,,,1.0,12.974293835480585,-0.875,1.0,False
D0057,RPI14,lpfc,C(switchType),0,-1,16,0.4375,1.375,0.0,16.07179811193829,0.875,0.0,True
D0057,RPI14,lpfc,C(incongruentProportion),-1,0,0,,,1.0,3.403044726535555,-0.75,1.0,False
D0057,RPI14,lpfc,C(switchType):C(incongruentProportion),-1,0,0,,,1.0,6.690567164513875,1.375,1.0,False
D0057,RPI15,lpfc,C(switchType),0,-1,8,0.75,1.1875,0.004,20.47349300385394,0.9375,0.0288,True
D0057,RPI15,lpfc,C(incongruentProportion),-1,0,0,,,1.0,12.56661180966865,0.3125,1.0,False
D0057,RPI15,lpfc,C(switchType):C(incongruentProportion),0,1,5,0.5625,0.8125,0.05,8.182081750561741,0.625,0.18205128205128204,False
D0059,LMMF10,lpfc,C(switchType),0,-1,15,0.5,1.375,0.0,21.858264738125538,0.875,0.0,True
D0059,LMMF10,lpfc,C(incongruentProportion),-1,0,0,,,1.0,8.713276498819093,-0.375,1.0,False
D0059,LMMF10,lpfc,C(switchType):C(incongruentProportion),-1,0,0,,,1.0,5.332646733392736,-0.5625,1.0,False
D0059,LMMF11,lpfc,C(switchType),0,-1,8,0.8125,1.25,0.006,12.891986751686051,0.9375,0.03323076923076923,True
D0059,LMMF11,lpfc,C(incongruentProportion),-1,0,0,,,1.0,7.6501880446602195,-0.3125,1.0,False
D0059,LMMF11,lpfc,C(switchType):C(incongruentProportion),-1,0,0,,,1.0,6.0851539135148744,1.375,1.0,False
D0059,LMMF12,lpfc,C(switchType),0,-1,8,0.875,1.3125,0.006,7.813537042684666,1.25,0.03323076923076923,True
D0059,LMMF12,lpfc,C(incongruentProportion),-1,0,0,,,1.0,5.869544056223544,0.4375,1.0,False
D0059,LMMF12,lpfc,C(switchType):C(incongruentProportion),-1,0,0,,,1.0,2.157949709941312,1.1875,1.0,False
D0059,LMMF9,lpfc,C(switchType),0,-1,15,0.5,1.375,0.0,35.23849269504338,0.875,0.0,True
D0059,LMMF9,lpfc,C(incongruentProportion),0,1,6,-0.375,-0.0625,0.026,11.115984604873852,-0.3125,0.10175609756097562,False
D0059,LMMF9,lpfc,C(switchType):C(incongruentProportion),-1,0,0,,,1.0,7.145795534268963,-0.6875,1.0,False
D0059,LPSF16,lpfc,C(switchType),-1,0,0,,,1.0,4.856848676518699,1.375,1.0,False
D0059,LPSF16,lpfc,C(incongruentProportion),0,-1,8,-0.125,0.3125,0.002,10.360207998637678,0.8125,0.01568421052631579,True
D0059,LPSF16,lpfc,C(incongruentProportion),1,-1,5,0.75,1.0,0.048,10.360207998637678,0.8125,0.13753846153846155,False
D0059,LPSF16,lpfc,C(switchType):C(incongruentProportion),-1,0,0,,,1.0,3.325181539274126,-0.5,1.0,False
D0059,LPT13,occ,C(switchType),-1,0,0,,,1.0,2.95067635502927,0.8125,1.0,False
D0059,LPT13,occ,C(incongruentProportion),0,-1,37,-0.875,1.375,0.0,7.618148050016681,0.1875,0.0,True
D0059,LPT13,occ,C(switchType):C(incongruentProportion),-1,0,0,,,1.0,3.7990544101018973,0.8125,1.0,False
D0063,LMSF5,lpfc,C(switchType),-1,0,0,,,1.0,5.009448871571683,1.375,1.0,False
D0063,LMSF5,lpfc,C(incongruentProportion),-1,0,0,,,1.0,3.2357472714974604,-0.5,1.0,False
D0063,LMSF5,lpfc,C(switchType):C(incongruentProportion),-1,0,0,,,1.0,2.8795561382530543,0.0625,1.0,False
D0063,LPSF12,lpfc,C(switchType),0,1,6,0.25,0.5625,0.034,6.9588550138076295,0.4375,0.1288421052631579,False
D0063,LPSF12,lpfc,C(incongruentProportion),-1,0,0,,,1.0,6.531825703565387,0.4375,1.0,False
D0063,LPSF12,lpfc,C(switchType):C(incongruentProportion),-1,0,0,,,1.0,4.366960472234011,0.625,1.0,False
D0063,RAI4,lpfc,C(switchType),-1,0,0,,,1.0,5.846844862698158,0.0,1.0,False
D0063,RAI4,lpfc,C(incongruentProportion),-1,0,0,,,1.0,1.7648049995247042,0.8125,1.0,False
D0063,RAI4,lpfc,C(switchType):C(incongruentProportion),-1,0,0,,,1.0,2.4461854019683344,1.0,1.0,False
D0063,RAI6,lpfc,C(switchType),-1,0,0,,,1.0,4.559897972477214,1.375,1.0,False
D0063,RAI6,lpfc,C(incongruentProportion),-1,0,0,,,1.0,6.514052852229181,1.3125,1.0,False
D0063,RAI6,lpfc,C(switchType):C(incongruentProportion),-1,0,0,,,1.0,7.915295609179862,0.0,1.0,False
D0063,RAMF12,lpfc,C(switchType),-1,0,0,,,1.0,4.17041523588429,0.875,1.0,False
D0063,RAMF12,lpfc,C(incongruentProportion),-1,0,0,,,1.0,3.641651593743305,1.0625,1.0,False
D0063,RAMF12,lpfc,C(switchType):C(incongruentProportion),-1,0,0,,,1.0,1.996825585815252,-0.875,1.0,False
D0063,RMMF10,lpfc,C(switchType),-1,0,0,,,1.0,8.194553379789806,0.9375,1.0,False
D0063,RMMF10,lpfc,C(incongruentProportion),-1,0,0,,,1.0,4.630793766959365,0.125,1.0,False
D0063,RMMF10,lpfc,C(switchType):C(incongruentProportion),-1,0,0,,,1.0,4.598986896154859,0.9375,1.0,False
D0063,RMMF13,lpfc,C(switchType),-1,0,0,,,1.0,3.746660962286511,0.4375,1.0,False
D0063,RMMF13,lpfc,C(incongruentProportion),-1,0,0,,,1.0,4.166754051170218,1.0,1.0,False
D0063,RMMF13,lpfc,C(switchType):C(incongruentProportion),0,-1,6,0.0,0.3125,0.03,8.53855696900089,0.25,0.142,False
D0063,RMMF14,lpfc,C(switchType),-1,0,0,,,1.0,3.473222307300239,0.9375,1.0,False
D0063,RMMF14,lpfc,C(incongruentProportion),-1,0,0,,,1.0,3.3060963209427148,0.9375,1.0,False
D0063,RMMF14,lpfc,C(switchType):C(incongruentProportion),-1,0,0,,,1.0,7.037938341807247,0.125,1.0,False
D0065,RI7,lpfc,C(switchType),-1,0,0,,,1.0,3.3412230285686966,1.0,1.0,False
D0065,RI7,lpfc,C(incongruentProportion),-1,0,0,,,1.0,9.122935254908557,1.0,1.0,False
D0065,RI7,lpfc,C(switchType):C(incongruentProportion),-1,0,0,,,1.0,6.115189314295713,1.1875,1.0,False
D0065,RPIT1,occ,C(switchType),-1,0,0,,,1.0,5.641208085152621,-0.375,1.0,False
D0065,RPIT1,occ,C(incongruentProportion),-1,0,0,,,1.0,6.206796426978147,0.625,1.0,False
D0065,RPIT1,occ,C(switchType):C(incongruentProportion),-1,0,0,,,1.0,12.454634995778358,0.6875,1.0,False
D0065,RPIT2,occ,C(switchType),-1,0,0,,,1.0,4.188955117904823,0.9375,1.0,False
D0065,RPIT2,occ,C(incongruentProportion),-1,0,0,,,1.0,1.275444473276944,1.375,1.0,False
D0065,RPIT2,occ,C(switchType):C(incongruentProportion),-1,0,0,,,1.0,4.351605209440803,0.6875,1.0,False
D0065,RPMT1,occ,C(switchType),-1,0,0,,,1.0,2.2370443037971866,1.0,1.0,False
D0065,RPMT1,occ,C(incongruentProportion),-1,0,0,,,1.0,7.292902590790591,0.125,1.0,False
D0065,RPMT1,occ,C(switchType):C(incongruentProportion),-1,0,0,,,1.0,5.645649547873276,-0.5,1.0,False
D0071,RFO14,lpfc,C(switchType),0,1,29,-0.875,0.875,0.0,29.413756238145957,1.375,0.0,True
D0071,RFO14,lpfc,C(switchType),1,1,7,1.0,1.375,0.038,29.413756238145957,1.375,0.1403076923076923,False
D0071,RFO14,lpfc,C(incongruentProportion),0,-1,12,-0.6875,0.0,0.012,10.697624014608058,-0.1875,0.05767741935483871,False
D0071,RFO14,lpfc,C(incongruentProportion),1,-1,8,0.4375,0.875,0.03,10.697624014608058,-0.1875,0.103953488372093,False
D0071,RFO14,lpfc,C(switchType):C(incongruentProportion),0,-1,15,-0.5,0.375,0.01,8.081524819079423,0.3125,0.09466666666666668,False
D0071,RFO14,lpfc,C(switchType):C(incongruentProportion),1,-1,8,0.6875,1.125,0.03,8.081524819079423,0.3125,0.142,False
D0071,RFO16,lpfc,C(switchType),0,1,29,-0.875,0.875,0.0,37.4806432349229,1.375,0.0,True
D0071,RFO16,lpfc,C(incongruentProportion),0,-1,30,-0.875,0.9375,0.002,20.983176913563526,1.375,0.01568421052631579,True
D0071,RFO16,lpfc,C(switchType):C(incongruentProportion),0,-1,14,0.5625,1.375,0.018,6.943492674672486,0.875,0.10224,False
D0071,RIA11,lpfc,C(switchType),-1,0,0,,,1.0,6.449115717311528,0.625,1.0,False
