subject,electrode,roi,effect,cluster_idx,sign,extent_windows,cluster_onset,cluster_offset,cluster_p_value,peak_F,peak_time,cluster_p_fdr,sig_after_fdr
D0103,LAI13,lpfc,C(congruency),-1,0,0,,,1.0,3.213927857486941,0.875,1.0,False
D0103,LAI13,lpfc,C(incongruentProportion),0,-1,31,-0.5,1.375,0.0,28.25603909696954,0.3125,0.0,True
D0103,LAI13,lpfc,C(congruency):C(incongruentProportion),-1,0,0,,,1.0,5.912406513065113,-0.3125,1.0,False
D0103,LAI14,lpfc,C(congruency),0,-1,12,0.6875,1.375,0.0,12.779932660288454,0.875,0.0,True
D0103,LAI14,lpfc,C(incongruentProportion),0,-1,8,-0.1875,0.25,0.0,14.045286594135323,1.0625,0.0,True
D0103,LAI14,lpfc,C(incongruentProportion),1,-1,13,0.625,1.375,0.0,14.045286594135323,1.0625,0.0,True
D0103,LAI14,lpfc,C(congruency):C(incongruentProportion),-1,0,0,,,1.0,6.655504288090695,0.75,1.0,False
D0103,LAI4,lpfc,C(congruency),0,-1,14,0.5,1.3125,0.0,16.743663334308216,0.75,0.0,True
D0103,LAI4,lpfc,C(incongruentProportion),0,-1,16,-0.875,0.0625,0.0,21.60286896873044,-0.5,0.0,True
D0103,LAI4,lpfc,C(incongruentProportion),1,1,10,0.1875,0.75,0.0,21.60286896873044,-0.5,0.0,True
D0103,LAI4,lpfc,C(congruency):C(incongruentProportion),-1,0,0,,,1.0,7.440291548256567,-0.4375,1.0,False
D0103,LAI7,lpfc,C(congruency),0,-1,10,-0.125,0.4375,0.0,9.527922949250938,0.125,0.0,True
D0103,LAI7,lpfc,C(incongruentProportion),0,1,10,0.0625,0.625,0.0,17.618922361696676,0.1875,0.0,True
D0103,LAI7,lpfc,C(congruency):C(incongruentProportion),0,-1,5,0.8125,1.0625,0.0,2.1632131693618035,1.0,0.0,True
D0103,LAI8,lpfc,C(congruency),-1,0,0,,,1.0,6.686591821538128,0.75,1.0,False
D0103,LAI8,lpfc,C(incongruentProportion),-1,0,0,,,1.0,8.984496531386384,-0.375,1.0,False
D0103,LAI8,lpfc,C(congruency):C(incongruentProportion),-1,0,0,,,1.0,2.978225059589072,-0.3125,1.0,False
D0103,LFAI4,lpfc,C(congruency),0,-1,7,-0.5,-0.125,0.5,8.486693907189405,0.375,0.75,False
D0103,LFAI4,lpfc,C(incongruentProportion),0,-1,7,-0.125,0.25,0.0,14.079368057445231,0.0625,0.0,True
D0103,LFAI4,lpfc,C(incongruentProportion),1,-1,14,0.5625,1.375,0.0,14.079368057445231,0.0625,0.0,True
D0103,LFAI4,lpfc,C(congruency):C(incongruentProportion),-1,0,0,,,1.0,4.763591134836896,1.0625,1.0,False
D0103,LFAM8,lpfc,C(congruency),-1,0,0,,,1.0,3.299912122373717,-0.1875,1.0,False
D0103,LFAM8,lpfc,C(incongruentProportion),0,-1,6,-0.125,0.1875,0.0,10.40221185102108,1.3125,0.0,True
D0103,LFAM8,lpfc,C(incongruentProportion),1,-1,12,0.3125,1.0,0.0,10.40221185102108,1.3125,0.0,True
D0103,LFAM8,lpfc,C(incongruentProportion),2,-1,5,1.125,1.375,0.0,10.40221185102108,1.3125,0.0,True
D0103,LFAM8,lpfc,C(congruency):C(incongruentProportion),0,-1,7,-0.1875,0.1875,0.0,4.8044501674817,0.375,0.0,True
D0103,LFAM8,lpfc,C(congruency):C(incongruentProportion),1,1,5,0.25,0.5,0.5,4.8044501674817,0.375,1.0,False
D0103,LFAM9,lpfc,C(congruency),0,-1,8,-0.5,-0.0625,0.0,8.37444577118685,-0.25,0.0,True
D0103,LFAM9,lpfc,C(incongruentProportion),-1,0,0,,,1.0,12.074109526238113,0.125,1.0,False
D0103,LFAM9,lpfc,C(congruency):C(incongruentProportion),-1,0,0,,,1.0,1.5854577572152038,1.1875,1.0,False
D0103,LFO15,lpfc,C(congruency),0,-1,6,-0.375,-0.0625,0.0,5.353923336518459,-0.25,0.0,True
D0103,LFO15,lpfc,C(incongruentProportion),0,-1,15,-0.375,0.5,0.0,24.40814480926032,0.125,0.0,True
D0103,LFO15,lpfc,C(congruency):C(incongruentProportion),-1,0,0,,,1.0,5.292447108493604,-0.25,1.0,False
